case_id,imposed_current_density_A_m2,Umean_m_s,FE_prescribed,input_status
J0p1_U1e-5,0.1,1e-5,1,SYNTHETIC
J0p1_U3e-5,0.1,3e-5,1,SYNTHETIC
J0p1_U1e-4,0.1,1e-4,1,SYNTHETIC
J0p1_U3e-4,0.1,3e-4,1,SYNTHETIC
J0p1_U1e-3,0.1,1e-3,1,SYNTHETIC
J1_U1e-5,1,1e-5,1,SYNTHETIC
J1_U3e-5,1,3e-5,1,SYNTHETIC
J1_U1e-4,1,1e-4,1,SYNTHETIC
J1_U3e-4,1,3e-4,1,SYNTHETIC
J1_U1e-3,1,1e-3,1,SYNTHETIC
J10_U1e-5,10,1e-5,1,SYNTHETIC
J10_U3e-5,10,3e-5,1,SYNTHETIC
J10_U1e-4,10,1e-4,1,SYNTHETIC
J10_U3e-4,10,3e-4,1,SYNTHETIC
J10_U1e-3,10,1e-3,1,SYNTHETIC
J100_U1e-5,100,1e-5,1,SYNTHETIC
J100_U3e-5,100,3e-5,1,SYNTHETIC
J100_U1e-4,100,1e-4,1,SYNTHETIC
J100_U3e-4,100,3e-4,1,SYNTHETIC
J100_U1e-3,100,1e-3,1,SYNTHETIC
J1000_U1e-5,1000,1e-5,1,SYNTHETIC
J1000_U3e-5,1000,3e-5,1,SYNTHETIC
J1000_U1e-4,1000,1e-4,1,SYNTHETIC
J1000_U3e-4,1000,3e-4,1,SYNTHETIC
J1000_U1e-3,1000,1e-3,1,SYNTHETIC
