metric,value,unit,source
N2 cell dp,96.1940176856,Pa,M10A2 accepted run 20260809_020658
H2 cell dp,31.4624814583,Pa,M10A2 accepted run 20260809_020658
liquid cell dp,3.42685384837,Pa,M10A2 accepted run 20260809_020658
N2 pipe dp,7.46967199578,Pa,M10A2 accepted run 20260809_020658
H2 pipe dp,3.77727731605,Pa,M10A2 accepted run 20260809_020658
liquid pipe dp,32.8034711678,Pa,M10A2 accepted run 20260809_020658
SSC Darcy dp,1500,Pa,M10A2 accepted saved case
Sl min,0.00911690533193,1,M10A2 accepted sweep global minimum
Sl max,0.0284430344568,1,M10A2 accepted sweep global maximum
N2 transfer rate,9.66841603031e-10,mol/s,M10A2 accepted run 20260809_020658
