parameter,value,unit,source_class,source_reference,model_role,notes
gas_pfa_id,2.0,mm,LAB_MANUAL,"Li-NRR实验流程-修订中(1).docx SHA256 EE9AEB5309B6D5BCA5649458DA2EE7B531D43FA50C7E6A6A1909EFFA81871EF7 P52",gas_pipe_hydraulic_diameter,"PFA; ID controls hydraulics; do not substitute PEEK"
gas_pfa_od,3.0,mm,LAB_MANUAL,"Manual SHA256 EE9A... P52",gas_pipe_visual_outer_diameter,"OD is not used as hydraulic diameter"
liquid_pfa_id,1.5,mm,LAB_MANUAL,"Manual SHA256 EE9A... P52",liquid_pipe_hydraulic_diameter,"PFA; ID controls hydraulics"
liquid_pfa_od,3.0,mm,LAB_MANUAL,"Manual SHA256 EE9A... P52",liquid_pipe_visual_outer_diameter,"OD is not used as hydraulic diameter"
gas_outlet_tube_count,2,1,LAB_MANUAL,"Manual SHA256 EE9A... P60-P61",gas_network_topology,"two gas outlet tubes"
gas_outlet_tube_length,0.20,m,LAB_MANUAL,"Manual SHA256 EE9A... P61",gas_pipe_resistance,"approximately 20 cm; schematic routing only"
gas_inlet_tube_length,,m,CALIBRATION_REQUIRED,"No reliable length in structured Manual text",gas_pipe_resistance,"excluded from known partial pressure budget"
liquid_pfa_20cm_count,1,1,LAB_MANUAL,"Manual SHA256 EE9A... P64-P65",liquid_network_topology,"1.5 mm ID PFA"
liquid_pfa_20cm_length,0.20,m,LAB_MANUAL,"Manual SHA256 EE9A... P64-P65",liquid_pipe_resistance,"approximately 20 cm"
liquid_pfa_15cm_count,2,1,LAB_MANUAL,"Manual SHA256 EE9A... P64-P65",liquid_network_topology,"1.5 mm ID PFA"
liquid_pfa_15cm_length,0.15,m,LAB_MANUAL,"Manual SHA256 EE9A... P64-P65",liquid_pipe_resistance,"approximately 15 cm each"
liquid_pfa_10cm_count,1,1,LAB_MANUAL,"Manual SHA256 EE9A... P64-P65",liquid_network_topology,"2.0 mm ID PFA"
liquid_pfa_10cm_length,0.10,m,LAB_MANUAL,"Manual SHA256 EE9A... P64-P65",liquid_pipe_resistance,"approximately 10 cm"
latex_tube_size,14#,1,LAB_MANUAL,"Manual SHA256 EE9A... P56",pump_segment_identity,"peristaltic-pump latex segment"
latex_tube_id,1.6,mm,LAB_MANUAL,"Manual SHA256 EE9A... P56",pump_segment_hydraulic_diameter,"ID controls hydraulics"
latex_tube_od,4.8,mm,LAB_MANUAL,"Manual SHA256 EE9A... P56",pump_segment_visual_outer_diameter,"OD not used as hydraulic diameter"
latex_tube_length,,m,CALIBRATION_REQUIRED,"Manual SHA256 EE9A... P56 P70-P72",pump_segment_resistance,"length is not stated in structured Manual text"
connecting_needle_od_approx,1.8,mm,LAB_MANUAL,"Manual SHA256 EE9A... P70-P72",liquid_connection_visualization,"approximately 1.8 mm needle; not used as tube ID"
reference_capillary_id,0.6,mm,LAB_MANUAL,"Manual SHA256 EE9A... P44",reference_capillary_hydraulics,"PTFE capillary"
reference_capillary_od,1.6,mm,LAB_MANUAL,"Manual SHA256 EE9A... P44",reference_capillary_visualization,"PTFE capillary"
reference_capillary_length,0.03,m,LAB_MANUAL,"Manual SHA256 EE9A... P44",reference_capillary_geometry,"approximately 3 cm"
connection_hardware,PEEK cone fittings / connectors,1,LAB_MANUAL,"Manual SHA256 EE9A... P61 P69 P72 P154 P178",connection_topology,"PEEK is supported for fittings; tubing remains PFA"
flow_direction,bottom inlet / top outlet,1,LAB_MANUAL,"Manual SHA256 EE9A... P170 P172",all_cell_network_orientation,"applies to gas and liquid cell connections"
n2_side,negative / cathode / SSC,1,LAB_MANUAL,"Manual SHA256 EE9A... P166 P170",gas_side_assignment,"N2 on negative SSC side"
h2_side,positive / anode / PtAuSSC,1,LAB_MANUAL,"Manual SHA256 EE9A... P166 P170",gas_side_assignment,"H2 on positive PtAuSSC side"
Q_gas_startup,20,cm^3/min,LAB_MANUAL,"Manual SHA256 EE9A... P150",optional_startup_case,"20 min preflow; COMSOL cm^3/min equals mL/min"
t_gas_startup,20,min,LAB_MANUAL,"Manual SHA256 EE9A... P150",optional_startup_duration,"then change to 50 mL/min"
