dataset_tag,dataset_type,label
dset1,Solution,Liquid Stationary Flow | NUMERICAL_TEST_ONLY/解 1 (1)
dset2,Solution,Liquid Stationary Flow | NUMERICAL_TEST_ONLY/解 1 (2)
dset_liq_solution,Solution,Liquid Stationary Flow | NUMERICAL_TEST_ONLY/解 3 (0)
dset3,Solution,N2 Stationary Flow | NUMERICAL_TEST_ONLY/解 2 (3)
dset4,Solution,N2 Stationary Flow | NUMERICAL_TEST_ONLY/解 2 (4)
dset_n2_solution,Solution,N2 Stationary Flow | NUMERICAL_TEST_ONLY/解 4 (0)
dset5,Solution,Liquid Stationary Flow | NUMERICAL_TEST_ONLY/解 3 (5)
dset6,Solution,Liquid Stationary Flow | NUMERICAL_TEST_ONLY/解 3 (6)
dset7,Solution,N2 Stationary Flow | NUMERICAL_TEST_ONLY/解 4 (7)
dset8,Solution,N2 Stationary Flow | NUMERICAL_TEST_ONLY/解 4 (8)
dset9,Solution,研究 2/解 5 (9)
dset10,Solution,研究 2/解 5 (10)
dset11,Solution,研究 2/解 5 (11)
dset_std_h2,Solution,Solution for std_h2
dset12,Solution,研究 2a/解 6 (12)
dset13,Solution,研究 2a/解 6 (13)
dset14,Solution,研究 2a/解 6 (14)
dset15,Solution,研究 2a/解 6 (15)
dset_std_pipe_n2,Solution,Solution for std_pipe_n2
dset16,Solution,研究 2b/解 7 (16)
dset17,Solution,研究 2b/解 7 (17)
dset18,Solution,研究 2b/解 7 (18)
dset19,Solution,研究 2b/解 7 (19)
dset20,Solution,研究 2b/解 7 (20)
dset_std_pipe_h2,Solution,Solution for std_pipe_h2
dset21,Solution,研究/解 8 (21)
dset22,Solution,研究/解 8 (22)
dset23,Solution,研究/解 8 (23)
dset24,Solution,研究/解 8 (24)
dset25,Solution,研究/解 8 (25)
dset26,Solution,研究/解 8 (26)
dset_std_pipe_liq,Solution,Solution for std_pipe_liq
dset27,Solution,研究 3/解 9 (27)
dset28,Solution,研究 3/解 9 (28)
dset29,Solution,研究 3/解 9 (29)
dset30,Solution,研究 3/解 9 (30)
dset31,Solution,研究 3/解 9 (31)
dset32,Solution,研究 3/解 9 (32)
dset33,Solution,研究 3/解 9 (33)
dset_std_ssc_darcy,Solution,Solution for std_ssc_darcy
dset34,Solution,研究 4/解 10 (34)
dset35,Solution,研究 4/解 10 (35)
dset36,Solution,研究 4/解 10 (36)
dset37,Solution,研究 4/解 10 (37)
dset38,Solution,研究 4/解 10 (38)
dset39,Solution,研究 4/解 10 (39)
dset40,Solution,研究 4/解 10 (40)
dset41,Solution,研究 4/解 10 (41)
dset_std_ssc_wetting,Solution,Solution for std_ssc_wetting
dset42,Solution,研究 5/解 11 (42)
dset43,Solution,研究 5/解 11 (43)
dset44,Solution,研究 5/解 11 (44)
dset45,Solution,研究 5/解 11 (45)
dset46,Solution,研究 5/解 11 (46)
dset47,Solution,研究 5/解 11 (47)
dset48,Solution,研究 5/解 11 (48)
dset49,Solution,研究 5/解 11 (49)
dset50,Solution,研究 5/解 11 (50)
dset_std_n2_transfer,Solution,Solution for std_n2_transfer
dset_physical_mesh,Mesh,Physical Cell 3D - geometry visualization-mesh dataset
