metric,before,after,relative_difference,status
N2 cell dp,96.1940176856000,96.1940176856000,0.00000000000000,PASS
H2 cell dp,31.4624814583000,31.4624814583000,0.00000000000000,PASS
liquid cell dp,3.42685384837000,3.42685384837000,0.00000000000000,PASS
N2 pipe dp,7.46967199578000,7.46967199577962,5.02966491360537e-14,PASS
H2 pipe dp,3.77727731605000,3.77727731604765,6.22055468189400e-13,PASS
liquid pipe dp,32.8034711678000,32.8034711677735,8.07723624154228e-13,PASS
SSC Darcy dp,1500.00000000000,1500.00000000000,0.00000000000000,PASS
Sl min,0.00911690533193000,0.00911690533193000,0.00000000000000,PASS
Sl max,0.0284430344568000,0.0284430344568000,0.00000000000000,PASS
N2 transfer rate,9.66841603031000e-10,9.66841603031000e-10,0.00000000000000,PASS
