dataset_tag,dataset_type,label
dset1,Solution,Liquid Stationary Flow | NUMERICAL_TEST_ONLY/解 1 (1)
dset2,Solution,Liquid Stationary Flow | NUMERICAL_TEST_ONLY/解 1 (2)
dset_liq_solution,Solution,Liquid Stationary Flow | NUMERICAL_TEST_ONLY/解 3 (0)
dset3,Solution,N2 Stationary Flow | NUMERICAL_TEST_ONLY/解 2 (3)
dset4,Solution,N2 Stationary Flow | NUMERICAL_TEST_ONLY/解 2 (4)
dset_n2_solution,Solution,N2 Stationary Flow | NUMERICAL_TEST_ONLY/解 4 (0)
dset5,Solution,Liquid Stationary Flow | NUMERICAL_TEST_ONLY/解 3 (5)
dset6,Solution,Liquid Stationary Flow | NUMERICAL_TEST_ONLY/解 3 (6)
dset7,Solution,N2 Stationary Flow | NUMERICAL_TEST_ONLY/解 4 (7)
dset8,Solution,N2 Stationary Flow | NUMERICAL_TEST_ONLY/解 4 (8)
dset9,Solution,研究 2/解 5 (9)
dset10,Solution,研究 2/解 5 (10)
dset11,Solution,研究 2/解 5 (11)
dset_std_h2,Solution,M10A3 solution for std_h2
dset12,Solution,研究 2a/解 6 (12)
dset13,Solution,研究 2a/解 6 (13)
dset14,Solution,研究 2a/解 6 (14)
dset15,Solution,研究 2a/解 6 (15)
dset_std_pipe_n2,Solution,Solution for std_pipe_n2
dset16,Solution,研究 2b/解 7 (16)
dset17,Solution,研究 2b/解 7 (17)
dset18,Solution,研究 2b/解 7 (18)
dset19,Solution,研究 2b/解 7 (19)
dset20,Solution,研究 2b/解 7 (20)
dset_std_pipe_h2,Solution,Solution for std_pipe_h2
dset21,Solution,研究/解 8 (21)
dset22,Solution,研究/解 8 (22)
dset23,Solution,研究/解 8 (23)
dset24,Solution,研究/解 8 (24)
dset25,Solution,研究/解 8 (25)
dset26,Solution,研究/解 8 (26)
dset_std_pipe_liq,Solution,Solution for std_pipe_liq
dset27,Solution,研究 3/解 9 (27)
dset28,Solution,研究 3/解 9 (28)
dset29,Solution,研究 3/解 9 (29)
dset30,Solution,研究 3/解 9 (30)
dset31,Solution,研究 3/解 9 (31)
dset32,Solution,研究 3/解 9 (32)
dset33,Solution,研究 3/解 9 (33)
dset_std_ssc_darcy,Solution,Solution for std_ssc_darcy
dset34,Solution,研究 4/解 10 (34)
dset35,Solution,研究 4/解 10 (35)
dset36,Solution,研究 4/解 10 (36)
dset37,Solution,研究 4/解 10 (37)
dset38,Solution,研究 4/解 10 (38)
dset39,Solution,研究 4/解 10 (39)
dset40,Solution,研究 4/解 10 (40)
dset41,Solution,研究 4/解 10 (41)
dset_std_ssc_wetting,Solution,Solution for std_ssc_wetting
dset42,Solution,研究 5/解 11 (42)
dset43,Solution,研究 5/解 11 (43)
dset44,Solution,研究 5/解 11 (44)
dset45,Solution,研究 5/解 11 (45)
dset46,Solution,研究 5/解 11 (46)
dset47,Solution,研究 5/解 11 (47)
dset48,Solution,研究 5/解 11 (48)
dset49,Solution,研究 5/解 11 (49)
dset50,Solution,研究 5/解 11 (50)
dset_std_n2_transfer,Solution,Solution for std_n2_transfer
dset_physical_mesh,Mesh,Physical Cell 3D - geometry visualization-mesh dataset
dset51,Solution,std_species_n2_gas | M10A3/解 12 (51)
dset52,Solution,std_species_n2_gas | M10A3/解 12 (52)
dset53,Solution,std_species_n2_gas | M10A3/解 12 (53)
dset54,Solution,std_species_n2_gas | M10A3/解 12 (54)
dset55,Solution,std_species_n2_gas | M10A3/解 12 (55)
dset56,Solution,std_species_n2_gas | M10A3/解 12 (56)
dset57,Solution,std_species_n2_gas | M10A3/解 12 (57)
dset58,Solution,std_species_n2_gas | M10A3/解 12 (58)
dset59,Solution,std_species_n2_gas | M10A3/解 12 (59)
dset60,Solution,std_species_n2_gas | M10A3/解 12 (60)
dset_species_n2_gas,Solution,M10A3 solution for std_species_n2_gas
dset61,Solution,std_species_h2_gas | M10A3/解 13 (61)
dset62,Solution,std_species_h2_gas | M10A3/解 13 (62)
dset63,Solution,std_species_h2_gas | M10A3/解 13 (63)
dset64,Solution,std_species_h2_gas | M10A3/解 13 (64)
dset65,Solution,std_species_h2_gas | M10A3/解 13 (65)
dset66,Solution,std_species_h2_gas | M10A3/解 13 (66)
dset67,Solution,std_species_h2_gas | M10A3/解 13 (67)
dset68,Solution,std_species_h2_gas | M10A3/解 13 (68)
dset69,Solution,std_species_h2_gas | M10A3/解 13 (69)
dset70,Solution,std_species_h2_gas | M10A3/解 13 (70)
dset71,Solution,std_species_h2_gas | M10A3/解 13 (71)
dset_species_h2_gas,Solution,M10A3 solution for std_species_h2_gas
dset72,Solution,std_species_liq_flow | M10A3/解 14 (72)
dset73,Solution,std_species_liq_flow | M10A3/解 14 (73)
dset74,Solution,std_species_liq_flow | M10A3/解 14 (74)
dset75,Solution,std_species_liq_flow | M10A3/解 14 (75)
dset76,Solution,std_species_liq_flow | M10A3/解 14 (76)
dset77,Solution,std_species_liq_flow | M10A3/解 14 (77)
dset78,Solution,std_species_liq_flow | M10A3/解 14 (78)
dset79,Solution,std_species_liq_flow | M10A3/解 14 (79)
dset80,Solution,std_species_liq_flow | M10A3/解 14 (80)
dset81,Solution,std_species_liq_flow | M10A3/解 14 (81)
dset82,Solution,std_species_liq_flow | M10A3/解 14 (82)
dset83,Solution,std_species_liq_flow | M10A3/解 14 (83)
dset_species_liq_flow,Solution,M10A3 solution for std_species_liq_flow
dset84,Solution,std_species_liq_n2 | M10A3 strictly positive conservative transient relaxation/解 15 (84)
dset85,Solution,std_species_liq_n2 | M10A3 strictly positive conservative transient relaxation/解 15 (85)
dset86,Solution,std_species_liq_n2 | M10A3 strictly positive conservative transient relaxation/解 15 (86)
dset87,Solution,std_species_liq_n2 | M10A3 strictly positive conservative transient relaxation/解 15 (87)
dset88,Solution,std_species_liq_n2 | M10A3 strictly positive conservative transient relaxation/解 15 (88)
dset89,Solution,std_species_liq_n2 | M10A3 strictly positive conservative transient relaxation/解 15 (89)
dset90,Solution,std_species_liq_n2 | M10A3 strictly positive conservative transient relaxation/解 15 (90)
dset91,Solution,std_species_liq_n2 | M10A3 strictly positive conservative transient relaxation/解 15 (91)
dset92,Solution,std_species_liq_n2 | M10A3 strictly positive conservative transient relaxation/解 15 (92)
dset93,Solution,std_species_liq_n2 | M10A3 strictly positive conservative transient relaxation/解 15 (93)
dset94,Solution,std_species_liq_n2 | M10A3 strictly positive conservative transient relaxation/解 15 (94)
dset95,Solution,std_species_liq_n2 | M10A3 strictly positive conservative transient relaxation/解 15 (95)
dset_species_liq_n2,Solution,M10A3 solution for std_species_liq_n2
dset96,Solution,std_species_liq_nh3 | M10A3 strictly positive conservative transient relaxation/解 16 (96)
dset97,Solution,std_species_liq_nh3 | M10A3 strictly positive conservative transient relaxation/解 16 (97)
dset98,Solution,std_species_liq_nh3 | M10A3 strictly positive conservative transient relaxation/解 16 (98)
dset99,Solution,std_species_liq_nh3 | M10A3 strictly positive conservative transient relaxation/解 16 (99)
dset100,Solution,std_species_liq_nh3 | M10A3 strictly positive conservative transient relaxation/解 16 (100)
dset101,Solution,std_species_liq_nh3 | M10A3 strictly positive conservative transient relaxation/解 16 (101)
dset102,Solution,std_species_liq_nh3 | M10A3 strictly positive conservative transient relaxation/解 16 (102)
dset103,Solution,std_species_liq_nh3 | M10A3 strictly positive conservative transient relaxation/解 16 (103)
dset104,Solution,std_species_liq_nh3 | M10A3 strictly positive conservative transient relaxation/解 16 (104)
dset105,Solution,std_species_liq_nh3 | M10A3 strictly positive conservative transient relaxation/解 16 (105)
dset106,Solution,std_species_liq_nh3 | M10A3 strictly positive conservative transient relaxation/解 16 (106)
dset107,Solution,std_species_liq_nh3 | M10A3 strictly positive conservative transient relaxation/解 16 (107)
