component,geometry,dimension,feature_count,classification
comp_cc_raw,geom_cc_raw,3,2,REAL_PHYSICAL
comp_chamber_raw,geom_chamber_raw,3,2,REAL_PHYSICAL
comp_cc_rotated,geom_cc_rotated,3,5,SUPPORT
comp_registered,geom_registered,3,6,REAL_PHYSICAL
comp_electrolyte_flow,geom_electrolyte_fluid,3,7,REAL_PHYSICAL
comp_n2_flow,geom_n2_channel_fluid,3,6,REAL_PHYSICAL
comp_ssc_hardware,geom_ssc_hardware,3,4,REAL_PHYSICAL
comp_h2_flow,geom_h2_channel_fluid,3,7,REAL_PHYSICAL
comp_pipe_n2,geom_pipe_n2,2,2,REDUCED
comp_pipe_h2,geom_pipe_h2,2,2,REDUCED
comp_pipe_liq,geom_pipe_liq,2,2,REDUCED
comp_ssc_darcy,geom_ssc_darcy,2,2,REDUCED
comp_ssc_wetting,geom_ssc_wetting,2,2,REDUCED
comp_n2_transfer,geom_n2_transfer,2,3,REDUCED
comp_cell_physical,geom_cell_physical,3,30,REAL_PHYSICAL
comp_species_n2_real,geom_n2_channel_fluid1,3,6,REAL_PHYSICAL
comp_species_h2_real,geom_h2_channel_fluid1,3,7,REAL_PHYSICAL
comp_species_liq_real,geom_electrolyte_fluid1,3,7,REAL_PHYSICAL
comp_nh3_downstream,geom_nh3_downstream,1,2,REDUCED
