parameter,expression,source_class,description
T_test,298.15[K],PROVISIONAL_SENSITIVITY,NUMERICAL_TEST_ONLY temperature
Q_liq_test,Q_liq_sweep,CALIBRATION_REQUIRED,M10A2 CALIBRATION_REQUIRED sweep; legacy tag retained for field compatibility
rho_liq_test,rho_liq,PROVISIONAL_SENSITIVITY,PROVISIONAL property; legacy tag retained
mu_liq_test,mu_liq,PROVISIONAL_SENSITIVITY,PROVISIONAL property; legacy tag retained
Q_n2_test,Q_N2_lab,LAB_MANUAL,M10A2 LAB_MANUAL operating point; legacy tag retained for field compatibility
rho_n2_test,rho_N2,PROVISIONAL_SENSITIVITY,PROVISIONAL property; legacy tag retained
mu_n2_test,mu_N2,PROVISIONAL_SENSITIVITY,PROVISIONAL property; legacy tag retained
p_out_test,0[Pa],PROVISIONAL_SENSITIVITY,NUMERICAL_TEST_ONLY gauge outlet pressure
A_liq_in_test,31.5391404487[mm^2],PROVISIONAL_SENSITIVITY,NUMERICAL_TEST_ONLY measured CAD inlet area
A_n2_in_test,31.5391329804[mm^2],PROVISIONAL_SENSITIVITY,NUMERICAL_TEST_ONLY measured CAD inlet area
D_liq_in_test,2*sqrt(A_liq_in_test/pi),PROVISIONAL_SENSITIVITY,NUMERICAL_TEST_ONLY equivalent inlet diameter
D_n2_in_test,2*sqrt(A_n2_in_test/pi),PROVISIONAL_SENSITIVITY,NUMERICAL_TEST_ONLY equivalent inlet diameter
flow_scale_liq_test,1,PROVISIONAL_SENSITIVITY,NUMERICAL_TEST_ONLY continuation factor
flow_scale_n2_test,1,PROVISIONAL_SENSITIVITY,NUMERICAL_TEST_ONLY continuation factor
Q_N2_lab,50[cm^3/min],LAB_MANUAL,LAB_MANUAL formal N2 baseline; mL/min represented as cm^3/min
Q_H2_lab,50[cm^3/min],LAB_MANUAL,LAB_MANUAL formal H2 baseline; mL/min represented as cm^3/min
Q_gas_startup,20[cm^3/min],LAB_MANUAL,LAB_MANUAL optional 20 min preflow case
t_gas_startup,20[min],LAB_MANUAL,LAB_MANUAL startup duration
Q_liq_sweep,1[cm^3/min],CALIBRATION_REQUIRED,CALIBRATION_REQUIRED liquid flow sweep variable; not a lab baseline
gas_pfa_id,2.0[mm],LAB_MANUAL,LAB_MANUAL PFA ID used for hydraulics
gas_pfa_od,3.0[mm],LAB_MANUAL,"LAB_MANUAL PFA OD, visualization only"
liq_pfa_id,1.5[mm],LAB_MANUAL,LAB_MANUAL liquid PFA ID used for hydraulics
liq_pfa_id_large,2.0[mm],LAB_MANUAL,LAB_MANUAL 10 cm liquid PFA segment ID
latex_id,1.6[mm],LAB_MANUAL,LAB_MANUAL 14# latex ID; length remains CALIBRATION_REQUIRED
L_gas_out,0.20[m],LAB_MANUAL,LAB_MANUAL approximate gas outlet length per side
L_liq_20,0.20[m],LAB_MANUAL,LAB_MANUAL liquid PFA segment
L_liq_15,0.15[m],LAB_MANUAL,LAB_MANUAL liquid PFA segment; two segments
L_liq_10,0.10[m],LAB_MANUAL,LAB_MANUAL liquid PFA segment
L_latex_included,0[m],CALIBRATION_REQUIRED,CALIBRATION_REQUIRED latex length; zero explicitly excludes unknown resistance
ssc_cut,60[mm],LAB_MANUAL,LAB_MANUAL 316L SSC square cut width
gasket_outer,75[mm],LAB_MANUAL,LAB_MANUAL gasket outer square
