component,selection,dimension,count,label
comp_cc_raw,geom_cc_raw_imp_cc_pnt,0,245,Strict source STEP import
comp_cc_raw,geom_cc_raw_imp_cc_edg,1,372,Strict source STEP import
comp_cc_raw,geom_cc_raw_imp_cc_bnd,2,135,Strict source STEP import
comp_cc_raw,geom_cc_raw_imp_cc_dom,3,1,Strict source STEP import
comp_chamber_raw,geom_chamber_raw_imp_chamber_pnt,0,172,Strict source STEP import
comp_chamber_raw,geom_chamber_raw_imp_chamber_edg,1,260,Strict source STEP import
comp_chamber_raw,geom_chamber_raw_imp_chamber_bnd,2,93,Strict source STEP import
comp_chamber_raw,geom_chamber_raw_imp_chamber_dom,3,1,Strict source STEP import
comp_registered,sel_dom_chamber_solid,3,1,sel_dom_chamber_solid
comp_registered,sel_dom_cc_top_solid,3,1,sel_dom_cc_top_solid
comp_registered,sel_dom_cc_bottom_solid,3,1,sel_dom_cc_bottom_solid
comp_registered,sel_bnd_chamber_top_opening,2,69,sel_bnd_chamber_top_opening
comp_registered,sel_bnd_chamber_bottom_opening,2,69,sel_bnd_chamber_bottom_opening
comp_registered,sel_bnd_cc_top_flow_face,2,77,sel_bnd_cc_top_flow_face
comp_registered,sel_bnd_cc_bottom_flow_face,2,77,sel_bnd_cc_bottom_flow_face
comp_registered,sel_bnd_chamber_liquid_ports,2,11,sel_bnd_chamber_liquid_ports
comp_registered,sel_bnd_cc_top_gas_ports_in,2,3,sel_bnd_cc_top_gas_ports_in
comp_registered,sel_bnd_cc_top_gas_ports_out,2,3,sel_bnd_cc_top_gas_ports_out
comp_registered,sel_bnd_cc_top_gas_ports,2,5,sel_bnd_cc_top_gas_ports
comp_registered,sel_bnd_cc_bottom_gas_ports_in,2,3,sel_bnd_cc_bottom_gas_ports_in
comp_registered,sel_bnd_cc_bottom_gas_ports_out,2,3,sel_bnd_cc_bottom_gas_ports_out
comp_registered,sel_bnd_cc_bottom_gas_ports,2,5,sel_bnd_cc_bottom_gas_ports
comp_registered,sel_bnd_candidate_top_interface,2,82,sel_bnd_candidate_top_interface
comp_registered,sel_bnd_candidate_bottom_interface,2,82,sel_bnd_candidate_bottom_interface
comp_electrolyte_flow,sel_dom_electrolyte_fluid,3,1,sel_dom_electrolyte_fluid
comp_electrolyte_flow,sel_bnd_electrolyte_inlet,2,1,sel_bnd_electrolyte_inlet
comp_electrolyte_flow,sel_bnd_electrolyte_outlet,2,1,sel_bnd_electrolyte_outlet
comp_electrolyte_flow,sel_bnd_electrolyte_gde_top,2,1,sel_bnd_electrolyte_gde_top
comp_electrolyte_flow,sel_bnd_electrolyte_gde_bottom,2,1,sel_bnd_electrolyte_gde_bottom
comp_electrolyte_flow,sel_bnd_electrolyte_all,2,89,相邻
comp_electrolyte_flow,sel_bnd_electrolyte_walls,2,85,差集
comp_n2_flow,sel_dom_n2_channel,3,1,sel_dom_n2_channel
comp_n2_flow,sel_bnd_n2_all,2,80,相邻 2
comp_n2_flow,sel_bnd_n2_inlet_raw,2,1,sel_bnd_n2_inlet_raw
comp_n2_flow,sel_bnd_n2_inlet,2,1,交集
comp_n2_flow,sel_bnd_n2_outlet_raw,2,1,sel_bnd_n2_outlet_raw
comp_n2_flow,sel_bnd_n2_outlet,2,1,交集 2
comp_n2_flow,sel_bnd_n2_gde_interface_raw,2,1,sel_bnd_n2_gde_interface_raw
comp_n2_flow,sel_bnd_n2_gde_interface,2,1,交集 3
comp_n2_flow,sel_bnd_n2_walls,2,77,差集 2
comp_ssc_hardware,sel_dom_cathode_ssc,3,1,框
