field,requested_legacy_dataset,effective_dataset,effective_source_model,source_sha256,component,selection,expression,unit,min,max,mean,routing_class,status,notes
N2_velocity,dset_n2_solution,dset_n2_solution,F:\LiNRR_COMSOL\worktrees\LiNRR_M10A4_INTEGRATED\runs\M10A4\20260820_121258\checkpoint_A4_final_pre_audit.mph,E51EFEBA7AD3DF67FE0759D4A279A6C7B82758508E58D519EE7658888E321887,comp_n2_flow,sel_dom_n2_channel,sqrt(u2^2+v2^2+w2^2),m/s,0.0000000000000000,1.2478992176913275,0.19200259963249272,ACCEPTED_FALLBACK_SOURCE,PASS,Accepted N2 flow cache was intentionally cleared from compact M10A4; qin=-8.3333333333333330e-07; qout=8.3333333333332760e-07; Q_N2_lab=8.3333333333333350e-07; closure=6.8609668727598330e-15; Referenced by docs/M10A4_ionic_current_li_plating_contract.md and used as INPUT by LiNRR_M10A4_FinalCompact.java; accepted M10A4 run lineage.
N2_pressure,dset_n2_solution,dset_n2_solution,F:\LiNRR_COMSOL\worktrees\LiNRR_M10A4_INTEGRATED\runs\M10A4\20260820_121258\checkpoint_A4_final_pre_audit.mph,E51EFEBA7AD3DF67FE0759D4A279A6C7B82758508E58D519EE7658888E321887,comp_n2_flow,sel_dom_n2_channel,p2,Pa,0.13367878336149402,96.634924815979230,48.384314879718350,ACCEPTED_FALLBACK_SOURCE,PASS,inlet_mean=96.575413393092840; outlet_mean=0.38096619765239130; Referenced by docs/M10A4_ionic_current_li_plating_contract.md and used as INPUT by LiNRR_M10A4_FinalCompact.java; accepted M10A4 run lineage.
retained_liquid_velocity,dset_liq_solution,dset_a4b_flow_repair,F:\LiNRR_COMSOL\worktrees\20260825_155120_LiNRR_PAPER_V1_VISUALIZATION_CLEAN\models\generated\LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,sqrt(u^2+v^2+w^2),m/s,0.0000000000000000,0.015512050168606070,7.9008091898957320e-05,RETAINED_CANONICAL,PASS,Previous failed dset_liq_solution/sol3 observation preserved: legacy cache was cleared by compaction; sol20 recovery is accepted.
retained_liquid_pressure,dset_liq_solution,dset_a4b_flow_repair,F:\LiNRR_COMSOL\worktrees\20260825_155120_LiNRR_PAPER_V1_VISUALIZATION_CLEAN\models\generated\LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,p,Pa,0.18767717814278100,5.8013355738788650,3.0025863159001664,RETAINED_DERIVED,PASS,Laminar Flow pressure p is present in retained sol20.
retained_liquid_inlet_pressure,dset_liq_solution,dset_a4b_flow_repair,F:\LiNRR_COMSOL\worktrees\20260825_155120_LiNRR_PAPER_V1_VISUALIZATION_CLEAN\models\generated\LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,comp_species_liq_real,m10a3_sel_bnd_electrolyte_inlet,p,Pa,5.8009382685016670,5.8012017649842530,5.8010680789508350,RETAINED_DERIVED,PASS,Retained sol20 inlet pressure.
retained_liquid_outlet_pressure,dset_liq_solution,dset_a4b_flow_repair,F:\LiNRR_COMSOL\worktrees\20260825_155120_LiNRR_PAPER_V1_VISUALIZATION_CLEAN\models\generated\LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,comp_species_liq_real,m10a3_sel_bnd_electrolyte_outlet,p,Pa,0.19416592983298080,0.19471831595677483,0.19436646626729767,RETAINED_DERIVED,PASS,Retained sol20 outlet pressure.
n2_gas_concentration,dset_species_n2_gas,dset93,F:\LiNRR_COMSOL\worktrees\20260825_155120_LiNRR_PAPER_V1_VISUALIZATION_CLEAN\models\generated\LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,comp_species_n2_real,m10a3_sel_dom_n2_channel,cN2g,mol/m^3,40.874044523576110,40.874044523576220,40.874044523576636,RETAINED_DERIVED,PASS,sol12 cache is cleared; component-specific dset93 routes the retained sol15 state and reproduces cN2g.
dissolved_n2,dset_species_liq_n2,dset_species_liq_n2,F:\LiNRR_COMSOL\worktrees\20260825_155120_LiNRR_PAPER_V1_VISUALIZATION_CLEAN\models\generated\LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,cN2d,mol/m^3,0.00010000000000000000,123.02857111170353,1.1639480175691823,RETAINED_CANONICAL,PASS,Full sol15 retained; final stored time selected explicitly.
generic_donor,dset_species_liq_n2,dset_species_liq_n2,F:\LiNRR_COMSOL\worktrees\20260825_155120_LiNRR_PAPER_V1_VISUALIZATION_CLEAN\models\generated\LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,cDonor,mol/m^3,1.0000000000000000,1.0000000000000000,1.0000000000000000,RETAINED_CANONICAL,PASS,GENERIC DONOR; calibration required; never relabeled ethanol.
electrolyte_potential,dset_a4a_ohmic,dset_a4a_ohmic,F:\LiNRR_COMSOL\worktrees\20260825_155120_LiNRR_PAPER_V1_VISUALIZATION_CLEAN\models\generated\LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,cd.phil,V,0.0000000000000000,0.42349317936845965,0.21165313255202448,RETAINED_CANONICAL,PASS,sol19 retained; not full-cell voltage.
