plot_tag,plot_type,label,section,role,dataset,child_features,expressions,units,child_selection_exists,plot_run_ok,has_warning,warning_text,exception_class,exception_message,status
pg00_physical_cell,PlotGroup3D,00 | PHYSICAL CELL | Full 3D | REAL / PHYSICAL,V00_REACTOR,MAIN_TEACHING,dset_physical_mesh,dset_physical_mesh:Mesh,dset_physical_mesh=,dset_physical_mesh=,false,true,false,,,,PASS
pg_n2_velocity,PlotGroup3D,REAL GAS FLOW | N2 Velocity,V01_FLOW,MAIN_TEACHING,dset_n2_solution,surf:Surface;slice:Slice,surf=sqrt(u2^2+v2^2+w2^2);slice=sqrt(u2^2+v2^2+w2^2),surf=m/s;slice=m/s,false,true,false,,,,PASS
pg_n2_pressure,PlotGroup3D,REAL GAS FLOW | N2 Pressure,V01_FLOW,MAIN_TEACHING,dset_n2_solution,surf:Surface;slice:Slice,surf=p2;slice=p2,surf=Pa;slice=Pa,false,true,false,,,,PASS
pg_h2_velocity,PlotGroup3D,REAL GAS FLOW | H2 Velocity,V90_SI_SUPPORT,SI_SUPPORT,dset_std_h2,surf:Surface,surf=spf3.U,surf=m/s,false,true,false,,,,PASS
pg_h2_pressure,PlotGroup3D,REAL GAS FLOW | H2 Pressure,V90_SI_SUPPORT,SI_SUPPORT,dset_std_h2,surf:Surface,surf=pH2,surf=Pa,false,true,false,,,,PASS
pg_n2_gas_conc,PlotGroup3D,REAL SPECIES TRANSPORT | N2 Gas Concentration - Real Geometry,V02_SPECIES,MAIN_TEACHING,dset_species_n2_gas,vol:Volume,vol=cN2g,vol=mol/m^3,true,true,false,,,,PASS
pg_n2_dissolved_real,PlotGroup3D,REAL SPECIES TRANSPORT | Dissolved N2 - Real Geometry,V02_SPECIES,MAIN_TEACHING,dset_species_liq_n2,vol:Volume,vol=cN2d,vol=mol/m^3,true,true,false,,,,PASS
pg_n2_availability,PlotGroup3D,REAL SPECIES TRANSPORT | N2 Availability at Cathode,V02_SPECIES,MAIN_TEACHING,dset_species_n2_gas,surf:Surface,surf=cN2g,surf=mol/m^3,true,true,false,,,,PASS
pg_n2_flux_real,PlotGroup3D,N2 Flux Through Cathode SSC | HOMOGENIZED THIN-LAYER,V90_SI_SUPPORT,SI_SUPPORT,dset_species_liq_n2,surf:Surface,surf=k_N2_ssc*(c_N2_eq_mapped-cN2d),surf=mol/(m^2*s),true,true,false,,,,PASS
pg_n2_transport_resistance,PlotGroup1D,N2 Transport Resistance | HOMOGENIZED SSC | PROVISIONAL_SENSITIVITY,V90_SI_SUPPORT,SI_SUPPORT,dset_species_n2_gas,glob:Global,glob=1/(k_N2_ssc*A_n2_interface),glob=s/m^3,false,true,false,,,,PASS
pg_n2_reaction_uniformity,PlotGroup3D,N2 Reaction-Plane Uniformity | REAL INTERFACE,V02_SPECIES,MAIN_SUPPORT,dset_species_liq_n2,surf:Surface,surf=cN2d/n2_reaction_mean,surf=1,true,true,false,,,,PASS
pg_h2_gas_conc,PlotGroup3D,REAL SPECIES TRANSPORT | H2 Gas Concentration - Real Geometry,V90_SI_SUPPORT,SI_SUPPORT,dset_species_h2_gas,vol:Volume,vol=cH2g,vol=mol/m^3,true,true,false,,,,PASS
pg_h2_availability,PlotGroup3D,REAL SPECIES TRANSPORT | H2 Availability at PtAuSSC,V90_SI_SUPPORT,SI_SUPPORT,dset_species_h2_gas,surf:Surface,surf=cH2g,surf=mol/m^3,true,true,false,,,,PASS
pg_h2_transport_resistance,PlotGroup1D,H2 Gas Transport Resistance | POROUS-INTERFACE SCAFFOLD,V90_SI_SUPPORT,SI_SUPPORT,dset_species_h2_gas,glob:Global,glob=t_ssc/(D_H2_gas*eps_ssc/tau_ssc*A_h2_interface),glob=s/m^3,false,true,false,,,,PASS
pg_donor_real,PlotGroup3D,REAL SPECIES TRANSPORT | Proton Donor - Real Geometry | CALIBRATION_REQUIRED identity,V02_SPECIES,MAIN_TEACHING,dset_species_liq_n2,vol:Volume,vol=cDonor,vol=mol/m^3,true,true,false,,,,PASS
pg_nh3_real,PlotGroup3D,REAL SPECIES TRANSPORT | NH3 - Real Geometry | NUMERICAL_VERIFICATION_ONLY source,V90_SI_SUPPORT,SI_SUPPORT,dset_species_liq_nh3,vol:Volume,vol=cNH3,vol=mol/m^3,true,true,false,,,,PASS
pg_tracer_real,PlotGroup3D,REAL SPECIES TRANSPORT | Tracer - Real Geometry | PROVISIONAL Q,V90_SI_SUPPORT,SI_SUPPORT,dset_rtd,surf:Surface,surf=cTracer,surf=mol/m^3,false,true,false,,,,PASS
pg_nh3_downstream,PlotGroup1D,TRANSIENT / ENGINEERING | NH3 Downstream Response | REDUCED equivalent PFA,V90_SI_SUPPORT,SI_SUPPORT,dset_nh3_downstream,line:LineGraph,line=cNH3pipe,line=mol/m^3,false,true,false,,,,PASS
pg_nh3_breakthrough,PlotGroup1D,NH3 Outlet Breakthrough | REDUCED equivalent downstream,V90_SI_SUPPORT,SI_SUPPORT,dset_nh3_downstream,point:PointGraph,point=cNH3pipe/c_NH3_cell_outlet_transfer,point=1,false,true,false,,,,PASS
pg_nh3_inventory,PlotGroup1D,NH3 Inventory Density Profile | REDUCED equivalent downstream,V90_SI_SUPPORT,SI_SUPPORT,dset_nh3_downstream,line:LineGraph,line=cNH3pipe*A_pipe_equiv,line=mol/m,false,true,false,,,,PASS
