plot_tag,label,section,role,dataset,component,selection,expression,dimension,selection_count,plot_run_ok,warning,finite_min,finite_max,status,notes
viz00_reactor_full,V00 | REACTOR | Physical cell | REAL / PHYSICAL,V00_REACTOR,MAIN_TEACHING,dset_physical_mesh,comp_cell_physical,sel_dom_physical_all,,3,15,true,false,NOT_APPLICABLE,NOT_APPLICABLE,PASS,PURE_DISPLAY
viz00_reactor_exploded,V00 | REACTOR | Exploded SSC/GDE location | DISPLAY SCALE ONLY,V00_REACTOR,MAIN_TEACHING,dset_physical_mesh,comp_cell_physical,sel_dom_physical_all,,3,15,true,false,NOT_APPLICABLE,NOT_APPLICABLE,PASS,PURE_DISPLAY
viz00_ssc_gde_location,V00 | REACTOR | Cathode SSC/GDE location | PHYSICAL TRUE SCALE,V00_REACTOR,MAIN_TEACHING,dset_physical_mesh,comp_cell_physical,sel_dom_cathode_ssc_true,,3,3,true,false,NOT_APPLICABLE,NOT_APPLICABLE,PASS,Cathode SSC/GDE physical location; true-scale 30 um literature-same-platform layer
viz00_reaction_plane,V00 | REACTOR | AUTHORITATIVE REACTION PLANE | REAL INTERFACE,V00_REACTOR,MAIN_TEACHING,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,1,2,1,true,false,1.0000000000000000,1.0000000000000000,PASS,REAL INTERFACE; consistent reaction-plane framing
viz01_liq_velocity,V01 | FLOW | Electrolyte velocity | retained sol20 | LOG DISPLAY OF MAGNITUDE,V01_FLOW,MAIN_TEACHING,viz_dset_liq_sol20,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,sqrt(u^2+v^2+w^2),3,1,true,false,0.0000000000000000,0.015512050168606070,PASS,RETAINED_CANONICAL_REAL_LIQUID_FLOW; plot uses labelled log display to expose chamber-scale variation
viz01_liq_pressure,V01 | FLOW | Electrolyte pressure | retained sol20,V01_FLOW,MAIN_TEACHING,viz_dset_liq_sol20,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,p,3,1,true,false,0.18767717814278100,5.8013355738788650,PASS,Pressure is not voltage
viz01_liq_streamlines,V01 | FLOW | Electrolyte streamlines | retained sol20,V01_FLOW,MAIN_TEACHING,viz_dset_liq_sol20,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,sqrt(u^2+v^2+w^2),3,1,true,false,0.0000000000000000,0.015512050168606070,PASS,Seeded from authoritative retained-flow inlet
viz02_n2_gas,V02 | SPECIES | N2 gas concentration | retained sol15 route,V02_SPECIES,MAIN_TEACHING,viz_dset_n2_species_sol15,comp_species_n2_real,m10a3_sel_dom_n2_channel,cN2g,3,1,true,false,40.874044523576110,40.874044523576220,PASS,RETAINED_DERIVED component route; concentration only
viz02_n2_dissolved,V02 | SPECIES | Dissolved N2 | final retained sol15,V02_SPECIES,MAIN_TEACHING,dset_species_liq_n2,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,cN2d,3,1,true,false,0.00010000000000000000,123.02857111170353,PASS,final stored time
viz02_n2_reaction_plane,V02 | SPECIES | N2 at AUTHORITATIVE REACTION PLANE | REAL INTERFACE,V02_SPECIES,MAIN_TEACHING,dset_species_liq_n2,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,cN2d,2,1,true,false,0.48959936862474480,1.4253514890197125,PASS,final stored time; common framing
viz02_donor,V02 | SPECIES | GENERIC DONOR | CALIBRATION REQUIRED,V02_SPECIES,MAIN_TEACHING,dset_species_liq_n2,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,cDonor,3,1,true,false,1.0000000000000000,1.0000000000000000,PASS,GENERIC DONOR; never ethanol
viz03_electrolyte_potential,V03 | IONICS | Electrolyte potential | NOT FULL-CELL VOLTAGE,V03_IONICS,MAIN_TEACHING,dset_a4a_ohmic,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,cd.phil,3,1,true,false,0.0000000000000000,0.42349317936845965,PASS,NOT FULL-CELL VOLTAGE
viz03_li_concentration,V03 | IONICS | Li+ concentration | PROVISIONAL SENSITIVITY,V03_IONICS,MAIN_TEACHING,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,cLi_a4b,3,1,true,false,957.94531091744530,5622.1167984087490,PASS,PROVISIONAL SENSITIVITY
