dataset_tag,dataset_label,dataset_type,configured_solution_tag,configured_component,candidate_scientific_role,solution_present,stored_solution_state_detected,selection,expression,derived_value_nonempty,finite,min,max,mean,classification,replacement_for_legacy_dataset,notes
dset_liq_solution,Liquid Stationary Flow | NUMERICAL_TEST_ONLY/解 3 (0),Solution,sol3,comp_electrolyte_flow,LEGACY_REAL_LIQUID_FLOW,true,false,sel_dom_electrolyte_fluid,sqrt(u^2+v^2+w^2),false,false,,,,LEGACY_CACHE_CLEARED,dset_a4b_flow_repair,Previous audit observed empty Derived Values; retained here as routing history.
dset_n2_solution,N2 Stationary Flow | NUMERICAL_TEST_ONLY/解 4 (0),Solution,sol4,comp_n2_flow,LEGACY_REAL_N2_FLOW,true,false,sel_dom_n2_channel,sqrt(u2^2+v2^2+w2^2),false,false,,,,LEGACY_CACHE_CLEARED,,Do not infer usability from the surviving dataset tag.
dset_n2_solution,N2 Stationary Flow | NUMERICAL_TEST_ONLY/解 4 (0),Solution,sol4,comp_n2_flow,LEGACY_REAL_N2_PRESSURE,true,false,sel_dom_n2_channel,p2,false,false,,,,LEGACY_CACHE_CLEARED,,Pressure is tested independently from velocity.
dset_species_n2_gas,M10A3 solution for std_species_n2_gas,Solution,sol12,comp_species_n2_real,REAL_N2_GAS_SPECIES,true,false,m10a3_sel_dom_n2_channel,cN2g,false,false,,,,LEGACY_CACHE_CLEARED,,Concentration dataset is never relabeled as an N2 velocity source.
dset_species_liq_flow,M10A3 solution for std_species_liq_flow,Solution,sol14,comp_species_liq_real,M10A3_COLLOCATED_LIQUID_FLOW,true,false,m10a3_sel_dom_electrolyte_fluid,sqrt(u^2+v^2+w^2),false,false,,,,LEGACY_CACHE_CLEARED,dset_a4b_flow_repair,Historical collocated-flow route.
dset_species_liq_n2,M10A3 solution for std_species_liq_n2,Solution,sol15,comp_species_liq_real,DISSOLVED_N2_RETAINED_FINAL,true,true,m10a3_sel_dom_electrolyte_fluid,cN2d,true,true,0.00010000000000000000,123.02857111170353,1.1639480175691823,RETAINED_CANONICAL,,sol15 is retained in full; use final stored time for presentation.
dset_species_liq_n2,M10A3 solution for std_species_liq_n2,Solution,sol15,comp_species_liq_real,GENERIC_DONOR_RETAINED_FINAL,true,true,m10a3_sel_dom_electrolyte_fluid,cDonor,true,true,1.0000000000000000,1.0000000000000000,1.0000000000000000,RETAINED_CANONICAL,,Generic donor; calibration required; never label ethanol.
dset_a4a_ohmic,M10A4 A4A solution for std_a4a_ohmic,Solution,sol19,comp_species_liq_real,A4A_ELECTROLYTE_POTENTIAL,true,true,m10a3_sel_dom_electrolyte_fluid,cd.phil,true,true,0.0000000000000000,0.42349317936845965,0.21165313255202448,RETAINED_CANONICAL,,sol19 stationary state retained.
dset_a4b_flow_repair,A4B Real Liquid Flow Support/解 20 (0),Solution,sol20,comp_species_liq_real,A4B_REAL_LIQUID_VELOCITY_RECOVERY,true,true,m10a3_sel_dom_electrolyte_fluid,sqrt(u^2+v^2+w^2),true,true,0.0000000000000000,0.015512050168606070,7.9008091898957320e-05,RETAINED_CANONICAL,dset_liq_solution,Accepted A4B real-flow recovery; sol20.
dset_a4b_flow_repair,A4B Real Liquid Flow Support/解 20 (0),Solution,sol20,comp_species_liq_real,A4B_REAL_LIQUID_PRESSURE_RECOVERY,true,true,m10a3_sel_dom_electrolyte_fluid,p,true,true,0.18767717814278100,5.8013355738788650,3.0025863159001664,RETAINED_CANONICAL,dset_liq_solution,Pressure expression taken from Laminar Flow dependent variable p.
