field,dataset,component,selection,expression,before_min,after_min,before_max,after_max,before_mean,after_mean,max_relative_error,status,notes
retained_liquid_velocity,dset_a4b_flow_repair,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,sqrt(u^2+v^2+w^2),0.0000000000000000,0.0000000000000000,0.015512050168606070,0.015512050168606070,7.9008091898957320e-05,7.9008091898957320e-05,0.0000000000000000,PASS,Stored scientific result unchanged after visualization-only save/reload
retained_liquid_pressure,dset_a4b_flow_repair,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,p,0.18767717814278100,0.18767717814278100,5.8013355738788650,5.8013355738788650,3.0025863159001664,3.0025863159001664,0.0000000000000000,PASS,Stored scientific result unchanged after visualization-only save/reload
retained_liquid_inlet_pressure,dset_a4b_flow_repair,comp_species_liq_real,m10a3_sel_bnd_electrolyte_inlet,p,5.8009382685016670,5.8009382685016670,5.8012017649842530,5.8012017649842530,5.8010680789508350,5.8010680789508350,0.0000000000000000,PASS,Stored scientific result unchanged after visualization-only save/reload
retained_liquid_outlet_pressure,dset_a4b_flow_repair,comp_species_liq_real,m10a3_sel_bnd_electrolyte_outlet,p,0.19416592983298080,0.19416592983298080,0.19471831595677483,0.19471831595677483,0.19436646626729767,0.19436646626729767,0.0000000000000000,PASS,Stored scientific result unchanged after visualization-only save/reload
n2_gas_concentration,dset93,comp_species_n2_real,m10a3_sel_dom_n2_channel,cN2g,40.874044523576110,40.874044523576110,40.874044523576220,40.874044523576220,40.874044523576636,40.874044523576636,0.0000000000000000,PASS,Stored scientific result unchanged after visualization-only save/reload
dissolved_n2,dset_species_liq_n2,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,cN2d,0.00010000000000000000,0.00010000000000000000,123.02857111170353,123.02857111170353,1.1639480175691823,1.1639480175691823,0.0000000000000000,PASS,Stored scientific result unchanged after visualization-only save/reload
generic_donor,dset_species_liq_n2,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,cDonor,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,0.0000000000000000,PASS,Stored scientific result unchanged after visualization-only save/reload
electrolyte_potential,dset_a4a_ohmic,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,cd.phil,0.0000000000000000,0.0000000000000000,0.42349317936845965,0.42349317936845965,0.21165313255202448,0.21165313255202448,0.0000000000000000,PASS,Stored scientific result unchanged after visualization-only save/reload
li_concentration,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,cLi_a4b,957.94531091744530,957.94531091744530,5622.1167984087490,5622.1167984087490,1685.0470090274712,1685.0470090274712,0.0000000000000000,PASS,Stored scientific result unchanged after visualization-only save/reload
bf4_concentration,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,cBF4_a4b,957.94531091744530,957.94531091744530,5622.1167984087490,5622.1167984087490,1685.0470090274712,1685.0470090274712,0.0000000000000000,PASS,Stored scientific result unchanged after visualization-only save/reload
ionic_current,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,j_ion_a4b_mag,0.0000000000000000,0.0000000000000000,31.316023412474745,31.316023412474745,11.336483545165503,11.336483545165503,0.0000000000000000,PASS,Stored scientific result unchanged after visualization-only save/reload
cathode_current,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"withsol('sol19',cd.nIl)",-10.274918187844683,-10.274918187844683,17.582907914967660,17.582907914967660,9.9999999999994280,9.9999999999994280,0.0000000000000000,PASS,Stored scientific result unchanged after visualization-only save/reload
li_equivalent_9C,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"((-(-((0.0384399999999978[A])/(0.00384400000000000[m^2]*(10.0071933411891[A/m^2]))*(sqrt((withsol('sol19',cd.nIl))^2))))/F_const)*(6.941e-3[kg/mol])/(534[kg/m^3]))*(234.131113423531[s])",2.6399527173721310e-10,2.6399527173721310e-10,5.5418789172727880e-07,5.5418789172727880e-07,3.1541276355907717e-07,3.1541276355907717e-07,0.0000000000000000,PASS,Stored scientific result unchanged after visualization-only save/reload
li_equivalent_45C,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"((-(-((0.0384399999999978[A])/(0.00384400000000000[m^2]*(10.0071933411891[A/m^2]))*(sqrt((withsol('sol19',cd.nIl))^2))))/F_const)*(6.941e-3[kg/mol])/(534[kg/m^3]))*(1170.65556711765[s])",1.3199763586860597e-09,1.3199763586860597e-09,2.7709394586363824e-06,2.7709394586363824e-06,1.5770638177953810e-06,1.5770638177953810e-06,0.0000000000000000,PASS,Stored scientific result unchanged after visualization-only save/reload
li_equivalent_54C,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"((-(-((0.0384399999999978[A])/(0.00384400000000000[m^2]*(10.0071933411891[A/m^2]))*(sqrt((withsol('sol19',cd.nIl))^2))))/F_const)*(6.941e-3[kg/mol])/(534[kg/m^3]))*(1404.78668054118[s])",1.5839716304232717e-09,1.5839716304232717e-09,3.3251273503636584e-06,3.3251273503636584e-06,1.8924765813544540e-06,1.8924765813544540e-06,0.0000000000000000,PASS,Stored scientific result unchanged after visualization-only save/reload
li_equivalent_99C,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"((-(-((0.0384399999999978[A])/(0.00384400000000000[m^2]*(10.0071933411891[A/m^2]))*(sqrt((withsol('sol19',cd.nIl))^2))))/F_const)*(6.941e-3[kg/mol])/(534[kg/m^3]))*(2575.44224765884[s])",2.9039479891093436e-09,2.9039479891093436e-09,6.0960668090000660e-06,6.0960668090000660e-06,3.4695403991498546e-06,3.4695403991498546e-06,0.0000000000000000,PASS,Stored scientific result unchanged after visualization-only save/reload
li_equivalent_297C,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"((-(-((0.0384399999999978[A])/(0.00384400000000000[m^2]*(10.0071933411891[A/m^2]))*(sqrt((withsol('sol19',cd.nIl))^2))))/F_const)*(6.941e-3[kg/mol])/(534[kg/m^3]))*(7726.32674297651[s])",8.7118439673280170e-09,8.7118439673280170e-09,1.8288200427000170e-05,1.8288200427000170e-05,1.0408621197449540e-05,1.0408621197449540e-05,0.0000000000000000,PASS,Stored scientific result unchanged after visualization-only save/reload
n2_current_overlap,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"if(((withsol('sol15',cN2d))>=(1.23873815059718[mol/m^3])),1,0)+2*if(((sqrt((withsol('sol19',cd.nIl))^2))>=(11.2120528939174[A/m^2])),1,0)",0.0000000000000000,0.0000000000000000,3.0000000000000000,3.0000000000000000,1.4996843287584811,1.4996843287584811,0.0000000000000000,PASS,Stored scientific result unchanged after visualization-only save/reload
donor_current_overlap,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"if(((withsol('sol15',cDonor))>=(1.00000000000000[mol/m^3])),1,0)+2*if(((sqrt((withsol('sol19',cd.nIl))^2))>=(11.2120528939174[A/m^2])),1,0)",1.0000000000000000,1.0000000000000000,3.0000000000000000,3.0000000000000000,1.9999401910834222,1.9999401910834222,0.0000000000000000,PASS,Stored scientific result unchanged after visualization-only save/reload
four_field_colimitation,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"if(((withsol('sol15',cN2d))>=(1.23873815059718[mol/m^3])),1,0)+2*if(((cLi_a4b)>=(1693.33555351719[mol/m^3])),1,0)+4*if(((withsol('sol15',cDonor))>=(1.00000000000000[mol/m^3])),1,0)+8*if(((sqrt((withsol('sol19',cd.nIl))^2))>=(11.2120528939174[A/m^2])),1,0)",4.0000000000000000,4.0000000000000000,15.000000000000000,15.000000000000000,9.4993429778345160,9.4993429778345160,0.0000000000000000,PASS,Stored scientific result unchanged after visualization-only save/reload
colimitation_robustness,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"if(((withsol('sol15',cN2d))>=(1.23873815059718[mol/m^3]))&&((cLi_a4b)>=(1693.33555351719[mol/m^3]))&&((withsol('sol15',cDonor))>=(1.00000000000000[mol/m^3]))&&((sqrt((withsol('sol19',cd.nIl))^2))>=(11.2120528939174[A/m^2])),1,0)",0.0000000000000000,0.0000000000000000,1.0000000000000000,1.0000000000000000,0.16683759614312470,0.16683759614312470,0.0000000000000000,PASS,Stored scientific result unchanged after visualization-only save/reload
joule_diagnostic,dset_a4a_ohmic,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,q_ohmic_a4a,0.0000000000000000,0.0000000000000000,3268.9777412361286,3268.9777412361286,471.36268465252084,471.36268465252084,0.0000000000000000,PASS,Stored scientific result unchanged after visualization-only save/reload
