"parameter","symbol","value","unit","model_stage","source_class","source_reference","experimental_status","calibration_status","paper_usage","allowed_interpretation","forbidden_interpretation","notes"
"Cathode active area","A_echem,cath","3844","mm^2","M10A4","REAL_CAD","results/tables/M10A4_electrochemical_area_audit.csv","CAD-derived interface measure","FROZEN","normalization and reaction plane","authoritative electrolyte/GDE interface area","60x60 mm SSC cut area","38.44 cm^2"
"SSC cut width","ssc_cut","60","mm","M10A3","LAB_MANUAL","evidence/M10A3/parameter_inventory.csv","manual geometry input","FROZEN","geometry context","physical cut dimension","electrochemical active area","cut area is 3600 mm^2"
"Model applied current density","j_app_sensitivity","10","A/m^2","M10A4A","PROVISIONAL_SENSITIVITY","results/tables/M10A4_parameter_provenance.csv","not recovered from raw program","CALIBRATION_REQUIRED","frozen current-field sensitivity","model sensitivity input","measured lab current density","I=0.03844 A on accepted area"
"Electrolyte conductivity","kappa_M10A4_nominal","0.3","S/m","M10A4A","LITERATURE_ESTIMATE","results/tables/M10A4_parameter_provenance.csv","not measured for current run","CALIBRATION_REQUIRED","provisional ohmic sensitivity","provisional sensitivity/literature estimate","experimentally calibrated conductivity","source status also PROVISIONAL_SENSITIVITY"
"Effective salt diffusivity","D_salt_a4b_eff","1e-8","m^2/s","M10A4B","PROVISIONAL_SENSITIVITY","evidence/M10A4/M10A4_final_report.txt","not measured","CALIBRATION_REQUIRED","reduced electroneutral transport","effective sensitivity coefficient","measured Li or BF4 diffusivity","common-salt reduction"
"Cation transference number","t_plus_a4b","0.5","1","M10A4B","PROVISIONAL_SENSITIVITY","evidence/M10A4/M10A4_final_report.txt","not measured","CALIBRATION_REQUIRED","ionic flux partition","provisional binary-ion partition","measured transference number","BF4 share is 1-t_plus"
"LiBF4 bulk concentration","c_salt_bulk_a4b","1","mol/L","M10A4B","LAB_MANUAL","results/tables/M10A4_parameter_provenance.csv","recipe value","FROZEN","ionic reference concentration","bulk recipe concentration","local experimental validation","positive common-salt field"
"N2 gas flow","Q_N2_lab","50","cm^3/min","M10A3","LAB_MANUAL","evidence/M10A3/parameter_inventory.csv","manual operating point","FROZEN","gas-route boundary condition","manual nominal flow","independently metered run evidence","M10A3 frozen"
"Liquid flow","Q_liq_sweep","1","cm^3/min","M10A3","CALIBRATION_REQUIRED","evidence/M10A3/parameter_inventory.csv","not lab baseline","CALIBRATION_REQUIRED","frozen accepted flow case","model sweep operating point","measured lab baseline","real solved flow reused"
"N2 diffusivity","D_N2","accepted model expression","m^2/s","M10A3","LITERATURE_ESTIMATE","evidence/M10A3/parameter_inventory.csv","not measured in current platform","CALIBRATION_REQUIRED","N2 availability field","literature/provisional transport input","experimentally calibrated coefficient","exact expression retained in source inventory"
"Generic donor diffusivity","D_donor","accepted model expression","m^2/s","M10A3","PROVISIONAL_SENSITIVITY","evidence/M10A3/parameter_inventory.csv","generic field only","CALIBRATION_REQUIRED","generic donor availability","generic donor transport diagnostic","validated local ethanol concentration","do not rename frozen variable"
"Li molar mass","M_Li","6.941e-3","kg/mol","M10A4D","LITERATURE_REPORTED","results/tables/M10A4_parameter_provenance.csv","reference constant","NOT_REQUIRED","Faraday-equivalent mass","stoichiometric conversion constant","kinetic parameter",""
"Li density","rho_Li","534","kg/m^3","M10A4D","LITERATURE_REPORTED","results/tables/M10A4_parameter_provenance.csv","reference property","NOT_REQUIRED","equivalent volume/thickness","conversion property","retention validation",""
"Faraday constant","F","96485.33212331002","C/mol","M03/M10A4D","LITERATURE_REPORTED","results/tables/M10A4_parameter_provenance.csv","physical constant","NOT_REQUIRED","charge ledger","charge-to-moles conversion","fitted coefficient",""
"Charge checkpoints","Q","9,45,54,99,297","C","M10A4D","LAB_MANUAL","results/tables/M10A4_electrochemical_program_audit.csv","manual program","FROZEN","charge-indexed Li-equivalent states","program charge indices","elapsed time without I conversion",""
"Li current partition","f_Li_current","0.25,0.50,0.75,1.00","1","M10A4D","PROVISIONAL_SENSITIVITY","results/tables/M10A4_li_faraday_ledger.csv","not measured","CALIBRATION_REQUIRED","upper bound and partition sensitivity","f=1 numerical upper bound","measured retained-Li fraction",""
"Co-limitation threshold quantiles","q_threshold","0.40,0.50,0.60","1","M10A4E","DERIVED_DIAGNOSTIC","results/tables/M10A4_spatial_colimitation.csv","diagnostic definition","FROZEN","threshold robustness","area-weighted diagnostic thresholds","kinetic onset thresholds","q=0.50 primary"
"Model ohmic resistance","R_ohmic","11.016992179201","ohm","M10A4A","DERIVED_DIAGNOSTIC","results/tables/M10A4_resistance_audit.csv","not EIS validation","inherits kappa limitation","electrolyte loss diagnostic","model electrolyte ohmic resistance","full-cell voltage or measured HFR","not fitted to manual <=2.5 ohm plausibility statement"
