"regression_id","stage","metric","accepted_value","unit","acceptance_rule","status","source_artifact","source_sha256","paper_role","notes"
"R01","M01","fine flow mass balance","7.90564084104e-16","1","accepted verification regression","PASS","results/tables/M01_2_flow_analytic.csv","C07FE424C48D5D1BEE899A35BB66344D48F891795D21B070A00490FBBD7C21A0","verified flow operator","fully developed baseline"
"R02","M02","fine MMS L2 relative error","4.22218328425e-07","1","accepted verification regression","PASS","results/tables/M02_2_mms_convergence.csv","1723EAA691CB5A81C3539A693C736E52E847E635F580967865947473F8349AB5","verified transport operator","observed order "
"R03","M03","fine current conservation","4.65147728862e-15","1","accepted verification regression","PASS","results/tables/M03A_3_current_conservation.csv","5D47A96E8CDA096F049BA4A6FCD30EA1699ED9ED5DFC0050EBC504C6830B88C9","verified current operator",""
"R04","M03","fine Faraday current-to-N2 error","4.55119415922e-15","1","accepted verification regression","PASS","results/tables/M03A_3_faradaic_stoichiometry.csv","3ECC55A93E54A5CEDA7DC70B9786A4171CBAEA48AE3A9378777E92D97505C65F","verified Faraday operator",""
"R05","M10A3","maximum accepted species residual","7.87929544513639E-07","1","all accepted rows PASS","PASS","results/tables/M10A3_species_conservation.csv","BA88E66C1ED687E878CF302295A7099DA00A4F34D1D24EF46C8E0F74EB8478F0","real-cell neutral transport",""
"R06","M10A4A","current conservation","1.80512328405505E-15","1","<=1e-8","PASS","results/tables/M10A4_charge_conservation.csv","F014103B8DFD4A99663C82AFF06FA3F1D2208F3E469499826C1DE2E1C721F9BD","charge conservation",""
"R07","M10A4B","Li conservation","2.03040317664811E-09","1","<=1e-6","PASS","results/tables/M10A4_ionic_species_conservation.csv","EEDDBA6F44A1D9EF4BCAFE0ED18D8EEACCC139B6C79AEADBCC5BDD013FFD44A0","ionic conservation",""
"R08","M10A4B","BF4 conservation","2.03040321979805E-09","1","<=1e-6","PASS","results/tables/M10A4_ionic_species_conservation.csv","EEDDBA6F44A1D9EF4BCAFE0ED18D8EEACCC139B6C79AEADBCC5BDD013FFD44A0","ionic conservation",""
"R09","M10A4B","electroneutrality max abs","0","mol/m^3","equals 0","PASS","results/tables/M10A4_ionic_species_conservation.csv","EEDDBA6F44A1D9EF4BCAFE0ED18D8EEACCC139B6C79AEADBCC5BDD013FFD44A0","electroneutral reduction",""
"R10","M10A4D","maximum Faraday ledger residual","1.43543987022242E-16","1","<=1e-10","PASS","results/tables/M10A4_li_faraday_ledger.csv","BDCF94562D4D0AB85ED3214CD7544CE6F4D269F395245AF218EBDFE0E2BE2512","charge-indexed ledger",""
"R11","M10A4 mesh","maximum key difference","0.0621400622644018","1","<=0.10; >0.05 is limitation","PASS_WITH_LIMITATION","results/tables/M10A4_mesh_convergence.csv","EF60A87CDCC1D594046E1E52133CFBEAAD65753CC5F998DAD700D66599E733B9","robustness","limiting metric "
"R12","M10A4 reload","independent reload","PASS","status","PASS without solve","PASS","evidence/M10A4/M10A4_final_report.txt","6E0ED21B73318A151262CC9653941EAD0770F1B7FAEFE8908E9D6A029198E016","reproducibility",""
"R13","M10A4 audit","no prohibited physics","TRUE","boolean","TRUE","PASS","evidence/M10A4/M10A4_final_report.txt","6E0ED21B73318A151262CC9653941EAD0770F1B7FAEFE8908E9D6A029198E016","scope control",""
"R14","M10A4 artifact","final MPH SHA256","FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B","SHA256","equals published compact hash","PASS","models/generated/LiNRR_M10A4_ionic_current_li_plating.mph","FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B","artifact identity","807839751 bytes"
