"figure_id","panel_id","dependency_id","dependency_path","dependency_sha256","dependency_role","source_class","required","status","notes"
"F1","a","F1A_M01","results/tables/M01_2_flow_analytic.csv","C07FE424C48D5D1BEE899A35BB66344D48F891795D21B070A00490FBBD7C21A0","AUTHORITATIVE_VERIFICATION_TABLE","NUMERICAL_VERIFICATION","TRUE","PASS",""
"F1","a","F1A_M02","results/tables/M02_2_mms_convergence.csv","1723EAA691CB5A81C3539A693C736E52E847E635F580967865947473F8349AB5","AUTHORITATIVE_VERIFICATION_TABLE","NUMERICAL_VERIFICATION","TRUE","PASS",""
"F1","a","F1A_M03","results/tables/M03A_3_current_conservation.csv","5D47A96E8CDA096F049BA4A6FCD30EA1699ED9ED5DFC0050EBC504C6830B88C9","AUTHORITATIVE_VERIFICATION_TABLE","NUMERICAL_VERIFICATION","TRUE","PASS",""
"F1","a","F1A_A4","results/tables/M10A4_charge_conservation.csv","F014103B8DFD4A99663C82AFF06FA3F1D2208F3E469499826C1DE2E1C721F9BD","AUTHORITATIVE_VERIFICATION_TABLE","NUMERICAL_VERIFICATION","TRUE","PASS",""
"F2","a","F2A_CELL","evidence/M10A4/physical_cell.png","1221BB59C482FCD66A932619549BD1F6C6663571D1C00C2446E56CB22495BCE0","ACCEPTED_RENDERING","REAL_CAD","TRUE","PASS",""
"F2","b","F2B_AREA","results/tables/M10A4_electrochemical_area_audit.csv","276AF2EF7FDE4690B9EECC66590CC658FADF0E7D7E190235F72904FB20C014DF","AUTHORITATIVE_AREA_TABLE","REAL_CAD","TRUE","PASS",""
"F3","a","F3A_N2","evidence/M10A3/n2_dissolved_real.png","15D8043AF2A6E18F1FDCCB12207F7F5E90C312D4FF8921783BA897677FD7C1DD","ACCEPTED_RENDERING","REAL_CELL_MODEL_PREDICTION","TRUE","PASS",""
"F3","b","F3B_LI","evidence/M10A4/li_concentration.png","C3A217371B744DECD9D722177AED4B62C2A12F3130F853788E475C84A0CCCCFE","ACCEPTED_RENDERING","PROVISIONAL_SENSITIVITY","TRUE","PASS",""
"F3","c","F3C_BF4","evidence/M10A4/li_concentration.png","C3A217371B744DECD9D722177AED4B62C2A12F3130F853788E475C84A0CCCCFE","ACCEPTED_RENDERING","PROVISIONAL_SENSITIVITY","TRUE","PASS","BF4=cLi in accepted reduced electroneutral representation"
"F3","d","F3D_DONOR","evidence/M10A3/proton_donor_real.png","1456B1A90FFC4A08BBD16C55B2A79EE730AFFBBC2F8FCB066774CD7A4A3B8D97","ACCEPTED_RENDERING","CALIBRATION_REQUIRED","TRUE","PASS",""
"F4","a","F4A_PHI","evidence/M10A4/electrolyte_potential.png","BFACE8C83612CC6C34B7393E952E57883A01A602F6ACCB982E426D7875BE161D","ACCEPTED_RENDERING","DERIVED_DIAGNOSTIC","TRUE","PASS",""
"F4","b","F4B_CURRENT","evidence/M10A4/cathode_current_density.png","B84E2F24456891BD36D05F34A0C1DDB66D86F5CD39B8E5DAAA165C822AFED1DE","ACCEPTED_RENDERING","REAL_CELL_MODEL_PREDICTION","TRUE","PASS",""
"F4","c","F4C_STATS","results/tables/M10A4_current_distribution_statistics.csv","2D871C2F86FB84205958BCFC0B13FFFEEB72937A81324953C7A282F80072E508","AUTHORITATIVE_STATISTICS","DERIVED_DIAGNOSTIC","TRUE","PASS",""
"F5","a","F5A_MAP","evidence/M10A4/li_equivalent_thickness_297C_f1_upper_bound.png","7283247F0665E69973B77C65517C279B9B69883443D06264A536FF7E831301FD","ACCEPTED_RENDERING","NUMERICAL_UPPER_BOUND","TRUE","PASS",""
"F5","b","F5B_LEDGER","results/tables/M10A4_li_faraday_ledger.csv","BDCF94562D4D0AB85ED3214CD7544CE6F4D269F395245AF218EBDFE0E2BE2512","AUTHORITATIVE_LEDGER","CURRENT_PARTITION_SENSITIVITY","TRUE","PASS",""
"F6","a","F6A_MAP","evidence/M10A4/spatial_colimitation.png","05BF7875DF486C3EF44A25D811DCA46E604A4DCBD79B438552461DB376C85C95","ACCEPTED_RENDERING","DIAGNOSTIC_ONLY","TRUE","PASS",""
"F6","b","F6B_TABLE","results/tables/M10A4_spatial_colimitation.csv","F1D3435E1BEF95DA1DD259B24E707B7A738AA2133CEDD59F2253D5EE9D755454","AUTHORITATIVE_DIAGNOSTIC_TABLE","DIAGNOSTIC_ONLY","TRUE","PASS",""
"F7","a","F7A_MESH","results/tables/M10A4_mesh_convergence.csv","EF60A87CDCC1D594046E1E52133CFBEAAD65753CC5F998DAD700D66599E733B9","AUTHORITATIVE_MESH_TABLE","NUMERICAL_VERIFICATION","TRUE","PASS",""
"F7","b","F7B_PROV","paper/v1/PARAMETER_PROVENANCE.csv","02FA87584171946138B7E7BD1D8566846E6668554F75420CA3322D3BC8AF0461","CONSOLIDATED_PROVENANCE","CALIBRATION_REQUIRED","TRUE","PASS",""
