"figure_id","panel_id","output_file","output_sha256","dimensions_ok","dependency_hashes_ok","source_script_ok","scientific_status_ok","wording_ok","classification_ok","deterministic_rebuild_ok","manual_numeric_edit","reproducible","review_method","status","notes"
"F1","a","paper/v1/figures/Figure1_verification_first_architecture.png","3CFEEB1ED79FCEBD63FA724E65D7EFB1BE5BE55879BEF9DA39DB74A95EDB5F8A","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","AUTOMATED_HASH_AND_DETERMINISTIC_REBUILD","PASS","PNG decode/dimensions, dependency hashes, builder hash, metadata completeness, and byte-identical clean rebuild checked."
"F2","a","paper/v1/figures/Figure2_real_cell_geometry_flow.png","04BA0D1A78A073619DCC14ABF547554812D57F05B44E26AEBA447E315E75A1BB","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","AUTOMATED_HASH_AND_DETERMINISTIC_REBUILD","PASS","PNG decode/dimensions, dependency hashes, builder hash, metadata completeness, and byte-identical clean rebuild checked."
"F2","b","paper/v1/figures/Figure2_real_cell_geometry_flow.png","04BA0D1A78A073619DCC14ABF547554812D57F05B44E26AEBA447E315E75A1BB","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","AUTOMATED_HASH_AND_DETERMINISTIC_REBUILD","PASS","PNG decode/dimensions, dependency hashes, builder hash, metadata completeness, and byte-identical clean rebuild checked."
"F3","a","paper/v1/figures/Figure3_neutral_ionic_transport.png","28429B031FC9D800DF29A85390EC6F807FF9C43ECBF4630AC0270B16285DFB6C","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","AUTOMATED_HASH_AND_DETERMINISTIC_REBUILD","PASS","PNG decode/dimensions, dependency hashes, builder hash, metadata completeness, and byte-identical clean rebuild checked."
"F3","b","paper/v1/figures/Figure3_neutral_ionic_transport.png","28429B031FC9D800DF29A85390EC6F807FF9C43ECBF4630AC0270B16285DFB6C","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","AUTOMATED_HASH_AND_DETERMINISTIC_REBUILD","PASS","PNG decode/dimensions, dependency hashes, builder hash, metadata completeness, and byte-identical clean rebuild checked."
"F3","c","paper/v1/figures/Figure3_neutral_ionic_transport.png","28429B031FC9D800DF29A85390EC6F807FF9C43ECBF4630AC0270B16285DFB6C","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","AUTOMATED_HASH_AND_DETERMINISTIC_REBUILD","PASS","PNG decode/dimensions, dependency hashes, builder hash, metadata completeness, and byte-identical clean rebuild checked."
"F3","d","paper/v1/figures/Figure3_neutral_ionic_transport.png","28429B031FC9D800DF29A85390EC6F807FF9C43ECBF4630AC0270B16285DFB6C","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","AUTOMATED_HASH_AND_DETERMINISTIC_REBUILD","PASS","PNG decode/dimensions, dependency hashes, builder hash, metadata completeness, and byte-identical clean rebuild checked."
"F4","a","paper/v1/figures/Figure4_current_distribution.png","7400B7BCD8D9C25E06D87BAFDD88A5B4924192B11091BB6B2638324BD306ADAB","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","AUTOMATED_HASH_AND_DETERMINISTIC_REBUILD","PASS","PNG decode/dimensions, dependency hashes, builder hash, metadata completeness, and byte-identical clean rebuild checked."
"F4","b","paper/v1/figures/Figure4_current_distribution.png","7400B7BCD8D9C25E06D87BAFDD88A5B4924192B11091BB6B2638324BD306ADAB","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","AUTOMATED_HASH_AND_DETERMINISTIC_REBUILD","PASS","PNG decode/dimensions, dependency hashes, builder hash, metadata completeness, and byte-identical clean rebuild checked."
"F4","c","paper/v1/figures/Figure4_current_distribution.png","7400B7BCD8D9C25E06D87BAFDD88A5B4924192B11091BB6B2638324BD306ADAB","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","AUTOMATED_HASH_AND_DETERMINISTIC_REBUILD","PASS","PNG decode/dimensions, dependency hashes, builder hash, metadata completeness, and byte-identical clean rebuild checked."
"F5","a","paper/v1/figures/Figure5_li_equivalent_charge_program.png","6A37B556B0EAA0BA1B4BDF9298702898E594B1ABBB1E4F958C8832188A349766","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","AUTOMATED_HASH_AND_DETERMINISTIC_REBUILD","PASS","PNG decode/dimensions, dependency hashes, builder hash, metadata completeness, and byte-identical clean rebuild checked."
"F5","b","paper/v1/figures/Figure5_li_equivalent_charge_program.png","6A37B556B0EAA0BA1B4BDF9298702898E594B1ABBB1E4F958C8832188A349766","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","AUTOMATED_HASH_AND_DETERMINISTIC_REBUILD","PASS","PNG decode/dimensions, dependency hashes, builder hash, metadata completeness, and byte-identical clean rebuild checked."
"F6","a","paper/v1/figures/Figure6_spatial_colimitation.png","4B4F78F86F9676AC532785BCDE56CE43D8DB064EE0EEBEAB6402B9D3B849785A","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","AUTOMATED_HASH_AND_DETERMINISTIC_REBUILD","PASS","PNG decode/dimensions, dependency hashes, builder hash, metadata completeness, and byte-identical clean rebuild checked."
"F6","b","paper/v1/figures/Figure6_spatial_colimitation.png","4B4F78F86F9676AC532785BCDE56CE43D8DB064EE0EEBEAB6402B9D3B849785A","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","AUTOMATED_HASH_AND_DETERMINISTIC_REBUILD","PASS","PNG decode/dimensions, dependency hashes, builder hash, metadata completeness, and byte-identical clean rebuild checked."
"F7","a","paper/v1/figures/Figure7_robustness_identifiability.png","43E6DD7894B6D3D447668FE625CB09374029CE71DDC4CE4CACF04C62A97337A9","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","AUTOMATED_HASH_AND_DETERMINISTIC_REBUILD","PASS","PNG decode/dimensions, dependency hashes, builder hash, metadata completeness, and byte-identical clean rebuild checked."
"F7","b","paper/v1/figures/Figure7_robustness_identifiability.png","43E6DD7894B6D3D447668FE625CB09374029CE71DDC4CE4CACF04C62A97337A9","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","AUTOMATED_HASH_AND_DETERMINISTIC_REBUILD","PASS","PNG decode/dimensions, dependency hashes, builder hash, metadata completeness, and byte-identical clean rebuild checked."
