"figure_id","panel_id","panel_title","source_dataset","source_expression","source_script","export_file","format","resolution","scientific_status","reproducible","notes"
"F1","a","Verification-first architecture","accepted verification tables","M01 mass residual; M02 MMS error; M03 and M10A4 current closure","scripts/windows/Build_PaperV1_Figures.ps1","paper/v1/figures/Figure1_verification_first_architecture.png","PNG","2400x1500; 300 dpi","NUMERICAL_VERIFICATION","TRUE","operator transfer, not experimental validation"
"F2","a","Accepted real-cell geometry","accepted M10A4 rendering","physical cell rendering","scripts/windows/Build_PaperV1_Figures.ps1","paper/v1/figures/Figure2_real_cell_geometry_flow.png","PNG","2400x1500; 300 dpi","REAL_GEOMETRY_FACT","TRUE","no geometry modification"
"F2","b","Area authority","M10A4 electrochemical area audit","cathode interface and SSC reference rows","scripts/windows/Build_PaperV1_Figures.ps1","paper/v1/figures/Figure2_real_cell_geometry_flow.png","PNG","2400x1500; 300 dpi","REAL_GEOMETRY_FACT","TRUE","active interface distinct from SSC cut"
"F3","a","Dissolved N2 availability","accepted M10A3 rendering","dissolved N2 field","scripts/windows/Build_PaperV1_Figures.ps1","paper/v1/figures/Figure3_neutral_ionic_transport.png","PNG","2400x1500; 300 dpi","REAL_CELL_MODEL_PREDICTION","TRUE","frozen field"
"F3","b","Li+ effective concentration","accepted M10A4B rendering","cLi","scripts/windows/Build_PaperV1_Figures.ps1","paper/v1/figures/Figure3_neutral_ionic_transport.png","PNG","2400x1500; 300 dpi","PROVISIONAL_SENSITIVITY_RESULT","TRUE","calibration required"
"F3","c","BF4- effective concentration","accepted reduced electroneutral representation","cBF4=cLi","scripts/windows/Build_PaperV1_Figures.ps1","paper/v1/figures/Figure3_neutral_ionic_transport.png","PNG","2400x1500; 300 dpi","PROVISIONAL_SENSITIVITY_RESULT","TRUE","same accepted field by equality"
"F3","d","GENERIC DONOR availability","accepted M10A3 rendering","generic donor field","scripts/windows/Build_PaperV1_Figures.ps1","paper/v1/figures/Figure3_neutral_ionic_transport.png","PNG","2400x1500; 300 dpi","PROVISIONAL_SENSITIVITY_RESULT","TRUE","not validated local ethanol"
"F4","a","Electrolyte potential","accepted M10A4 rendering","electrolyte potential","scripts/windows/Build_PaperV1_Figures.ps1","paper/v1/figures/Figure4_current_distribution.png","PNG","2400x1500; 300 dpi","DERIVED_DIAGNOSTIC","TRUE","not full-cell voltage"
"F4","b","Cathode current magnitude","accepted M10A4 rendering","surface current magnitude after sign audit","scripts/windows/Build_PaperV1_Figures.ps1","paper/v1/figures/Figure4_current_distribution.png","PNG","2400x1500; 300 dpi","REAL_CELL_MODEL_PREDICTION","TRUE","model field"
"F4","c","Distribution statistics","dset_a4b_ionic_en","area-weighted mean/min/max/P10/P50/P90/std/CV","scripts/windows/Build_PaperV1_Figures.ps1","paper/v1/figures/Figure4_current_distribution.png","PNG","2400x1500; 300 dpi","DERIVED_DIAGNOSTIC","TRUE","values recovered from table"
"F5","a","Li-equivalent spatial upper bound","accepted M10A4D rendering","maximum accepted Q at upper-bound current fraction","scripts/windows/Build_PaperV1_Figures.ps1","paper/v1/figures/Figure5_li_equivalent_charge_program.png","PNG","2400x1500; 300 dpi","NUMERICAL_UPPER_BOUND","TRUE","not retained metallic Li"
"F5","b","Charge-indexed mean thickness","accepted Faraday ledger","accepted Q and current-partition rows","scripts/windows/Build_PaperV1_Figures.ps1","paper/v1/figures/Figure5_li_equivalent_charge_program.png","PNG","2400x1500; 300 dpi","CURRENT_PARTITION_SENSITIVITY","TRUE","Li-equivalent only"
"F6","a","Accepted co-limitation regime map","accepted M10A4E rendering","frozen category map","scripts/windows/Build_PaperV1_Figures.ps1","paper/v1/figures/Figure6_spatial_colimitation.png","PNG","2400x1500; 300 dpi","DIAGNOSTIC_ONLY","TRUE","not rate or FE map"
"F6","b","Threshold-sensitive area fractions","accepted threshold sweep","accepted distinct quantiles; PRIMARY rows select primary threshold","scripts/windows/Build_PaperV1_Figures.ps1","paper/v1/figures/Figure6_spatial_colimitation.png","PNG","2400x1500; 300 dpi","DIAGNOSTIC_ONLY","TRUE","no threshold change"
"F7","a","Mesh robustness","accepted mesh convergence table","coarse-to-medium differences and limiting metric","scripts/windows/Build_PaperV1_Figures.ps1","paper/v1/figures/Figure7_robustness_identifiability.png","PNG","2400x1500; 300 dpi","PASS_WITH_LIMITATION","TRUE","medium mesh authoritative"
"F7","b","Calibration boundary","Paper V1 provenance and M10A4 calibration table","calibration-required inputs","scripts/windows/Build_PaperV1_Figures.ps1","paper/v1/figures/Figure7_robustness_identifiability.png","PNG","2400x1500; 300 dpi","CALIBRATION_REQUIRED","TRUE","existing evidence only"
