"display","metric","relative_difference","status"
"colim_MIXED_UNCLASSIFIED","colim_MIXED_UNCLASSIFIED","0.0621400622644018","PASS_WITH_LIMITATION"
"Li_CV","Li_CV","0.0501920500594540","PASS_WITH_LIMITATION"
"colim_CURRENT_RICH_N2_POOR","colim_CURRENT_RICH_N2_POOR","0.0442844415674749","PASS_PREFERRED"
"mean_Li","mean_Li","0.0355367505935455","PASS_PREFERRED"
"Li_equiv_297C_thickness_CV","Li_equiv_297C_thickness_CV","0.0246942837481963","PASS_PREFERRED"
"cathode_j_CV","cathode_j_CV","0.0246942837481963","PASS_PREFERRED"
"max_cathode_j","max_cathode_j","0.0171786986335929","PASS_PREFERRED"
"R_ohmic","R_ohmic","0.00927664824634244","PASS_PREFERRED"
"colim_BALANCED","colim_BALANCED","0.00922327109946602","PASS_PREFERRED"
"N2_current_high_high_fractio","N2_current_high_high_fraction","0.00642952806696307","PASS_PREFERRED"
