diagnostic,threshold_quantile,category,area_fraction,area,unit,normalization_method,weighting,source_fields,source_class,scientific_status,robustness_status,notes
N2_LI_DONOR_CURRENT_COLIMITATION,0.400000000000000,CURRENT_RICH_N2_POOR,0.0722835957987813,0.000277858142250515,m^2,AREA_WEIGHTED_QUANTILE_HIGH_GE_RAW_THRESHOLD,AREA_WEIGHTED_SURFACE_QUADRATURE,cN2d;cLi_a4b;cDonor;cd.nIl,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,THRESHOLD_SENSITIVITY,precedence MULTI>BALANCED>LI>DONOR>CURRENT_N2>N2_CURRENT>MIXED; NOT rate/FE/mechanism
N2_LI_DONOR_CURRENT_COLIMITATION,0.400000000000000,N2_RICH_CURRENT_POOR,0.254761547066993,0.000979303386925520,m^2,AREA_WEIGHTED_QUANTILE_HIGH_GE_RAW_THRESHOLD,AREA_WEIGHTED_SURFACE_QUADRATURE,cN2d;cLi_a4b;cDonor;cd.nIl,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,THRESHOLD_SENSITIVITY,precedence MULTI>BALANCED>LI>DONOR>CURRENT_N2>N2_CURRENT>MIXED; NOT rate/FE/mechanism
N2_LI_DONOR_CURRENT_COLIMITATION,0.400000000000000,LI_LIMITED,0.0524761463991705,0.000201718306758411,m^2,AREA_WEIGHTED_QUANTILE_HIGH_GE_RAW_THRESHOLD,AREA_WEIGHTED_SURFACE_QUADRATURE,cN2d;cLi_a4b;cDonor;cd.nIl,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,THRESHOLD_SENSITIVITY,precedence MULTI>BALANCED>LI>DONOR>CURRENT_N2>N2_CURRENT>MIXED; NOT rate/FE/mechanism
N2_LI_DONOR_CURRENT_COLIMITATION,0.400000000000000,DONOR_LIMITED,0.00000000000000,,1,AREA_WEIGHTED_QUANTILE_HIGH_GE_RAW_THRESHOLD,AREA_WEIGHTED_SURFACE_QUADRATURE,cN2d;cLi_a4b;cDonor;cd.nIl,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,THRESHOLD_SENSITIVITY,precedence MULTI>BALANCED>LI>DONOR>CURRENT_N2>N2_CURRENT>MIXED; NOT rate/FE/mechanism
N2_LI_DONOR_CURRENT_COLIMITATION,0.400000000000000,BALANCED,0.292771923339140,0.00112541527331565,m^2,AREA_WEIGHTED_QUANTILE_HIGH_GE_RAW_THRESHOLD,AREA_WEIGHTED_SURFACE_QUADRATURE,cN2d;cLi_a4b;cDonor;cd.nIl,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,THRESHOLD_SENSITIVITY,precedence MULTI>BALANCED>LI>DONOR>CURRENT_N2>N2_CURRENT>MIXED; NOT rate/FE/mechanism
N2_LI_DONOR_CURRENT_COLIMITATION,0.400000000000000,MULTI_LIMITED,0.306616316394242,0.00117863312021947,m^2,AREA_WEIGHTED_QUANTILE_HIGH_GE_RAW_THRESHOLD,AREA_WEIGHTED_SURFACE_QUADRATURE,cN2d;cLi_a4b;cDonor;cd.nIl,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,THRESHOLD_SENSITIVITY,precedence MULTI>BALANCED>LI>DONOR>CURRENT_N2>N2_CURRENT>MIXED; NOT rate/FE/mechanism
N2_LI_DONOR_CURRENT_COLIMITATION,0.400000000000000,MIXED_UNCLASSIFIED,0.0210904710016729,8.10717705304305e-05,m^2,AREA_WEIGHTED_QUANTILE_HIGH_GE_RAW_THRESHOLD,AREA_WEIGHTED_SURFACE_QUADRATURE,cN2d;cLi_a4b;cDonor;cd.nIl,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,THRESHOLD_SENSITIVITY,precedence MULTI>BALANCED>LI>DONOR>CURRENT_N2>N2_CURRENT>MIXED; NOT rate/FE/mechanism
CATEGORY_CLOSURE,0.400000000000000,SUM,1.00000000000000,0.00384400000000000,m^2,AREA_WEIGHTED,AREA_WEIGHTED_SURFACE_QUADRATURE,all four frozen fields,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,PASS,sum area fractions; residual=3.33066907387547e-16
N2_LI_DONOR_CURRENT_COLIMITATION,0.500000000000000,CURRENT_RICH_N2_POOR,0.0732517587292097,0.000281579760555082,m^2,AREA_WEIGHTED_QUANTILE_HIGH_GE_RAW_THRESHOLD,AREA_WEIGHTED_SURFACE_QUADRATURE,cN2d;cLi_a4b;cDonor;cd.nIl,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,PRIMARY,precedence MULTI>BALANCED>LI>DONOR>CURRENT_N2>N2_CURRENT>MIXED; NOT rate/FE/mechanism
N2_LI_DONOR_CURRENT_COLIMITATION,0.500000000000000,N2_RICH_CURRENT_POOR,0.264833928396548,0.00101802162075633,m^2,AREA_WEIGHTED_QUANTILE_HIGH_GE_RAW_THRESHOLD,AREA_WEIGHTED_SURFACE_QUADRATURE,cN2d;cLi_a4b;cDonor;cd.nIl,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,PRIMARY,precedence MULTI>BALANCED>LI>DONOR>CURRENT_N2>N2_CURRENT>MIXED; NOT rate/FE/mechanism
N2_LI_DONOR_CURRENT_COLIMITATION,0.500000000000000,LI_LIMITED,0.0682058220142588,0.000262183179822810,m^2,AREA_WEIGHTED_QUANTILE_HIGH_GE_RAW_THRESHOLD,AREA_WEIGHTED_SURFACE_QUADRATURE,cN2d;cLi_a4b;cDonor;cd.nIl,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,PRIMARY,precedence MULTI>BALANCED>LI>DONOR>CURRENT_N2>N2_CURRENT>MIXED; NOT rate/FE/mechanism
N2_LI_DONOR_CURRENT_COLIMITATION,0.500000000000000,DONOR_LIMITED,0.00000000000000,,1,AREA_WEIGHTED_QUANTILE_HIGH_GE_RAW_THRESHOLD,AREA_WEIGHTED_SURFACE_QUADRATURE,cN2d;cLi_a4b;cDonor;cd.nIl,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,PRIMARY,precedence MULTI>BALANCED>LI>DONOR>CURRENT_N2>N2_CURRENT>MIXED; NOT rate/FE/mechanism
N2_LI_DONOR_CURRENT_COLIMITATION,0.500000000000000,BALANCED,0.166953862941121,0.000641770649145668,m^2,AREA_WEIGHTED_QUANTILE_HIGH_GE_RAW_THRESHOLD,AREA_WEIGHTED_SURFACE_QUADRATURE,cN2d;cLi_a4b;cDonor;cd.nIl,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,PRIMARY,precedence MULTI>BALANCED>LI>DONOR>CURRENT_N2>N2_CURRENT>MIXED; NOT rate/FE/mechanism
N2_LI_DONOR_CURRENT_COLIMITATION,0.500000000000000,MULTI_LIMITED,0.362309178602889,0.00139271648254950,m^2,AREA_WEIGHTED_QUANTILE_HIGH_GE_RAW_THRESHOLD,AREA_WEIGHTED_SURFACE_QUADRATURE,cN2d;cLi_a4b;cDonor;cd.nIl,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,PRIMARY,precedence MULTI>BALANCED>LI>DONOR>CURRENT_N2>N2_CURRENT>MIXED; NOT rate/FE/mechanism
N2_LI_DONOR_CURRENT_COLIMITATION,0.500000000000000,MIXED_UNCLASSIFIED,0.0644454493159739,0.000247728307170603,m^2,AREA_WEIGHTED_QUANTILE_HIGH_GE_RAW_THRESHOLD,AREA_WEIGHTED_SURFACE_QUADRATURE,cN2d;cLi_a4b;cDonor;cd.nIl,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,PRIMARY,precedence MULTI>BALANCED>LI>DONOR>CURRENT_N2>N2_CURRENT>MIXED; NOT rate/FE/mechanism
CATEGORY_CLOSURE,0.500000000000000,SUM,1.00000000000000,0.00384400000000000,m^2,AREA_WEIGHTED,AREA_WEIGHTED_SURFACE_QUADRATURE,all four frozen fields,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,PASS,sum area fractions; residual=0.00000000000000
N2_CURRENT_OVERLAP,0.500000000000000,HIGH_HIGH,0.235159684955379,0.000903953828968476,m^2,AREA_WEIGHTED_QUANTILE,AREA_WEIGHTED_SURFACE_QUADRATURE,frozen fields,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,DIAGNOSTIC_ONLY,NOT_LINRR_RATE
N2_CURRENT_OVERLAP,0.500000000000000,HIGH_LOW,0.264833928396548,0.00101802162075633,m^2,AREA_WEIGHTED_QUANTILE,AREA_WEIGHTED_SURFACE_QUADRATURE,frozen fields,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,DIAGNOSTIC_ONLY,NOT_LINRR_RATE
N2_CURRENT_OVERLAP,0.500000000000000,LOW_HIGH,0.264822835184661,0.00101797897844984,m^2,AREA_WEIGHTED_QUANTILE,AREA_WEIGHTED_SURFACE_QUADRATURE,frozen fields,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,DIAGNOSTIC_ONLY,NOT_LINRR_RATE
N2_CURRENT_OVERLAP,0.500000000000000,LOW_LOW,0.235183551463410,0.000904045571825345,m^2,AREA_WEIGHTED_QUANTILE,AREA_WEIGHTED_SURFACE_QUADRATURE,frozen fields,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,DIAGNOSTIC_ONLY,NOT_LINRR_RATE
DONOR_CURRENT_OVERLAP,0.500000000000000,HIGH_HIGH,0.499982520140040,0.00192193280741831,m^2,AREA_WEIGHTED_QUANTILE,AREA_WEIGHTED_SURFACE_QUADRATURE,frozen fields,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,DIAGNOSTIC_ONLY,NOT_LINRR_RATE
DONOR_CURRENT_OVERLAP,0.500000000000000,HIGH_LOW,0.500017479859958,0.00192206719258168,m^2,AREA_WEIGHTED_QUANTILE,AREA_WEIGHTED_SURFACE_QUADRATURE,frozen fields,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,DIAGNOSTIC_ONLY,NOT_LINRR_RATE
DONOR_CURRENT_OVERLAP,0.500000000000000,LOW_HIGH,0.00000000000000,,1,AREA_WEIGHTED_QUANTILE,AREA_WEIGHTED_SURFACE_QUADRATURE,frozen fields,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,DIAGNOSTIC_ONLY,NOT_LINRR_RATE
DONOR_CURRENT_OVERLAP,0.500000000000000,LOW_LOW,0.00000000000000,,1,AREA_WEIGHTED_QUANTILE,AREA_WEIGHTED_SURFACE_QUADRATURE,frozen fields,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,DIAGNOSTIC_ONLY,NOT_LINRR_RATE
N2_LI_DONOR_CURRENT_COLIMITATION,0.600000000000000,CURRENT_RICH_N2_POOR,0.0606478234227024,0.000233130233236868,m^2,AREA_WEIGHTED_QUANTILE_HIGH_GE_RAW_THRESHOLD,AREA_WEIGHTED_SURFACE_QUADRATURE,cN2d;cLi_a4b;cDonor;cd.nIl,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,THRESHOLD_SENSITIVITY,precedence MULTI>BALANCED>LI>DONOR>CURRENT_N2>N2_CURRENT>MIXED; NOT rate/FE/mechanism
N2_LI_DONOR_CURRENT_COLIMITATION,0.600000000000000,N2_RICH_CURRENT_POOR,0.251874480423763,0.000968205502748943,m^2,AREA_WEIGHTED_QUANTILE_HIGH_GE_RAW_THRESHOLD,AREA_WEIGHTED_SURFACE_QUADRATURE,cN2d;cLi_a4b;cDonor;cd.nIl,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,THRESHOLD_SENSITIVITY,precedence MULTI>BALANCED>LI>DONOR>CURRENT_N2>N2_CURRENT>MIXED; NOT rate/FE/mechanism
