index_id,section,title,artifact,source_model,source_sha256,source_classification,scientific_scope,status
V00-01,V00_REACTOR,Physical cell,evidence/PaperV1_Visualization/images/reactor_full.png,LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,RETAINED_CANONICAL,REAL physical geometry,PASS
V00-02,V00_REACTOR,Exploded SSC/GDE location,evidence/PaperV1_Visualization/images/reactor_exploded.png,LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,RETAINED_CANONICAL,DISPLAY SCALE ONLY,PASS
V00-02B,V00_REACTOR,Cathode SSC/GDE physical location,evidence/PaperV1_Visualization/images/ssc_gde_location.png,LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,RETAINED_CANONICAL,PHYSICAL TRUE SCALE 30 um literature-same-platform layer,PASS
V00-03,V00_REACTOR,Authoritative reaction plane,evidence/PaperV1_Visualization/images/reaction_plane.png,LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,RETAINED_CANONICAL,REAL INTERFACE,PASS
V01-01,V01_FLOW,Electrolyte velocity,evidence/PaperV1_Visualization/images/liquid_velocity.png,LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,RETAINED_CANONICAL,sol20 real liquid flow,PASS
V01-01B,V01_FLOW,Electrolyte pressure,evidence/PaperV1_Visualization/images/liquid_pressure.png,LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,RETAINED_DERIVED,sol20 pressure p not voltage,PASS
V01-02,V01_FLOW,Electrolyte streamlines,evidence/PaperV1_Visualization/images/liquid_streamlines.png,LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,RETAINED_CANONICAL,sol20 inlet-seeded real liquid flow,PASS
V01-03,V01_FLOW,N2 velocity,evidence/PaperV1_Visualization/images/n2_velocity.png,checkpoint_A4_final_pre_audit.mph,E51EFEBA7AD3DF67FE0759D4A279A6C7B82758508E58D519EE7658888E321887,ACCEPTED_PRECOMPACTION_VISUALIZATION_SOURCE,External export not embedded in VISUAL_REVIEW MPH,PASS
V01-04,V01_FLOW,N2 pressure,evidence/PaperV1_Visualization/images/n2_pressure.png,checkpoint_A4_final_pre_audit.mph,E51EFEBA7AD3DF67FE0759D4A279A6C7B82758508E58D519EE7658888E321887,ACCEPTED_PRECOMPACTION_VISUALIZATION_SOURCE,External export not embedded in VISUAL_REVIEW MPH,PASS
V01-05,V01_FLOW,N2 streamlines,evidence/PaperV1_Visualization/images/n2_streamlines.png,checkpoint_A4_final_pre_audit.mph,E51EFEBA7AD3DF67FE0759D4A279A6C7B82758508E58D519EE7658888E321887,ACCEPTED_PRECOMPACTION_VISUALIZATION_SOURCE,External export not embedded in VISUAL_REVIEW MPH,PASS
V02-01,V02_SPECIES,N2 gas concentration,evidence/PaperV1_Visualization/images/n2_gas_concentration.png,LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,RETAINED_DERIVED,sol15 component route concentration only,PASS
