"case","selection","entity_dimension","entity_count","measure_mm_or_mm2","expected_measure_mm_or_mm2","relative_error","status"
"baseline","sel_electrolyte_m002","2","1","220.000000000","220.000000000","0.00000000000","PASS"
"baseline","sel_inlet_m002","1","1","4.00000000000","4.00000000000","0.00000000000","PASS"
"baseline","sel_outlet_m002","1","1","4.00000000000","4.00000000000","0.00000000000","PASS"
"baseline","sel_upper_m002","1","1","55.0000000000","55.0000000000","0.00000000000","PASS"
"baseline","sel_lower_m002","1","1","55.0000000000","55.0000000000","0.00000000000","PASS"
"Lcell_x_0.5","sel_electrolyte_m002","2","1","110.000000000","110.000000000","0.00000000000","PASS"
"Lcell_x_0.5","sel_inlet_m002","1","1","4.00000000000","4.00000000000","0.00000000000","PASS"
"Lcell_x_0.5","sel_outlet_m002","1","1","4.00000000000","4.00000000000","0.00000000000","PASS"
"Lcell_x_0.5","sel_upper_m002","1","1","27.5000000000","27.5000000000","0.00000000000","PASS"
"Lcell_x_0.5","sel_lower_m002","1","1","27.5000000000","27.5000000000","0.00000000000","PASS"
"Lcell_x_2","sel_electrolyte_m002","2","1","440.000000000","440.000000000","0.00000000000","PASS"
"Lcell_x_2","sel_inlet_m002","1","1","4.00000000000","4.00000000000","0.00000000000","PASS"
"Lcell_x_2","sel_outlet_m002","1","1","4.00000000000","4.00000000000","0.00000000000","PASS"
"Lcell_x_2","sel_upper_m002","1","1","110.000000000","110.000000000","0.00000000000","PASS"
"Lcell_x_2","sel_lower_m002","1","1","110.000000000","110.000000000","0.00000000000","PASS"
"Hcell_x_0.5","sel_electrolyte_m002","2","1","110.000000000","110.000000000","0.00000000000","PASS"
"Hcell_x_0.5","sel_inlet_m002","1","1","2.00000000000","2.00000000000","0.00000000000","PASS"
"Hcell_x_0.5","sel_outlet_m002","1","1","2.00000000000","2.00000000000","0.00000000000","PASS"
"Hcell_x_0.5","sel_upper_m002","1","1","55.0000000000","55.0000000000","0.00000000000","PASS"
"Hcell_x_0.5","sel_lower_m002","1","1","55.0000000000","55.0000000000","0.00000000000","PASS"
"Hcell_x_2","sel_electrolyte_m002","2","1","440.000000000","440.000000000","0.00000000000","PASS"
"Hcell_x_2","sel_inlet_m002","1","1","8.00000000000","8.00000000000","0.00000000000","PASS"
"Hcell_x_2","sel_outlet_m002","1","1","8.00000000000","8.00000000000","0.00000000000","PASS"
"Hcell_x_2","sel_upper_m002","1","1","55.0000000000","55.0000000000","0.00000000000","PASS"
"Hcell_x_2","sel_lower_m002","1","1","55.0000000000","55.0000000000","0.00000000000","PASS"
"Wcell_x_0.5","sel_electrolyte_m002","2","1","220.000000000","220.000000000","0.00000000000","PASS"
"Wcell_x_0.5","sel_inlet_m002","1","1","4.00000000000","4.00000000000","0.00000000000","PASS"
"Wcell_x_0.5","sel_outlet_m002","1","1","4.00000000000","4.00000000000","0.00000000000","PASS"
"Wcell_x_0.5","sel_upper_m002","1","1","55.0000000000","55.0000000000","0.00000000000","PASS"
"Wcell_x_0.5","sel_lower_m002","1","1","55.0000000000","55.0000000000","0.00000000000","PASS"
"Wcell_x_2","sel_electrolyte_m002","2","1","220.000000000","220.000000000","0.00000000000","PASS"
"Wcell_x_2","sel_inlet_m002","1","1","4.00000000000","4.00000000000","0.00000000000","PASS"
"Wcell_x_2","sel_outlet_m002","1","1","4.00000000000","4.00000000000","0.00000000000","PASS"
"Wcell_x_2","sel_upper_m002","1","1","55.0000000000","55.0000000000","0.00000000000","PASS"
"Wcell_x_2","sel_lower_m002","1","1","55.0000000000","55.0000000000","0.00000000000","PASS"
