"parameter_name","value","unit","status","provenance"
"Lcell","55.0000000000","mm","specified","user requirement"
"Hcell","4.00000000000","mm","specified","user requirement"
"Wcell","55.0000000000","mm","specified","user requirement"
"Qliq","1.00000000000","mL/min","specified","user requirement"
"rho_el","900.000000000","kg/m^3","PROVISIONAL — numerical smoke test only","assumed placeholder; no scientific provenance assigned"
"mu_el","3.00000000000","mPa*s","PROVISIONAL — numerical smoke test only","assumed placeholder; no scientific provenance assigned"
"uin","7.57575757576e-05","m/s","computed","Qliq/(Hcell*Wcell)"
"max_velocity","0.000117365296176","m/s","computed","COMSOL stationary Laminar Flow solution"
"mdot_in","1.50000000000e-05","kg/s","computed","boundary integral of rho*(u*n_x+v*n_y)*Wcell; absolute value"
"mdot_out","1.49992420956e-05","kg/s","computed","boundary integral of rho*(u*n_x+v*n_y)*Wcell; absolute value"
"pressure_drop","0.00933480414383","Pa","computed","average inlet pressure minus average outlet pressure"
"residence_time","726.000000000","s","computed","Lcell*Hcell*Wcell/Qliq nominal channel-volume residence time"
"mass_balance_relative_error","5.05269574371e-05","1","PASS","abs(abs(mdot_in)-abs(mdot_out))/max(abs(mdot_in),abs(mdot_out),1e-30[kg/s])"
