"row_type","config","Qliq_cm3_min","kN2_m_s","N2_in_total","N2_out_total","N2_in_adv","N2_out_adv","N2_in_diff","N2_out_diff","N2_consumed","N2_cathode_out","N2_anode_out","N2_all_boundary_out_ntflux","N2_all_boundary_out_explicit","N2_species_error","NH3_in_total","NH3_out_total","NH3_in_adv","NH3_out_adv","NH3_in_diff","NH3_out_diff","NH3_generated","NH3_cathode_out","NH3_anode_out","NH3_all_boundary_out_ntflux","NH3_all_boundary_out_explicit","NH3_species_error","NH3_inlet_backdiff_out","N_boundary_error","N_overall_error","min_cN2","min_cNH3","conversion","dof","solve_s","N2_conversion","NH3_generation","min_cathode_cN2","avg_cathode_cN2","reaction_flux","limiting_mass_transfer_flux","reaction_to_limiting_flux","classification","reason"
"boundary","A_CONCENTRATION_OUTFLOW","1.00000000000","1.00000000000e-05","8.38652779879e-08","6.36054063936e-08","8.33333333333e-08","6.36053936677e-08","1.23515990703e-10","-5.13616321274e-11","2.05818651253e-08","2.05818651261e-08","-8.35243895237e-22","3.21993531798e-10","2.32080822271e-10","0.00383941410243","-1.06388930338e-09","3.94474326937e-08","-0.00000000000","3.94474581456e-08","-2.47031980070e-10","1.02723264257e-10","4.11637302506e-08","-4.11637302521e-08","1.66270881200e-21","-6.52408255020e-10","-4.72582831523e-10","0.0158491042837","2.47031980070e-10","0.00000000000","5.02066625580e-05","0.412027121250","-5.29897169158e-06","0.241576395862","102715","47.5901420000","","","","","","","","",""
"boundary","B_DANCKWERTS_OUTFLOW","1.00000000000","1.00000000000e-05","8.33332453281e-08","6.31574695049e-08","8.31192173040e-08","6.31795698640e-08","8.10501884902e-11","-9.42545140993e-11","2.01537634693e-08","2.01537634696e-08","1.06972972975e-12","-2.09426238663e-11","-3.31045615578e-11","0.000264148525435","-2.01825702132e-12","4.02855253593e-08","4.28057783926e-10","4.03075269387e-08","-1.62763213154e-10","-7.91916475498e-11","4.03075269387e-08","-4.03067163507e-08","1.65154369113e-13","-1.90075800093e-11","-4.62197701486e-10","0.000495771480297","1.62763213154e-10","0.00000000000","0.000384048585842","0.425769045167","-0.000638975332863","0.242109565561","102715","43.2554017000","","","","","","","","",""
"boundary","C_INFLOW_CONSTRAINT_OUTFLOW","1.00000000000","1.00000000000e-05","8.38650046005e-08","6.32227303406e-08","8.33333333333e-08","6.32320995826e-08","1.23507387026e-10","-9.43558447715e-11","2.06313415582e-08","2.06313412561e-08","1.11873526504e-12","-9.81426862321e-12","-2.04608842418e-10","0.000130360712609","-1.06399149265e-09","4.01592878796e-08","-0.00000000000","4.01983731941e-08","-2.46958320246e-10","-8.77997636353e-11","4.12626831164e-08","-4.12610809427e-08","1.49334642518e-13","-3.76522357906e-11","-1.34863670658e-10","0.000954948664337","2.46958320246e-10","0.00000000000","0.000365284351597","0.427242924412","-2.62988644141e-06","0.246136923956","102715","62.3877191000","","","","","","","","",""
"scan","B_NX350_QUADRATIC_SELECTED","0.250000000000","1.00000000000e-06","2.08333333331e-08","1.35708651169e-08","2.07835916761e-08","1.35708671590e-08","4.96554634505e-11","8.86594255079e-13","","","","","","9.80114607388e-08","3.88771884979e-16","1.45249732250e-08","1.00268373862e-10","1.45249323487e-08","-1.00248178590e-10","3.09960847765e-12","","","","","","2.78744987560e-06","1.00248178590e-10","0.00000000000","8.73689040113e-07","1.83671181779","1.50753544382e-09","","778265","116.594623500","0.348598474383","1.45249323487e-08","1.83671181779","2.40081526424","2.40081526424e-06","4.61840059157e-06","0.519836947151","PASS_CONSERVATIVE","conservative_and_nonnegative"
"scan","B_NX350_QUADRATIC_SELECTED","0.250000000000","3.00000000000e-06","2.08333333211e-08","1.03981061202e-08","2.07248840768e-08","1.03981086367e-08","1.08275546856e-10","4.95160001387e-13","","","","","","1.20202436192e-07","2.90560173611e-15","2.08705219976e-08","2.17684713958e-10","2.08704493933e-08","-2.17486595079e-10","4.45967308841e-12","","","","","","3.33958540941e-06","2.17486595079e-10","0.00000000000","1.55256512355e-06","0.733372253084","3.22472492407e-09","","778265","123.498090900","0.500890905937","2.08704493933e-08","0.733372253084","1.14988701892","3.44966105675e-06","4.47994782711e-06","0.770022596217","PASS_CONSERVATIVE","conservative_and_nonnegative"
"scan","B_NX350_QUADRATIC_SELECTED","0.250000000000","1.00000000000e-05","2.08333333193e-08","8.63567500340e-09","2.06470487197e-08","8.63567760671e-09","1.85548582467e-10","3.86844900465e-13","","","","","","1.24283650745e-07","1.98411920469e-15","2.43954110024e-08","3.73354609360e-10","2.43953114532e-08","-3.72034094521e-10","5.19501310314e-12","","","","","","3.99933725401e-06","3.72034094521e-10","0.00000000000","2.21727822087e-06","0.224534859350","5.42013715597e-09","","778265","135.254781200","0.585487599557","2.43953114532e-08","0.224534859350","0.403228288483","4.03228288483e-06","4.38599427804e-06","0.919354342303","PASS_CONSERVATIVE","conservative_and_nonnegative"
"scan","B_NX350_QUADRATIC_SELECTED","0.250000000000","3.00000000000e-05","2.08333333175e-08","8.04350785953e-09","2.05968958894e-08","8.04351047820e-09","2.34268238076e-10","3.72303076780e-13","","","","","","1.24935678534e-07","2.08249925784e-15","2.55797608230e-08","4.73660211218e-10","2.55796457103e-08","-4.69473537347e-10","5.41743291146e-12","","","","","","4.41875821085e-06","4.69473537347e-10","0.00000000000","2.58779079184e-06","0.0742615398676","6.75776440587e-09","","778265","123.039987500","0.613911622449","2.55796457103e-08","0.0742615398676","0.140934687109","4.22804061327e-06","4.35067275393e-06","0.971813062578","PASS_CONSERVATIVE","conservative_and_nonnegative"
"scan","B_NX350_QUADRATIC_SELECTED","0.250000000000","0.000100000000000","2.08333333173e-08","7.82623396688e-09","2.05712893828e-08","7.82623655593e-09","2.57718513278e-10","3.79542416531e-13","","","","","","1.23502572797e-07","1.40206652356e-15","2.60143011822e-08","5.24872742593e-10","2.60141935548e-08","-5.16374831249e-10","5.44009415221e-12","","","","","","4.08336226555e-06","5.16374831249e-10","0.00000000000","2.42590646110e-06","0.0221611796810","7.42107398324e-09","","778265","118.920911200","0.624340769300","2.60141935548e-08","0.0221611796810","0.0429986670327","4.29986670327e-06","4.33716516745e-06","0.991400266593","PASS_CONSERVATIVE","conservative_and_nonnegative"
"scan","B_NX350_QUADRATIC_SELECTED","0.500000000000","1.00000000000e-06","4.16666673497e-08","3.33167501864e-08","4.16304264244e-08","3.33167692025e-08","3.60443857774e-11","-2.48290946241e-12","","","","","","4.72778697754e-07","7.36742216946e-16","1.66999444900e-08","7.36168832753e-11","1.66997949283e-08","-7.35450165505e-11","5.13026405636e-12","","","","","","8.91177778860e-06","7.35450165505e-11","0.00000000000","1.31311961117e-06","2.27102172851","2.19466928225e-17","","778265","133.427867100","0.200398008634","1.66997949283e-08","2.27102172851","2.76029668237","2.76029668237e-06","6.16219269009e-06","0.447940663526","PASS_CONSERVATIVE","conservative_and_nonnegative"
"scan","B_NX350_QUADRATIC_SELECTED","0.500000000000","3.00000000000e-06","4.16666673177e-08","2.86881148083e-08","4.15813193926e-08","2.86881178797e-08","8.50093025854e-11","-4.74035510615e-12","","","","","","8.93373113224e-08","1.39744358539e-15","2.59573453369e-08","1.71831048435e-10","2.59570975740e-08","-1.71477045517e-10","7.19440682028e-12","","","","","","9.49125622002e-06","1.71477045517e-10","0.00000000000","2.86704820811e-06","1.01785158152","5.05274245954e-17","","778265","141.879731900","0.311485255358","2.59570975740e-08","1.01785158152","1.43014311702","4.29042935107e-06","6.00924559683e-06","0.713971376596","PASS_CONSERVATIVE","conservative_and_nonnegative"
"scan","B_NX350_QUADRATIC_SELECTED","0.500000000000","1.00000000000e-05","4.16666675668e-08","2.57137843129e-08","4.15043516855e-08","2.57137878257e-08","1.61156110689e-10","-4.89507119221e-12","","","","","","1.05910656926e-07","1.79400802690e-15","3.19060771215e-08","3.25766653817e-10","3.19057576819e-08","-3.23771461744e-10","8.08968873267e-12","","","","","","9.95574512612e-06","3.23771461744e-10","0.00000000000","3.70583635917e-06","0.334284975722","9.36957173583e-17","","778265","141.029497100","0.382869189822","3.19057576819e-08","0.334284975722","0.527367895569","5.27367895569e-06","5.89549825758e-06","0.894526420886","PASS_CONSERVATIVE","conservative_and_nonnegative"
"scan","B_NX350_QUADRATIC_SELECTED","0.500000000000","3.00000000000e-05","4.16666676058e-08","2.46329721482e-08","4.14459533494e-08","2.46329758259e-08","2.17300322733e-10","-4.83877867109e-12","","","","","","1.10805154149e-07","4.40233642494e-15","3.40677264128e-08","4.42565638651e-10","3.40673816815e-08","-4.36058398473e-10","8.21343908518e-12","","","","","","9.98987816302e-06","4.36058398473e-10","0.00000000000","3.97314266177e-06","0.113230685305","1.24621955852e-16","","778265","130.801442900","0.408808681768","3.40673816815e-08","0.113230685305","0.187699072625","5.63097217875e-06","5.85060271971e-06","0.962460185475","PASS_CONSERVATIVE","conservative_and_nonnegative"
"scan","B_NX350_QUADRATIC_SELECTED","0.500000000000","0.000100000000000","4.16666676150e-08","2.42248454583e-08","4.14127695907e-08","2.42248491984e-08","2.46814942930e-10","-4.77240135722e-12","","","","","","1.12522776257e-07","2.17070051323e-15","3.48839899715e-08","5.08931080290e-10","3.48836349366e-08","-4.95089704054e-10","8.16056739719e-12","","","","","","1.01154647620e-05","4.95089704054e-10","0.00000000000","4.12184728702e-06","0.0340796477119","1.41270373219e-16","","778265","126.718780000","0.418603722234","3.48836349366e-08","0.0340796477119","0.0576589007216","5.76589007216e-06","5.83315675339e-06","0.988468219856","PASS_CONSERVATIVE","conservative_and_nonnegative"
"scan","B_NX350_QUADRATIC_SELECTED","1.00000000000","1.00000000000e-06","8.33333316751e-08","7.40227857040e-08","8.33071366242e-08","7.40228038826e-08","2.56484709881e-11","-2.41069349644e-11","","","","","","1.98243675812e-07","1.56807404339e-15","1.86214354849e-08","5.36145745373e-11","1.86210589015e-08","-5.34630765847e-11","9.75996195538e-12","","","","","","2.01393076582e-05","5.34630765847e-11","0.00000000000","2.05184777380e-06","2.61836569226","-2.05776837418e-07","","778265","131.690396600","0.111726553876","1.86210589015e-08","2.61836569226","3.07786097546","3.07786097546e-06","8.00634328779e-06","0.384427804908","WARNING_UNDERSHOOT","negative_but_abs_cmin_over_cN2in_le_1e-6"
"scan","B_NX350_QUADRATIC_SELECTED","1.00000000000","3.00000000000e-06","8.33333293287e-08","6.77836797993e-08","8.32674986497e-08","6.77836848829e-08","6.50553423394e-11","-2.67564215463e-11","","","","","","1.29475028511e-08","3.48746749675e-15","3.10999245268e-08","1.32884106485e-10","3.10992969009e-08","-1.32292949139e-10","1.41060494461e-11","","","","","","2.00692152413e-05","1.32292949139e-10","0.00000000000","3.73188357724e-06","1.27113197820","-5.12091077932e-07","","778265","129.289775200","0.186595803320","3.10992969009e-08","1.27113197820","1.71345988435","5.14037965304e-06","7.82035129977e-06","0.657308023131","WARNING_UNDERSHOOT","negative_but_abs_cmin_over_cN2in_le_1e-6"
"scan","B_NX350_QUADRATIC_SELECTED","1.00000000000","1.00000000000e-05","8.33333277092e-08","6.32280839892e-08","8.31950762175e-08","6.32280894395e-08","1.36321614786e-10","-2.82563129447e-11","","","","","","2.08599659738e-09","6.27396675825e-15","4.02112810568e-08","2.77730919482e-10","4.02104877877e-08","-2.74828754082e-10","1.57298366856e-11","","","","","","1.95718871944e-05","2.74828754082e-10","0.00000000000","4.72405710136e-06","0.435833102091","-1.07556498707e-06","","778265","133.141856600","0.241262940923","4.02104877877e-08","0.435833102091","0.664636161780","6.64636161780e-06","7.66528700453e-06","0.867072767644","WARNING_UNDERSHOOT","negative_but_abs_cmin_over_cN2in_le_1e-6"
"scan","B_NX350_QUADRATIC_SELECTED","1.00000000000","3.00000000000e-05","8.33333281167e-08","6.14529284708e-08","8.31299673617e-08","6.14529341084e-08","1.98057656200e-10","-2.80806854431e-11","","","","","","5.05136803863e-09","7.92401096898e-15","4.37617601592e-08","4.07951712862e-10","4.37607984498e-08","-3.98298958852e-10","1.58592192653e-11","","","","","","2.17954297579e-05","3.98298958852e-10","0.00000000000","5.71766144277e-06","0.149296745577","-1.31735521927e-06","","778265","132.351562600","0.262564812187","4.37607984498e-08","0.149296745577","0.241106327547","7.23318982641e-06","7.59965479822e-06","0.951778734491","WARNING_UNDERSHOOT","negative_but_abs_cmin_over_cN2in_le_1e-6"
