"config","inlet","convective_form","streamline","crosswind","order","nx","ny","dof","solve_s","min_cN2","min_cNH3","N2_species_error","NH3_species_error","N_boundary_error","N_overall_error","N2_conversion","NH3_generation","physical_change_gt_1pct","physical_change_fraction","classification","reason"
"CURRENT_A_BOTH_LINEAR","CONCENTRATION","noncons","true","true","1","100","200","102715","46.9136355000","0.412027121250","-5.29897167807e-06","0.00383941410243","0.0158491042837","0.00000000000","5.02066625582e-05","0.241576395862","4.11637302506e-08","false","1.44683204708e-15","FAILED_MASS_BALANCE","total_flux_or_nitrogen_balance_exceeds_1e-4"
"B_NONE_LINEAR","DANCKWERTS","cons","false","false","1","100","200","102715","10.0726989000","0.340466434439","-0.0650130283211","4.19281308891e-14","2.05773051000e-07","0.00000000000","4.97456828271e-08","0.241750435800","4.02917393000e-08","true","0.0211834774263","FAILED_NEGATIVE_CONCENTRATION","numerical_oscillation_or_insufficient_mesh_stabilization"
"B_STREAMLINE_LINEAR","DANCKWERTS","cons","true","false","1","100","200","102715","9.80890260000","0.340342999398","-0.0633329461391","3.11681654810e-14","2.02362715990e-07","0.00000000000","4.89207520928e-08","0.241748006898","4.02913344829e-08","true","0.0211933117416","FAILED_NEGATIVE_CONCENTRATION","numerical_oscillation_or_insufficient_mesh_stabilization"
"B_CROSSWIND_LINEAR","DANCKWERTS","cons","false","true","1","100","200","102715","17.2469959000","0.425827981781","-0.000395001030675","0.000273533733218","0.000521349114706","0.00000000000","0.000399619829210","0.242119338082","4.03078872028e-08","true","0.0207911926973","FAILED_MASS_BALANCE","total_flux_or_nitrogen_balance_exceeds_1e-4"
"B_BOTH_LINEAR_CONTINUATION","DANCKWERTS","cons","true","true","1","100","200","102715","43.6470615000","0.425769045167","-0.000656188360136","0.000264148525462","0.000493299798957","0.00000000000","0.000383450821064","0.242109565561","4.03075269387e-08","true","0.0207999446770","FAILED_MASS_BALANCE","total_flux_or_nitrogen_balance_exceeds_1e-4"
"B_BOTH_QUADRATIC","DANCKWERTS","cons","true","true","2","100","200","224515","55.3492466000","0.363275753621","-0.000127823850040","0.000175537902806","9.17846505340e-06","0.00000000000","0.000177756747884","0.241920215848","4.02900097128e-08","true","0.0212254946877","FAILED_MASS_BALANCE","total_flux_or_nitrogen_balance_exceeds_1e-4"
"B_CATHODE_REFINED","DANCKWERTS","cons","true","true","1","100","240","123075","11.8580644000","0.426523139986","-4.21421589836e-09","0.000336023556197","0.000869598412915","0.00000000000","0.000546325452165","0.242173971792","4.03064805569e-08","true","0.0208253646710","FAILED_MASS_BALANCE","total_flux_or_nitrogen_balance_exceeds_1e-4"
"B_OUTLET_REFINED","DANCKWERTS","cons","true","true","1","140","200","143075","12.8754757000","0.438415991845","-1.88435888519e-06","0.000207897352086","0.00180439717053","0.00000000000","0.000645080128882","0.242495340458","4.03815506699e-08","true","0.0190016690885","FAILED_MASS_BALANCE","total_flux_or_nitrogen_balance_exceeds_1e-4"
"B_BOTH_LINEAR_DIRECT_K","DANCKWERTS","cons","true","true","1","100","200","102715","12.9414562000","0.425769045167","-0.000639024174546","0.000264148525429","0.000495769905150","0.00000000000","0.000384048204894","0.242109565561","4.03075269387e-08","true","0.0207999446770","FAILED_MASS_BALANCE","total_flux_or_nitrogen_balance_exceeds_1e-4"
"B_NX350_QUADRATIC_SELECTED","DANCKWERTS","cons","true","true","2","350","200","778265","116.338912900","0.435833102091","-1.07279162774e-06","2.08599548565e-09","2.21948671514e-05","0.00000000000","5.35688496413e-06","0.241262940923","4.02104877877e-08","true","0.0231573391685","WARNING_UNDERSHOOT","negative_but_abs_cmin_over_cN2in_le_1e-6"
