"row_type","study","Qliq_cm3_min","kN2_m_s","N2_in_mol_s","N2_out_mol_s","N2_boundary_consumed_mol_s","NH3_boundary_generated_mol_s","NH3_in_mol_s","NH3_out_mol_s","N2_conversion","N_error_boundary","N_error_overall","N2_species_error","NH3_species_error","min_cN2_mol_m3","max_cN2_mol_m3","min_cNH3_mol_m3","max_cNH3_mol_m3","min_cathode_cN2_mol_m3","outlet_avg_cN2_mol_m3","outlet_avg_cNH3_mol_m3","N2_wall_outward_mol_s","NH3_wall_outward_mol_s","Re","PeN2","PeNH3","DaN2","status","NH3_generation_mol_s"
"base","Study_A_no_reaction","1.00000000000","0.00000000000","8.33333333333e-08","8.33291227535e-08","0.00000000000","0.00000000000","-0.00000000000","0.00000000000","5.05269574363e-05","0.00000000000","5.05269574363e-05","5.05269574363e-05","0.00000000000","5.00000000000","5.00000000000","0.00000000000","0.00000000000","5.00000000000","5.00000000000","0.00000000000","-8.23982718168e-24","0.00000000000","0.0909090909091","2083.33333333","2083.33333333","0.00000000000","PASS",""
"base","Study_B_reactive","1.00000000000","1.00000000000e-05","8.38652779879e-08","6.36054063936e-08","2.05818651253e-08","4.11637302506e-08","-1.06388930338e-09","3.94474326937e-08","0.241576395862","0.00000000000","5.02066625675e-05","0.00383941410242","0.0158491042837","0.412027121250","5.00000264939","-5.29897169302e-06","9.17594575602","0.412027121250","3.62906397724","2.74187204396","2.05818651261e-08","-4.11637302521e-08","0.0909090909091","2083.33333333","2083.33333333","1.81500000000","PASS",""
"scan","","0.250000000000","1.00000000000e-06","","","","","","","0.348194002272","0.00000000000","4.86102453161e-05","","","1.83801966724","","0.00000000000","","1.83801966724","3.20154223275","3.59691553451","","","","","","","PASS","1.46325051909e-08"
"scan","","0.250000000000","3.00000000000e-06","","","","","","","0.502761044565","0.00000000000","4.82715887207e-05","","","0.733576867909","","0.00000000000","","0.733576867909","2.42687163200","5.14625673597","","","","","","","PASS","2.12627766494e-08"
"scan","","0.250000000000","1.00000000000e-05","","","","","","","0.594078542298","0.00000000000","4.73831242705e-05","","","0.224160368954","","0.00000000000","","0.224160368954","1.99964319440","6.00071361121","","","","","","","PASS","2.55840553768e-08"
"scan","","0.250000000000","3.00000000000e-05","","","","","","","0.637636509586","0.00000000000","4.53978729650e-05","","","-0.296335691692","","0.00000000000","","-0.296335691692","1.85620760787","6.28758478426","","","","","","","FAILED:NEGATIVE_CONCENTRATION","2.86519209710e-08"
"scan","","0.250000000000","0.000100000000000","","","","","","","0.690166758752","0.00000000000","3.98917343059e-05","","","-0.981146311484","","0.00000000000","","-0.981146311484","1.80345264070","6.39309471860","","","","","","","FAILED:NEGATIVE_CONCENTRATION","3.52745666345e-08"
"scan","","0.500000000000","1.00000000000e-06","","","","","","","0.199084379447","0.00000000000","4.93065044045e-05","","","2.26835682958","","-1.46720579844e-07","","2.26835682958","3.92261468250","2.15477063469","","","","","","","PASS","1.67722003471e-08"
"scan","","0.500000000000","3.00000000000e-06","","","","","","","0.311133143313","0.00000000000","4.91554771941e-05","","","1.01389950003","","-1.26234695788e-05","","1.01389950003","3.33825764879","3.32348470240","","","","","","","PASS","2.62650315183e-08"
"scan","","0.500000000000","1.00000000000e-05","","","","","","","0.387300328705","0.00000000000","4.87220356692e-05","","","0.329357254069","","-0.000406385303131","","0.329357254069","2.96765194434","4.06469611101","","","","","","","FAILED:NEGATIVE_CONCENTRATION","3.29594234996e-08"
"scan","","0.500000000000","3.00000000000e-05","","","","","","","0.425452598825","0.00000000000","4.76778128046e-05","","","-0.162609085273","","-2.59223838277e-05","","-0.162609085273","2.83331066054","4.33337867680","","","","","","","FAILED:NEGATIVE_CONCENTRATION","3.69799280993e-08"
"scan","","0.500000000000","0.000100000000000","","","","","","","0.472626641391","0.00000000000","4.44960326452e-05","","","-0.930587730519","","-0.000292731788996","","-0.930587730519","2.78236755021","4.43526489776","","","","","","","FAILED:NEGATIVE_CONCENTRATION","4.39741703890e-08"
"scan","","1.00000000000","1.00000000000e-06","","","","","","","0.109820548897","0.00000000000","5.04892741737e-05","","","2.60064878244","","-2.91697759326e-07","","2.60064878244","4.35074644014","1.29850711785","","","","","","","PASS","1.86705959486e-08"
"scan","","1.00000000000","3.00000000000e-06","","","","","","","0.184461503502","0.00000000000","5.04187293068e-05","","","1.24410128595","","-4.49707997699e-07","","1.24410128595","3.92921983910","2.14156033164","","","","","","","PASS","3.13478467372e-08"
"scan","","1.00000000000","1.00000000000e-05","","","","","","","0.241576395862","0.00000000000","5.02066625679e-05","","","0.412027121250","","-5.29897169036e-06","","0.412027121250","3.62906397724","2.74187204396","","","","","","","PASS","4.11637302506e-08"
"scan","","1.00000000000","3.00000000000e-05","","","","","","","0.270533670317","0.00000000000","4.96647672930e-05","","","0.0150249849274","","-4.49136457400e-06","","0.0150249849274","3.51323704502","2.97352591021","","","","","","","PASS","4.65533476162e-08"
"scan","","1.00000000000","0.000100000000000","","","","","","","0.303900383293","0.00000000000","4.79229355616e-05","","","-0.860271121068","","-7.56565546675e-06","","-0.860271121068","3.46815832869","3.06368334493","","","","","","","FAILED:NEGATIVE_CONCENTRATION","5.40998098954e-08"
"scan","","2.00000000000","1.00000000000e-06","","","","","","","0.0589298973321","0.00000000000","5.27469082340e-05","","","2.89873399310","","-7.10844280096e-06","","2.89873399310","4.59740159383","0.805196820606","","","","","","","PASS","2.04016599856e-08"
