"item","kind","status","critical","fields","detail","source_reference"
"Lcell","INPUT_FIELD","PROVISIONAL","FALSE","Lcell","Model geometry only; replace with measured reactor dimension","M03A frozen numerical baseline"
"Hcell","INPUT_FIELD","PROVISIONAL","FALSE","Hcell","Model equivalent distance; experimental spacing definition is not yet established","M03A frozen numerical baseline"
"Wcell","INPUT_FIELD","PROVISIONAL","FALSE","Wcell","Out-of-plane model width only","M03A frozen numerical baseline"
"electrode_active_area","INPUT_FIELD","PROVISIONAL","FALSE","electrode_active_area","Geometric model area; not a measured wetted or EIS area","M03A Lcell times Wcell"
"temperature","INPUT_FIELD","PROVISIONAL","FALSE","temperature","Replace with measured calibration temperature","M03A frozen numerical baseline"
"kappa_direct","INPUT_FIELD","MISSING","FALSE","kappa_direct","blank value in calibration input",""
"kappa_direct_uncertainty","INPUT_FIELD","MISSING","FALSE","kappa_direct_uncertainty","blank value in calibration input",""
"EIS_HFR_total","INPUT_FIELD","MISSING","FALSE","EIS_HFR_total","blank value in calibration input",""
"EIS_HFR_uncertainty","INPUT_FIELD","MISSING","FALSE","EIS_HFR_uncertainty","blank value in calibration input",""
"fixture_resistance","INPUT_FIELD","MISSING","FALSE","fixture_resistance","blank value in calibration input",""
"fixture_resistance_uncertainty","INPUT_FIELD","MISSING","FALSE","fixture_resistance_uncertainty","blank value in calibration input",""
"contact_resistance","INPUT_FIELD","MISSING","FALSE","contact_resistance","blank value in calibration input",""
"contact_resistance_uncertainty","INPUT_FIELD","MISSING","FALSE","contact_resistance_uncertainty","blank value in calibration input",""
"membrane_resistance","INPUT_FIELD","MISSING","FALSE","membrane_resistance","blank value in calibration input",""
"membrane_resistance_uncertainty","INPUT_FIELD","MISSING","FALSE","membrane_resistance_uncertainty","blank value in calibration input",""
"other_series_resistance","INPUT_FIELD","MISSING","FALSE","other_series_resistance","blank value in calibration input",""
"other_series_resistance_uncertainty","INPUT_FIELD","MISSING","FALSE","other_series_resistance_uncertainty","blank value in calibration input",""
"Icell","INPUT_FIELD","MISSING","FALSE","Icell","blank value in calibration input",""
"Icell_uncertainty","INPUT_FIELD","MISSING","FALSE","Icell_uncertainty","blank value in calibration input",""
"measured_cell_voltage","INPUT_FIELD","MISSING","FALSE","measured_cell_voltage","blank value in calibration input",""
"measured_cell_voltage_uncertainty","INPUT_FIELD","MISSING","FALSE","measured_cell_voltage_uncertainty","blank value in calibration input",""
"area_basis","INPUT_FIELD","PROVISIONAL","FALSE","area_basis","Does not establish wetted catalytic GDE EIS or reporting area equivalence","M03A frozen numerical baseline"
"electrode_spacing_definition","INPUT_FIELD","PROVISIONAL","FALSE","electrode_spacing_definition","Must be replaced by actual electrode spacing or electrolyte layer definition","M03A frozen numerical baseline"
"electrolyte_composition","INPUT_FIELD","MISSING","FALSE","electrolyte_composition","blank value in calibration input",""
"water_content","INPUT_FIELD","MISSING","FALSE","water_content","blank value in calibration input",""
"measurement_method","INPUT_FIELD","MISSING","FALSE","measurement_method","blank value in calibration input",""
"replicate_count","INPUT_FIELD","MISSING","FALSE","replicate_count","blank value in calibration input",""
"actual_wetted_area","INPUT_FIELD","MISSING","FALSE","actual_wetted_area","blank value in calibration input",""
"catalytic_layer_projected_area","INPUT_FIELD","MISSING","FALSE","catalytic_layer_projected_area","blank value in calibration input",""
"GDE_exposed_area","INPUT_FIELD","MISSING","FALSE","GDE_exposed_area","blank value in calibration input",""
"EIS_area","INPUT_FIELD","MISSING","FALSE","EIS_area","blank value in calibration input",""
"current_density_reporting_area","INPUT_FIELD","MISSING","FALSE","current_density_reporting_area","blank value in calibration input",""
"EIS_intercept_definition","INPUT_FIELD","MISSING","FALSE","EIS_intercept_definition","blank value in calibration input",""
"WE_potential","INPUT_FIELD","MISSING","FALSE","WE_potential","blank value in calibration input",""
"WE_potential_uncertainty","INPUT_FIELD","MISSING","FALSE","WE_potential_uncertainty","blank value in calibration input",""
"CE_potential","INPUT_FIELD","MISSING","FALSE","CE_potential","blank value in calibration input",""
"CE_potential_uncertainty","INPUT_FIELD","MISSING","FALSE","CE_potential_uncertainty","blank value in calibration input",""
"electrolyte_composition","M03B_GATE","MISSING","TRUE","electrolyte_composition","salt solvent additives and preparation basis",""
"temperature","M03B_GATE","PROVISIONAL","TRUE","temperature","measurement temperature","ASSUMED: M03A frozen numerical baseline"
"conductivity_path","M03B_GATE","MISSING","TRUE","kappa_direct or deembedded HFR","direct conductivity or positive fully sourced de-embedded electrolyte resistance","; "
"electrode_active_area_and_basis","M03B_GATE","PROVISIONAL","TRUE","electrode_active_area+area_basis+area audit","area equivalence remains unproven unless all bases are traceably reconciled","DERIVED: M03A Lcell times Wcell; ASSUMED: M03A frozen numerical baseline"
"electrode_spacing","M03B_GATE","PROVISIONAL","TRUE","Hcell+electrode_spacing_definition","model_equivalent_distance","ASSUMED: M03A frozen numerical baseline; ASSUMED: M03A frozen numerical baseline"
"EIS_measurement_method","M03B_GATE","MISSING","TRUE","measurement_method","EIS acquisition method and conductivity method",""
"EIS_intercept_definition","M03B_GATE","MISSING","TRUE","EIS_intercept_definition","equivalent circuit or high-frequency intercept definition",""
"total_cell_voltage","M03B_GATE","MISSING","TRUE","measured_cell_voltage","matched measured total cell voltage",""
"current","M03B_GATE","MISSING","TRUE","Icell","matched measured applied current",""
"WE_potential","M03B_GATE","MISSING","TRUE","WE_potential","measured potential; reference electrode and polarity required",""
"CE_potential","M03B_GATE","MISSING","TRUE","CE_potential","measured potential; reference electrode and polarity required",""
"uncertainty_or_replicates","M03B_GATE","MISSING","TRUE","standard uncertainties or replicate_count","numerical propagation requires standard uncertainties; replicate data must be reduced before calibration",""
"CALIBRATION_CONFLICT","CALIBRATION_GATE","MISSING","FALSE","kappa_direct+kappa_from_HFR","cross-check unavailable; one valid conductivity path is sufficient for the gate",""
"M03B_READY","FINAL_GATE","MISSING","TRUE","all critical gates","FALSE",""
"RUN_STATE","FINAL_GATE","PROVISIONAL","TRUE","three-state classification","SYNTHETIC_SMOKE_TEST",""
"CALIBRATION_MODE","FINAL_GATE","PROVISIONAL","FALSE","mode selection","PROVISIONAL",""
