"ledger_kind","quantity","value","unit","standard_uncertainty","status","source","definition"
"RESISTANCE","R_total_HFR","","ohm","","MISSING","","EIS_HFR_total; not automatically electrolyte resistance"
"RESISTANCE","fixture_resistance","","ohm","","MISSING","","fixture series contribution"
"RESISTANCE","contact_resistance","","ohm","","MISSING","","contact series contribution"
"RESISTANCE","membrane_resistance","","ohm","","MISSING","","membrane series contribution"
"RESISTANCE","other_series_resistance","","ohm","","MISSING","","other identified series contribution"
"RESISTANCE","R_non_electrolyte","","ohm","","MISSING","sum of sourced component rows","fixture+contact+membrane+other series resistance"
"RESISTANCE","R_electrolyte_from_HFR","","ohm","","MISSING","de-embedded HFR ledger","R_total_HFR-R_non_electrolyte"
"RESISTANCE","R_electrolyte_model","2.64462809917","ohm","0.267094345477","PROVISIONAL","PROVISIONAL: frozen M03A kappa; assumed 10 percent smoke-test uncertainty","Hcell/(kappa_selected*electrode_active_area)"
"CONDUCTIVITY","kappa_direct","","S/m","","MISSING","","direct measurement only"
"CONDUCTIVITY","kappa_from_HFR","","S/m","","MISSING","de-embedded HFR ledger","Hcell/(electrode_active_area*R_electrolyte_from_HFR)"
"CONDUCTIVITY","relative_kappa_difference","","1","","MISSING","direct versus de-embedded HFR","absolute difference divided by arithmetic mean; conflict above 0.10"
"VOLTAGE","V_measured","","V","","MISSING","","measured total cell voltage"
"VOLTAGE","V_ohmic_electrolyte","0.264462809917","V","0.0298034450766","PROVISIONAL","PROVISIONAL: frozen M03A kappa; assumed 10 percent smoke-test uncertainty","Icell*R_electrolyte_model"
"VOLTAGE","V_HFR_total","","V","","MISSING","matched Icell and EIS HFR","Icell*EIS_HFR_total"
"VOLTAGE","V_non_electrolyte_ohmic","","V","","MISSING","resistance ledger","Icell*R_non_electrolyte"
"VOLTAGE","V_unexplained","","V","","MISSING","measured voltage minus total HFR drop","V_measured-V_HFR_total; not automatically activation overpotential"
