"quantity","method","mean","standard_deviation","median","percentile_2_5","percentile_97_5","coefficient_of_variation","unit","sample_count","invalid_sample_fraction","random_seed","status","notes"
"R_electrolyte","FIRST_ORDER_ANALYTIC","2.64462809917","0.267094345477","","","","0.100995049384","ohm","","","","PASS","first-order independent-input propagation"
"kappa","FIRST_ORDER_ANALYTIC","0.5","0.05","","","","0.1","S/m","","","","PASS","selected-input standard uncertainty"
"R_analytic","FIRST_ORDER_ANALYTIC","2.64462809917","0.267094345477","","","","0.100995049384","ohm","","","","PASS","first-order independent-input propagation"
"V_ohmic","FIRST_ORDER_ANALYTIC","0.264462809917","0.0298034450766","","","","0.112694276696","V","","","","PASS","first-order independent-input propagation"
"j_app","FIRST_ORDER_ANALYTIC","33.0578512397","1.68562628549","","","","0.0509901951359","A/m^2","","","","PASS","first-order independent-input propagation"
"R_electrolyte","MONTE_CARLO","2.67390080968","0.279496903555","2.64560580927","2.20955662736","3.3043008743","0.104527775505","ohm","20000","0","314159","PASS","positive-sample gate; provisional distribution when run is synthetic"
"kappa","MONTE_CARLO","0.499784951046","0.0499991352431","0.499980087908","0.401147431852","0.597988441271","0.100041298039","S/m","20000","0","314159","PASS","selected calibration path"
"R_analytic","MONTE_CARLO","2.67390080968","0.279496903555","2.64560580927","2.20955662736","3.3043008743","0.104527775505","ohm","20000","0","314159","PASS","Hcell/(kappa*area)"
"V_ohmic","MONTE_CARLO","0.26733950696","0.0308191103765","0.264387681806","0.215800926754","0.335918408394","0.115280793052","V","20000","0","314159","PASS","Icell*R_analytic"
"j_app","MONTE_CARLO","33.060818316","1.68515714984","33.0795140838","29.7382635108","36.3542985122","0.0509714288901","A/m^2","20000","0","314159","PASS","Icell/electrode_active_area"
