"sample_id","replicate_id","case_id","case_type","data_origin","source_reference","source_file","original_row_number","normalized_order","raw_frequency","raw_z_real","raw_z_imag","frequency_Hz","z_real_ohm","z_imag_ohm","duplicate_frequency","high_frequency_inductive","status","detail"
"S_C001","R1","C001","PURE_RESISTOR","SYNTHETIC","M03A2_SYNTHETIC_CONTRACT","tests/fixtures/M03A_2/C001_pure_resistor.csv","2","1","1000000","2","0","1000000","2","0","FALSE","FALSE","PASS",""
"S_C001","R1","C001","PURE_RESISTOR","SYNTHETIC","M03A2_SYNTHETIC_CONTRACT","tests/fixtures/M03A_2/C001_pure_resistor.csv","3","2","668343.91756861494","2","0","668343.91756861494","2","0","FALSE","FALSE","PASS",""
"S_C001","R1","C001","PURE_RESISTOR","SYNTHETIC","M03A2_SYNTHETIC_CONTRACT","tests/fixtures/M03A_2/C001_pure_resistor.csv","4","3","446683.59215096349","2","0","446683.59215096349","2","0","FALSE","FALSE","PASS",""
"S_C001","R1","C001","PURE_RESISTOR","SYNTHETIC","M03A2_SYNTHETIC_CONTRACT","tests/fixtures/M03A_2/C001_pure_resistor.csv","5","4","298538.26189179573","2","0","298538.26189179573","2","0","FALSE","FALSE","PASS",""
"S_C001","R1","C001","PURE_RESISTOR","SYNTHETIC","M03A2_SYNTHETIC_CONTRACT","tests/fixtures/M03A_2/C001_pure_resistor.csv","6","5","199526.23149688789","2","0","199526.23149688789","2","0","FALSE","FALSE","PASS",""
"S_C001","R1","C001","PURE_RESISTOR","SYNTHETIC","M03A2_SYNTHETIC_CONTRACT","tests/fixtures/M03A_2/C001_pure_resistor.csv","7","6","133352.14321633239","2","0","133352.14321633239","2","0","FALSE","FALSE","PASS",""
"S_C001","R1","C001","PURE_RESISTOR","SYNTHETIC","M03A2_SYNTHETIC_CONTRACT","tests/fixtures/M03A_2/C001_pure_resistor.csv","8","7","89125.093813374595","2","0","89125.093813374595","2","0","FALSE","FALSE","PASS",""
"S_C001","R1","C001","PURE_RESISTOR","SYNTHETIC","M03A2_SYNTHETIC_CONTRACT","tests/fixtures/M03A_2/C001_pure_resistor.csv","9","8","59566.214352901094","2","0","59566.214352901094","2","0","FALSE","FALSE","PASS",""
"S_C001","R1","C001","PURE_RESISTOR","SYNTHETIC","M03A2_SYNTHETIC_CONTRACT","tests/fixtures/M03A_2/C001_pure_resistor.csv","10","9","39810.717055349691","2","0","39810.717055349691","2","0","FALSE","FALSE","PASS",""
"S_C001","R1","C001","PURE_RESISTOR","SYNTHETIC","M03A2_SYNTHETIC_CONTRACT","tests/fixtures/M03A_2/C001_pure_resistor.csv","11","10","26607.250597988084","2","0","26607.250597988084","2","0","FALSE","FALSE","PASS",""
"S_C001","R1","C001","PURE_RESISTOR","SYNTHETIC","M03A2_SYNTHETIC_CONTRACT","tests/fixtures/M03A_2/C001_pure_resistor.csv","12","11","17782.794100389227","2","0","17782.794100389227","2","0","FALSE","FALSE","PASS",""
"S_C001","R1","C001","PURE_RESISTOR","SYNTHETIC","M03A2_SYNTHETIC_CONTRACT","tests/fixtures/M03A_2/C001_pure_resistor.csv","13","12","11885.022274370165","2","0","11885.022274370165","2","0","FALSE","FALSE","PASS",""
"S_C001","R1","C001","PURE_RESISTOR","SYNTHETIC","M03A2_SYNTHETIC_CONTRACT","tests/fixtures/M03A_2/C001_pure_resistor.csv","14","13","7943.2823472428136","2","0","7943.2823472428136","2","0","FALSE","FALSE","PASS",""
"S_C001","R1","C001","PURE_RESISTOR","SYNTHETIC","M03A2_SYNTHETIC_CONTRACT","tests/fixtures/M03A_2/C001_pure_resistor.csv","15","14","5308.8444423098845","2","0","5308.8444423098845","2","0","FALSE","FALSE","PASS",""
"S_C001","R1","C001","PURE_RESISTOR","SYNTHETIC","M03A2_SYNTHETIC_CONTRACT","tests/fixtures/M03A_2/C001_pure_resistor.csv","16","15","3548.1338923357566","2","0","3548.1338923357566","2","0","FALSE","FALSE","PASS",""
