"sample_id","replicate_id","case_id","method","method_class","HFR_ohm","HFR_uncertainty_ohm","selected_point_count","selected_original_rows","frequency_min_Hz","frequency_max_Hz","intercept_model","residual_metric","high_frequency_coverage_status","inductive_artifact_status","duplicate_frequency_status","fit_quality_status","status","failure_reason","source_file","equivalent_circuit","fitting_software","fit_file","Rs_ohm","Rs_standard_error_ohm","fit_quality_metric","fit_quality_value","source_reference","contract_status","notes","detail"
"S_C001","R1","C001","FIRST_POINT_DIAGNOSTIC","LAB_SCREENING_HEURISTIC","2","","1","2","1000000","1000000","FIRST_NORMALIZED_POINT","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_APPLICABLE","DIAGNOSTIC_ONLY_NOT_HFR","","tests/fixtures/M03A_2/C001_pure_resistor.csv","","","","","","","","","","","screening only; never an HFR estimator"
"S_C001","R1","C001","HIGH_FREQUENCY_INTERCEPT","HFR_ESTIMATOR","2","0","41","2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42","0.10000000000000001","1000000","RESISTIVE_LEVEL","0","PASS","NONE","NONE","PASS","PASS","","tests/fixtures/M03A_2/C001_pure_resistor.csv","","","","","","","","","","","resistive real-axis level"
"S_C002","R1","C002","FIRST_POINT_DIAGNOSTIC","LAB_SCREENING_HEURISTIC","2.0000000031662868","","1","2","1000000","1000000","FIRST_NORMALIZED_POINT","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_APPLICABLE","DIAGNOSTIC_ONLY_NOT_HFR","","tests/fixtures/M03A_2/C002_ideal_randles_noise_free.csv","","","","","","","","","","","screening only; never an HFR estimator"
"S_C002","R1","C002","HIGH_FREQUENCY_INTERCEPT","HFR_ESTIMATOR","1.9999999999999969","4.7525426742744206E-16","61","2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62","0.10000000000000001","1000000","FULL_ARC_CIRCLE_LEFT_REAL_INTERCEPT","9.2796362203710858E-16","PASS","NONE","NONE","PASS","PASS","","tests/fixtures/M03A_2/C002_ideal_randles_noise_free.csv","","","","","","","","","","","full-arc circle model; complete-semicircle assumption is explicit"
"S_C003","R1","C003","FIRST_POINT_DIAGNOSTIC","LAB_SCREENING_HEURISTIC","2.0012406997580396","","1","2","1000000","1000000","FIRST_NORMALIZED_POINT","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_APPLICABLE","DIAGNOSTIC_ONLY_NOT_HFR","","tests/fixtures/M03A_2/C003_ideal_randles_fixed_seed_noise.csv","","","","","","","","","","","screening only; never an HFR estimator"
"S_C003","R1","C003","HIGH_FREQUENCY_INTERCEPT","HFR_ESTIMATOR","1.9993581548242476","0.00060777051825890377","58","2;3;4;5;6;8;10;11;12;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62","0.10000000000000001","1000000","FULL_ARC_CIRCLE_LEFT_REAL_INTERCEPT","0.0011573733903038987","PASS","NONE","NONE","PASS","PASS","","tests/fixtures/M03A_2/C003_ideal_randles_fixed_seed_noise.csv","","","","","","","","","","","full-arc circle model; complete-semicircle assumption is explicit"
"S_C004","R1","C004","FIRST_POINT_DIAGNOSTIC","LAB_SCREENING_HEURISTIC","1.5009305105316391","","1","2","1000000","1000000","FIRST_NORMALIZED_POINT","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_APPLICABLE","DIAGNOSTIC_ONLY_NOT_HFR","","tests/fixtures/M03A_2/C004_rs_rct_cpe.csv","","","","","","","","","","","screening only; never an HFR estimator"
"S_C004","R1","C004","HIGH_FREQUENCY_INTERCEPT","HFR_ESTIMATOR","1.3759557156879669","1.10832605435455E-15","61","2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62","0.10000000000000001","1000000","FULL_ARC_CIRCLE_LEFT_REAL_INTERCEPT","2.7708644369385947E-15","PASS","NONE","NONE","PASS","METHOD_DEPENDENT_PROVISIONAL","","tests/fixtures/M03A_2/C004_rs_rct_cpe.csv","","","","","","","","","","","full-arc circle model; complete-semicircle assumption is explicit"
"S_C005","R1","C005","FIRST_POINT_DIAGNOSTIC","LAB_SCREENING_HEURISTIC","2.0031650343129526","","1","2","1000","1000","FIRST_NORMALIZED_POINT","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_APPLICABLE","DIAGNOSTIC_ONLY_NOT_HFR","","tests/fixtures/M03A_2/C005_insufficient_hf.csv","","","","","","","","","","","screening only; never an HFR estimator"
"S_C005","R1","C005","HIGH_FREQUENCY_INTERCEPT","HFR_ESTIMATOR","","","8","2;3;4;5;6;7;8;9","116.59144011798311","1000","NONE","2.0213987657095184E-15","BLOCKED_INSUFFICIENT_HIGH_FREQUENCY_COVERAGE","NONE","NONE","PASS","BLOCKED_INSUFFICIENT_HIGH_FREQUENCY_COVERAGE","candidate=highest frequency decade; points=8; span=8.576958985908945; min_abs_Zimag=0.15909197673490011; axis_tolerance=0.041236386012022903; no rows silently deleted","tests/fixtures/M03A_2/C005_insufficient_hf.csv","","","","","","","","","","","candidate rows are only the declared highest-frequency decade"
"S_C006","R1","C006","FIRST_POINT_DIAGNOSTIC","LAB_SCREENING_HEURISTIC","2.0000000031662868","","1","2","1000000","1000000","FIRST_NORMALIZED_POINT","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_APPLICABLE","DIAGNOSTIC_ONLY_NOT_HFR","","tests/fixtures/M03A_2/C006_hf_inductive.csv","","","","","","","","","","","screening only; never an HFR estimator"
"S_C006","R1","C006","HIGH_FREQUENCY_INTERCEPT","HFR_ESTIMATOR","1.9999999999999956","5.5263495860816317E-16","58","5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62","0.10000000000000001","446683.59215096349","FULL_ARC_CIRCLE_LEFT_REAL_INTERCEPT","1.0521856137820657E-15","PASS","WARNING_HIGH_FREQUENCY_INDUCTIVE_ARTIFACT","NONE","PASS","WARNING_HIGH_FREQUENCY_INDUCTIVE_ARTIFACT","","tests/fixtures/M03A_2/C006_hf_inductive.csv","","","","","","","","","","","full-arc circle model; complete-semicircle assumption is explicit"
"S_C007","R1","C007","FIRST_POINT_DIAGNOSTIC","LAB_SCREENING_HEURISTIC","2.0000000031662868","","1","2","1000000","1000000","FIRST_NORMALIZED_POINT","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_APPLICABLE","DIAGNOSTIC_ONLY_NOT_HFR","","tests/fixtures/M03A_2/C007_duplicate_frequency.csv","","","","","","","","","","","screening only; never an HFR estimator"
"S_C007","R1","C007","HIGH_FREQUENCY_INTERCEPT","HFR_ESTIMATOR","1.9999999999999987","3.0522509644723502E-16","62","2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63","0.10000000000000001","1000000","FULL_ARC_CIRCLE_LEFT_REAL_INTERCEPT","6.0083620319288593E-16","PASS","NONE","WARNING_DUPLICATE_FREQUENCY","PASS","WARNING_DUPLICATE_FREQUENCY","","tests/fixtures/M03A_2/C007_duplicate_frequency.csv","","","","","","","","","","","full-arc circle model; complete-semicircle assumption is explicit"
"S_C008","R1","C008","FIRST_POINT_DIAGNOSTIC","LAB_SCREENING_HEURISTIC","","","0","","","","NONE","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","BLOCKED_INVALID_NUMERIC_DATA","1 invalid row(s); entire case blocked","tests/fixtures/M03A_2/C008_invalid_nan.csv","","","","","","","","","","","input blocked before estimation"
"S_C008","R1","C008","HIGH_FREQUENCY_INTERCEPT","HFR_ESTIMATOR","","","0","","","","NONE","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","BLOCKED_INVALID_NUMERIC_DATA","1 invalid row(s); entire case blocked","tests/fixtures/M03A_2/C008_invalid_nan.csv","","","","","","","","","","","input blocked before estimation"
"S_C009","R1","C009","FIRST_POINT_DIAGNOSTIC","LAB_SCREENING_HEURISTIC","","","0","","","","NONE","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","BLOCKED_INVALID_NUMERIC_DATA","1 invalid row(s); entire case blocked","tests/fixtures/M03A_2/C009_invalid_inf.csv","","","","","","","","","","","input blocked before estimation"
"S_C009","R1","C009","HIGH_FREQUENCY_INTERCEPT","HFR_ESTIMATOR","","","0","","","","NONE","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","BLOCKED_INVALID_NUMERIC_DATA","1 invalid row(s); entire case blocked","tests/fixtures/M03A_2/C009_invalid_inf.csv","","","","","","","","","","","input blocked before estimation"
"S_C010","R1","C010","FIRST_POINT_DIAGNOSTIC","LAB_SCREENING_HEURISTIC","","","0","","","","NONE","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","BLOCKED_INVALID_NUMERIC_DATA","1 invalid row(s); entire case blocked","tests/fixtures/M03A_2/C010_invalid_empty.csv","","","","","","","","","","","input blocked before estimation"
"S_C010","R1","C010","HIGH_FREQUENCY_INTERCEPT","HFR_ESTIMATOR","","","0","","","","NONE","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","BLOCKED_INVALID_NUMERIC_DATA","1 invalid row(s); entire case blocked","tests/fixtures/M03A_2/C010_invalid_empty.csv","","","","","","","","","","","input blocked before estimation"
"S_C011","R1","C011","FIRST_POINT_DIAGNOSTIC","LAB_SCREENING_HEURISTIC","","","0","","","","NONE","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","BLOCKED_INVALID_NUMERIC_DATA","1 invalid row(s); entire case blocked","tests/fixtures/M03A_2/C011_invalid_string.csv","","","","","","","","","","","input blocked before estimation"
"S_C011","R1","C011","HIGH_FREQUENCY_INTERCEPT","HFR_ESTIMATOR","","","0","","","","NONE","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","BLOCKED_INVALID_NUMERIC_DATA","1 invalid row(s); entire case blocked","tests/fixtures/M03A_2/C011_invalid_string.csv","","","","","","","","","","","input blocked before estimation"
"S_C012","R1","C012","FIRST_POINT_DIAGNOSTIC","LAB_SCREENING_HEURISTIC","2.0000000031662868","","1","32","1000000","1000000","FIRST_NORMALIZED_POINT","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_APPLICABLE","DIAGNOSTIC_ONLY_NOT_HFR","","tests/fixtures/M03A_2/C012_unsorted_frequency.csv","","","","","","","","","","","screening only; never an HFR estimator"
"S_C012","R1","C012","HIGH_FREQUENCY_INTERCEPT","HFR_ESTIMATOR","1.9999999999999969","4.7525426742744206E-16","61","32;2;33;3;34;4;35;5;36;6;37;7;38;8;39;9;40;10;41;11;42;12;43;13;44;14;45;15;46;16;47;17;48;18;49;19;50;20;51;21;52;22;53;23;54;24;55;25;56;26;57;27;58;28;59;29;60;30;61;31;62","0.10000000000000001","1000000","FULL_ARC_CIRCLE_LEFT_REAL_INTERCEPT","9.2796362203710858E-16","PASS","NONE","NONE","PASS","PASS","","tests/fixtures/M03A_2/C012_unsorted_frequency.csv","","","","","","","","","","","full-arc circle model; complete-semicircle assumption is explicit"
"S_AGREE","R1","C013","FIRST_POINT_DIAGNOSTIC","LAB_SCREENING_HEURISTIC","2.0000000031662868","","1","2","1000000","1000000","FIRST_NORMALIZED_POINT","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_APPLICABLE","DIAGNOSTIC_ONLY_NOT_HFR","","tests/fixtures/M03A_2/C013_replicate_agree_1.csv","","","","","","","","","","","screening only; never an HFR estimator"
"S_AGREE","R1","C013","HIGH_FREQUENCY_INTERCEPT","HFR_ESTIMATOR","1.9999999999999969","4.7525426742744206E-16","61","2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62","0.10000000000000001","1000000","FULL_ARC_CIRCLE_LEFT_REAL_INTERCEPT","9.2796362203710858E-16","PASS","NONE","NONE","PASS","PASS","","tests/fixtures/M03A_2/C013_replicate_agree_1.csv","","","","","","","","","","","full-arc circle model; complete-semicircle assumption is explicit"
"S_AGREE","R2","C014","FIRST_POINT_DIAGNOSTIC","LAB_SCREENING_HEURISTIC","2.0200000031662868","","1","2","1000000","1000000","FIRST_NORMALIZED_POINT","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_APPLICABLE","DIAGNOSTIC_ONLY_NOT_HFR","","tests/fixtures/M03A_2/C014_replicate_agree_2.csv","","","","","","","","","","","screening only; never an HFR estimator"
