"item","kind","status","evidence","m03b_ready"
"RUN_STATE","STATE","SYNTHETIC_SMOKE_TEST","formal synthetic verification only","FALSE"
"CALIBRATION_MODE","STATE","PROVISIONAL","no experimental calibration","FALSE"
"experimental_EIS_file","EXPERIMENTAL_INPUT","MISSING","C023 file deliberately absent","FALSE"
"experimental_source_reference","EXPERIMENTAL_INPUT","MISSING","C023 source_reference absent","FALSE"
"instrument_temperature_electrolyte_metadata","EXPERIMENTAL_INPUT","MISSING","C023 critical metadata absent","FALSE"
"series_resistance_measurements","EXPERIMENTAL_INPUT","MISSING","ledger sources are synthetic fixtures","FALSE"
"area_mapping_measurements","EXPERIMENTAL_INPUT","MISSING","only synthetic mapping audit","FALSE"
"direct_conductivity_measurement","EXPERIMENTAL_INPUT","MISSING","synthetic cross-check only","FALSE"
"CPE_nonlinear_fit","METHOD_LIMITATION","NOT_IMPLEMENTED","arbitrary CPE nonlinear fitting and identifiability not demonstrated","FALSE"
"M03B_READY","TERMINAL_GATE","FALSE","M03A.2 never authorizes M03B","FALSE"
