"sample_id","case_id","case_type","data_origin","predeclared_expected_outcome","observed_outcome","accuracy_threshold_relative","observed_relative_error","expected_outcome_check","accuracy_check","blocking_check","data_retention_check","source_provenance_check","status","run_state","calibration_mode","m03b_ready"
"S_C001","C001","PURE_RESISTOR","SYNTHETIC","PASS","PASS","0.001","","PASS","PASS","NOT_APPLICABLE","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_C002","C002","IDEAL_RANDLES_NOISE_FREE","SYNTHETIC","PASS","PASS","0.01","1.5543122344752192E-15","PASS","PASS","NOT_APPLICABLE","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_C003","C003","IDEAL_RANDLES_FIXED_SEED_NOISE","SYNTHETIC","PASS","PASS","0.03","0.00032092258787619343","PASS","PASS","NOT_APPLICABLE","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_C004","C004","RS_RCT_CPE","SYNTHETIC","METHOD_DEPENDENT_PROVISIONAL","METHOD_DEPENDENT_PROVISIONAL","","","PASS","NOT_APPLICABLE","NOT_APPLICABLE","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_C005","C005","INSUFFICIENT_HIGH_FREQUENCY_COVERAGE","SYNTHETIC","BLOCKED_INSUFFICIENT_HIGH_FREQUENCY_COVERAGE","BLOCKED_INSUFFICIENT_HIGH_FREQUENCY_COVERAGE","","","PASS","NOT_APPLICABLE","PASS","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_C006","C006","HIGH_FREQUENCY_INDUCTIVE_ARTIFACT","SYNTHETIC","WARNING_HIGH_FREQUENCY_INDUCTIVE_ARTIFACT","WARNING_HIGH_FREQUENCY_INDUCTIVE_ARTIFACT","0.05","2.2204460492503131E-15","PASS","PASS","NOT_APPLICABLE","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_C007","C007","DUPLICATE_FREQUENCY","SYNTHETIC","WARNING_DUPLICATE_FREQUENCY","WARNING_DUPLICATE_FREQUENCY","0.05","6.6613381477509392E-16","PASS","PASS","NOT_APPLICABLE","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_C008","C008","INVALID_NUMERIC_DATA_NAN","SYNTHETIC","BLOCKED_INVALID_NUMERIC_DATA","BLOCKED_INVALID_NUMERIC_DATA","","","PASS","NOT_APPLICABLE","PASS","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_C009","C009","INVALID_NUMERIC_DATA_INF","SYNTHETIC","BLOCKED_INVALID_NUMERIC_DATA","BLOCKED_INVALID_NUMERIC_DATA","","","PASS","NOT_APPLICABLE","PASS","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_C010","C010","INVALID_NUMERIC_DATA_EMPTY","SYNTHETIC","BLOCKED_INVALID_NUMERIC_DATA","BLOCKED_INVALID_NUMERIC_DATA","","","PASS","NOT_APPLICABLE","PASS","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
