"category","metric","baseline_source","baseline_value","coupled_value","relative_difference","tolerance","status"
"flow","Umean","models/generated/LiNRR_M01_2_flow_verification.mph; results/tables/M01_2_flow_analytic.csv","7.57575757576e-05","7.57575757576e-05","1.78893358460e-16","1.00000000000e-06","PASS"
"flow","centerline_velocity","models/generated/LiNRR_M01_2_flow_verification.mph; results/tables/M01_2_flow_analytic.csv","0.000113636363636","0.000113636363636","1.19262238973e-16","1.00000000000e-06","PASS"
"flow","pressure_drop","models/generated/LiNRR_M01_2_flow_verification.mph; results/tables/M01_2_flow_analytic.csv","0.00937500000000","0.00937500000000","5.92118946467e-15","1.00000000000e-06","PASS"
"flow","inlet_mass_flow","models/generated/LiNRR_M01_2_flow_verification.mph; results/tables/M01_2_flow_analytic.csv","1.50000000000e-05","1.50000000000e-05","3.38813178902e-16","1.00000000000e-06","PASS"
"flow","outlet_mass_flow","models/generated/LiNRR_M01_2_flow_verification.mph; results/tables/M01_2_flow_analytic.csv","1.50000000000e-05","1.50000000000e-05","3.38813178902e-16","1.00000000000e-06","PASS"
"flow","mass_balance_error","models/generated/LiNRR_M01_2_flow_verification.mph; results/tables/M01_2_flow_analytic.csv","2.25875452601e-16","2.25875452601e-16","4.93038065763e-32","1.00000000000e-06","PASS"
"transport","N2_inlet","models/generated/LiNRR_M02_2_transport_verification.mph","1.10000000000e-07","1.10000000000e-07","0.00000000000","0.000100000000000","PASS"
"transport","N2_outlet","models/generated/LiNRR_M02_2_transport_verification.mph","1.10000000000e-07","1.10000000000e-07","3.60951540023e-16","0.000100000000000","PASS"
"transport","NH3_inlet","models/generated/LiNRR_M02_2_transport_verification.mph; zero baseline absolute audit scaled by N2 feed","-0.00000000000","-0.00000000000","0.00000000000","1.10000000000e-11","PASS"
"transport","NH3_outlet","models/generated/LiNRR_M02_2_transport_verification.mph; zero baseline absolute audit scaled by N2 feed","0.00000000000","0.00000000000","0.00000000000","1.10000000000e-11","PASS"
"transport","cathode_N2_flux","models/generated/LiNRR_M02_2_transport_verification.mph; zero baseline absolute audit scaled by N2 feed","0.00000000000","0.00000000000","0.00000000000","1.10000000000e-11","PASS"
"transport","cathode_NH3_flux","models/generated/LiNRR_M02_2_transport_verification.mph; zero baseline absolute audit scaled by N2 feed","0.00000000000","0.00000000000","0.00000000000","1.10000000000e-11","PASS"
"transport","N2_species_balance","models/generated/LiNRR_M02_2_transport_verification.mph; absolute change between dimensionless residuals","1.54638699174e-16","2.40634360015e-16","8.59956608414e-17","0.000100000000000","PASS"
"transport","NH3_species_balance","models/generated/LiNRR_M02_2_transport_verification.mph; absolute change between dimensionless residuals","0.00000000000","0.00000000000","0.00000000000","0.000100000000000","PASS"
"transport","nitrogen_balance","models/generated/LiNRR_M02_2_transport_verification.mph; absolute change between dimensionless residuals","1.20317180008e-16","2.40634360015e-16","1.20317180008e-16","0.000100000000000","PASS"
"transport","minimum_cN2","results/tables/M02_2_uniform_transport.csv","4.99999999999","4.99999999999","7.10542735762e-16","0.000100000000000","PASS"
"transport","minimum_cNH3","results/tables/M02_2_uniform_transport.csv; zero baseline absolute audit scaled by cN2_in","0.00000000000","0.00000000000","0.00000000000","0.000500000000000","PASS"
