"sample_id","quantity_name","target_parameter","value_SI","uncertainty_SI","unit","data_origin","evidence_status","resolution_method","source_table","source_rows","source_reference","source_sha256","status","failure_reason"
"SYN_DRY_001","EIS_HFR_total","","3.0448140495850002","0.00018595041500013562","ohm","SYNTHETIC","SYNTHETIC_CONSENSUS_ACCEPTED","REPLICATE_ARITHMETIC_MEAN_SEM","M03A_4_replicate_consensus.csv","R1;R2","tests/fixtures/M03A_4/S001_complete_rep1.csv;tests/fixtures/M03A_4/S001_complete_rep2.csv","37dd48bf580fb1b51f0d80a6543b297e33b1f5f6cdb2d82b6e2b06d8e64205b8","PASS",""
"SYN_DRY_001","fixture","","0.10000000000000001","0.001","ohm","SYNTHETIC","SYNTHETIC_DEFINED","UNIQUE_VALIDATED_LEDGER_ROW","config/M03A_4_resistance_ledger.csv","3","M03A.4 synthetic resistance contract","8fce8fa517fd6d87504e60b710b319d199208555b06944252550646c13c1d613","PASS",""
"SYN_DRY_001","contact","","0.050000000000000003","0.001","ohm","SYNTHETIC","SYNTHETIC_DEFINED","UNIQUE_VALIDATED_LEDGER_ROW","config/M03A_4_resistance_ledger.csv","4","M03A.4 synthetic resistance contract","8fce8fa517fd6d87504e60b710b319d199208555b06944252550646c13c1d613","PASS",""
"SYN_DRY_001","membrane","","0.20000000000000001","0.002","ohm","SYNTHETIC","SYNTHETIC_DEFINED","UNIQUE_VALIDATED_LEDGER_ROW","config/M03A_4_resistance_ledger.csv","5","M03A.4 synthetic resistance contract","8fce8fa517fd6d87504e60b710b319d199208555b06944252550646c13c1d613","PASS",""
"SYN_DRY_001","other_series","","0.050000000000000003","0.001","ohm","SYNTHETIC","SYNTHETIC_DEFINED","UNIQUE_VALIDATED_LEDGER_ROW","config/M03A_4_resistance_ledger.csv","6","M03A.4 synthetic resistance contract","8fce8fa517fd6d87504e60b710b319d199208555b06944252550646c13c1d613","PASS",""
"SYN_DRY_001","R_electrolyte","R_electrolyte_dry_run","2.6448140495850003","0.002652277805366309","ohm","SYNTHETIC","DERIVED_DEEMBEDDED","EIS_HFR_TOTAL_MINUS_VALIDATED_SERIES_SUM","config/M03A_4_resistance_ledger.csv","2;3;4;5;6","resolved HFR chain and unique series ledger","8fce8fa517fd6d87504e60b710b319d199208555b06944252550646c13c1d613","PASS",""
"SYN_DRY_001","electrode_spacing","Hcell_dry_run","0.0040000000000000001","2.0000000000000002E-05","m","SYNTHETIC","SYNTHETIC_DEFINED","UNIQUE_VALIDATED_SYNTHETIC_SOURCE_ROW","config/M03A_4_area_measurements.csv","2","M03A.4 synthetic geometry contract","3b541686f4da98b2210a675ad78b3719d3a6db3ec9152645f8fe22b5f17a9645","PASS",""
"SYN_DRY_001","out_of_plane_thickness","depth_dry_run","0.055","0.0001","m","SYNTHETIC","SYNTHETIC_DEFINED","UNIQUE_VALIDATED_SYNTHETIC_SOURCE_ROW","config/M03A_4_area_measurements.csv","3","M03A.4 synthetic geometry contract","3b541686f4da98b2210a675ad78b3719d3a6db3ec9152645f8fe22b5f17a9645","PASS",""
"SYN_DRY_001","geometric_electrode_area","","0.0030249999999999999","6.0000000000000002E-06","m^2","SYNTHETIC","SYNTHETIC_DEFINED","UNIQUE_VALIDATED_SYNTHETIC_SOURCE_ROW","config/M03A_4_area_measurements.csv","4","M03A.4 synthetic area contract","3b541686f4da98b2210a675ad78b3719d3a6db3ec9152645f8fe22b5f17a9645","PASS",""
"SYN_DRY_001","actual_wetted_area","","0.0028999999999999998","2.0000000000000002E-05","m^2","SYNTHETIC","SYNTHETIC_DEFINED","UNIQUE_VALIDATED_SYNTHETIC_SOURCE_ROW","config/M03A_4_area_measurements.csv","5","M03A.4 synthetic area contract","3b541686f4da98b2210a675ad78b3719d3a6db3ec9152645f8fe22b5f17a9645","PASS",""
"SYN_DRY_001","catalytic_layer_projected_area","","0.0028","2.0000000000000002E-05","m^2","SYNTHETIC","SYNTHETIC_DEFINED","UNIQUE_VALIDATED_SYNTHETIC_SOURCE_ROW","config/M03A_4_area_measurements.csv","6","M03A.4 synthetic area contract","3b541686f4da98b2210a675ad78b3719d3a6db3ec9152645f8fe22b5f17a9645","PASS",""
