"source_file","record_id","field_name","required_action","state"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","cell_id","Collect or declare cell_id","MISSING"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","replicate_id","Collect or declare replicate_id","MISSING"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","operator","Collect or declare operator","MISSING"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","measurement_datetime","Collect or declare measurement_datetime","MISSING"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","instrument","Collect or declare instrument","MISSING"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","instrument_software","Collect or declare instrument_software","MISSING"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","raw_file_path","Collect or declare raw_file_path","MISSING"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","raw_file_size_bytes","Collect or declare raw_file_size_bytes","MISSING"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","raw_file_sha256","Collect or declare raw_file_sha256","MISSING"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","normalized_table_path","Collect or declare normalized_table_path","MISSING"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","normalized_table_size_bytes","Collect or declare normalized_table_size_bytes","MISSING"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","normalized_table_sha256","Collect or declare normalized_table_sha256","MISSING"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","frequency_unit","Collect or declare frequency_unit","MISSING"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","impedance_unit","Collect or declare impedance_unit","MISSING"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","frequency_min_Hz","Collect or declare frequency_min_Hz","MISSING"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","frequency_max_Hz","Collect or declare frequency_max_Hz","MISSING"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","points_per_decade","Collect or declare points_per_decade","MISSING"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","perturbation_amplitude_V","Collect or declare perturbation_amplitude_V","MISSING"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","dc_condition","Collect or declare dc_condition","MISSING"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","temperature_K","Collect or declare temperature_K","MISSING"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","electrolyte_composition","Collect or declare electrolyte_composition","MISSING"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","electrolyte_batch","Collect or declare electrolyte_batch","MISSING"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","salt_concentration_mol_L","Collect or declare salt_concentration_mol_L","MISSING"
"config/M03A_5_experimental_manifest.csv","EXP_TEMPLATE_001/","water_content","Collect or declare water_content","MISSING"
