"record_id","evidence_role","path","declared_size_bytes","actual_size_bytes","declared_sha256","actual_sha256","state","detail"
"EXP_TEMPLATE_001/","RAW_INSTRUMENT_FILE","","","","","","MISSING","experimental evidence not supplied"
"EXP_TEMPLATE_001/","NORMALIZED_EIS_TABLE","","","","","","MISSING","experimental evidence not supplied"
"EXP_TEMPLATE_001/fixture","SERIES_RESISTANCE_EVIDENCE","","","","","","MISSING","experimental evidence not supplied"
"EXP_TEMPLATE_001/contact","SERIES_RESISTANCE_EVIDENCE","","","","","","MISSING","experimental evidence not supplied"
"EXP_TEMPLATE_001/membrane","SERIES_RESISTANCE_EVIDENCE","","","","","","MISSING","experimental evidence not supplied"
"EXP_TEMPLATE_001/other_series","SERIES_RESISTANCE_EVIDENCE","","","","","","MISSING","experimental evidence not supplied"
"EXP_TEMPLATE_001/electrode_spacing","GEOMETRY_AREA_EVIDENCE","","","","","","MISSING","experimental evidence not supplied"
"EXP_TEMPLATE_001/out_of_plane_depth","GEOMETRY_AREA_EVIDENCE","","","","","","MISSING","experimental evidence not supplied"
"EXP_TEMPLATE_001/geometric_electrode_area","GEOMETRY_AREA_EVIDENCE","","","","","","MISSING","experimental evidence not supplied"
"EXP_TEMPLATE_001/EIS_area","GEOMETRY_AREA_EVIDENCE","","","","","","MISSING","experimental evidence not supplied"
"EXP_TEMPLATE_001/current_density_reporting_area","GEOMETRY_AREA_EVIDENCE","","","","","","MISSING","experimental evidence not supplied"
"EXP_TEMPLATE_001/direct_conductivity","DIRECT_CONDUCTIVITY_EVIDENCE","","","","","","MISSING","experimental evidence not supplied"
