"case_id","case_name","expected_status","actual_status","status","failure_reason","data_origin"
"C000","complete synthetic structure remains non-experimental","PASS","PASS","PASS","","SYNTHETIC"
"C001","valid metadata structure but missing raw file","BLOCKED_RAW_FILE_MISSING","BLOCKED_RAW_FILE_MISSING","PASS","","SYNTHETIC"
"C002","raw-file hash mismatch","BLOCKED_RAW_HASH_MISMATCH","BLOCKED_RAW_HASH_MISMATCH","PASS","","SYNTHETIC"
"C003","duplicate replicate ID","BLOCKED_DUPLICATE_REPLICATE_ID","BLOCKED_DUPLICATE_REPLICATE_ID","PASS","","SYNTHETIC"
"C004","insufficient replicate count","BLOCKED_INSUFFICIENT_ELIGIBLE_HFR_REPLICATES","BLOCKED_INSUFFICIENT_ELIGIBLE_HFR_REPLICATES","PASS","","SYNTHETIC"
"C005","incompatible temperatures","BLOCKED_REPLICATE_METADATA_INCOMPATIBLE","BLOCKED_REPLICATE_METADATA_INCOMPATIBLE","PASS","","SYNTHETIC"
"C006","incompatible electrolyte batches","BLOCKED_REPLICATE_METADATA_INCOMPATIBLE","BLOCKED_REPLICATE_METADATA_INCOMPATIBLE","PASS","","SYNTHETIC"
"C007","missing water content","BLOCKED_REQUIRED_METADATA","BLOCKED_REQUIRED_METADATA","PASS","","SYNTHETIC"
"C008","invalid frequency unit","BLOCKED_FREQUENCY_UNIT","BLOCKED_FREQUENCY_UNIT","PASS","","SYNTHETIC"
"C009","invalid impedance unit","BLOCKED_IMPEDANCE_UNIT","BLOCKED_IMPEDANCE_UNIT","PASS","","SYNTHETIC"
"C010","missing EIS area","BLOCKED_REQUIRED_NUMERIC","BLOCKED_REQUIRED_NUMERIC","PASS","","SYNTHETIC"
"C011","duplicate fixture resistance","BLOCKED_SERIES_LEDGER","BLOCKED_SERIES_LEDGER","PASS","","SYNTHETIC"
"C012","missing membrane resistance","BLOCKED_SERIES_LEDGER","BLOCKED_SERIES_LEDGER","PASS","","SYNTHETIC"
"C013","nonpositive de-embedded resistance","BLOCKED_NONPOSITIVE_DEEMBEDDED_RESISTANCE","BLOCKED_NONPOSITIVE_DEEMBEDDED_RESISTANCE","PASS","","SYNTHETIC"
"C014","area basis mismatch","BLOCKED_AREA_BASIS_MISMATCH","BLOCKED_AREA_BASIS_MISMATCH","PASS","","SYNTHETIC"
"C015","missing direct-conductivity provenance","BLOCKED_DIRECT_CONDUCTIVITY_PROVENANCE","BLOCKED_DIRECT_CONDUCTIVITY_PROVENANCE","PASS","","SYNTHETIC"
"C016","direct-vs-HFR conflict","CALIBRATION_CONFLICT","CALIBRATION_CONFLICT","PASS","","SYNTHETIC"
"C017","NaN numeric token","BLOCKED_INVALID_NUMERIC","BLOCKED_INVALID_NUMERIC","PASS","","SYNTHETIC"
"C018","Infinity numeric token","BLOCKED_INVALID_NUMERIC","BLOCKED_INVALID_NUMERIC","PASS","","SYNTHETIC"
"C019","blank numeric token","BLOCKED_REQUIRED_NUMERIC","BLOCKED_REQUIRED_NUMERIC","PASS","","SYNTHETIC"
"C020","nonpositive spacing","BLOCKED_NONPOSITIVE_GEOMETRY","BLOCKED_NONPOSITIVE_GEOMETRY","PASS","","SYNTHETIC"
"C021","nonpositive area","BLOCKED_NONPOSITIVE_AREA","BLOCKED_NONPOSITIVE_AREA","PASS","","SYNTHETIC"
"C022","Monte Carlo rejection fraction above 1 percent","FAILED_INPUT_DISTRIBUTION","FAILED_INPUT_DISTRIBUTION","PASS","","SYNTHETIC"
"C023","synthetic row mislabeled as experimental","BLOCKED_DATA_ORIGIN","BLOCKED_DATA_ORIGIN","PASS","","SYNTHETIC"
"C024","experimental row without source reference","BLOCKED_SOURCE_REFERENCE","BLOCKED_SOURCE_REFERENCE","PASS","","SYNTHETIC"
"C027","duplicate frequency retained","RETAINED_DUPLICATE_FREQUENCY","RETAINED_DUPLICATE_FREQUENCY","PASS","","SYNTHETIC"
"C028","inductive high-frequency point retained","RETAINED_INDUCTIVE_HIGH_FREQUENCY","RETAINED_INDUCTIVE_HIGH_FREQUENCY","PASS","","SYNTHETIC"
"C029","insufficient high-frequency information retained and blocked","BLOCKED_INSUFFICIENT_HIGH_FREQUENCY_INFORMATION","BLOCKED_INSUFFICIENT_HIGH_FREQUENCY_INFORMATION","PASS","","SYNTHETIC"
"C030","rejected HFR status excluded","BLOCKED_HFR_STATUS_NOT_ACCEPTED","BLOCKED_HFR_STATUS_NOT_ACCEPTED","PASS","","SYNTHETIC"
"C031","warning HFR status excluded","BLOCKED_HFR_STATUS_NOT_ACCEPTED","BLOCKED_HFR_STATUS_NOT_ACCEPTED","PASS","","SYNTHETIC"
"C032","unknown HFR status excluded","BLOCKED_HFR_STATUS_NOT_ACCEPTED","BLOCKED_HFR_STATUS_NOT_ACCEPTED","PASS","","SYNTHETIC"
"C033","first-point HFR method excluded","BLOCKED_HFR_METHOD_NOT_ACCEPTED","BLOCKED_HFR_METHOD_NOT_ACCEPTED","PASS","","SYNTHETIC"
"C034","unknown HFR method excluded","BLOCKED_HFR_METHOD_NOT_ACCEPTED","BLOCKED_HFR_METHOD_NOT_ACCEPTED","PASS","","SYNTHETIC"
"C035","declared normalized frequency minimum mismatch","BLOCKED_FREQUENCY_MIN_METADATA_MISMATCH","BLOCKED_FREQUENCY_MIN_METADATA_MISMATCH","PASS","","SYNTHETIC"
"C036","declared normalized frequency maximum mismatch","BLOCKED_FREQUENCY_MAX_METADATA_MISMATCH","BLOCKED_FREQUENCY_MAX_METADATA_MISMATCH","PASS","","SYNTHETIC"
"C037","noninteger points per decade blocked","BLOCKED_POINTS_PER_DECADE_INTEGER","BLOCKED_POINTS_PER_DECADE_INTEGER","PASS","","SYNTHETIC"
"C038","declared sampling density too high","BLOCKED_POINTS_PER_DECADE_DENSITY","BLOCKED_POINTS_PER_DECADE_DENSITY","PASS","","SYNTHETIC"
"C039","incompatible instrument software","BLOCKED_REPLICATE_METADATA_INCOMPATIBLE","BLOCKED_REPLICATE_METADATA_INCOMPATIBLE","PASS","","SYNTHETIC"
"C040","incompatible salt concentration","BLOCKED_REPLICATE_METADATA_INCOMPATIBLE","BLOCKED_REPLICATE_METADATA_INCOMPATIBLE","PASS","","SYNTHETIC"
"C041","incompatible pressure","BLOCKED_REPLICATE_METADATA_INCOMPATIBLE","BLOCKED_REPLICATE_METADATA_INCOMPATIBLE","PASS","","SYNTHETIC"
"C042","incompatible flow rate","BLOCKED_REPLICATE_METADATA_INCOMPATIBLE","BLOCKED_REPLICATE_METADATA_INCOMPATIBLE","PASS","","SYNTHETIC"
"C043","incompatible stabilization time","BLOCKED_REPLICATE_METADATA_INCOMPATIBLE","BLOCKED_REPLICATE_METADATA_INCOMPATIBLE","PASS","","SYNTHETIC"
"C044","incompatible perturbation amplitude","BLOCKED_REPLICATE_METADATA_INCOMPATIBLE","BLOCKED_REPLICATE_METADATA_INCOMPATIBLE","PASS","","SYNTHETIC"
"C045","incompatible DC condition","BLOCKED_REPLICATE_METADATA_INCOMPATIBLE","BLOCKED_REPLICATE_METADATA_INCOMPATIBLE","PASS","","SYNTHETIC"
"C046","non-OCP replicate missing DC bias","BLOCKED_NONOCP_BIAS_REQUIRED","BLOCKED_NONOCP_BIAS_REQUIRED","PASS","","SYNTHETIC"
"C047","non-OCP replicate bias mismatch","BLOCKED_REPLICATE_METADATA_INCOMPATIBLE","BLOCKED_REPLICATE_METADATA_INCOMPATIBLE","PASS","","SYNTHETIC"
"C048","HFR replicate disagreement exceeds configured limit","BLOCKED_HFR_REPLICATE_DISAGREEMENT","BLOCKED_HFR_REPLICATE_DISAGREEMENT","PASS","","SYNTHETIC"
"C049","direct conductivity record missing","BLOCKED_DIRECT_CONDUCTIVITY_CARDINALITY","BLOCKED_DIRECT_CONDUCTIVITY_CARDINALITY","PASS","","SYNTHETIC"
"C050","duplicate direct conductivity record","BLOCKED_DIRECT_CONDUCTIVITY_CARDINALITY","BLOCKED_DIRECT_CONDUCTIVITY_CARDINALITY","PASS","","SYNTHETIC"
"C051","direct and EIS temperature mismatch","BLOCKED_DIRECT_EIS_TEMPERATURE_MISMATCH","BLOCKED_DIRECT_EIS_TEMPERATURE_MISMATCH","PASS","","SYNTHETIC"
"C052","invalid cell constant unit","BLOCKED_CELL_CONSTANT_UNIT","BLOCKED_CELL_CONSTANT_UNIT","PASS","","SYNTHETIC"
"C053","nonpositive direct conductivity","BLOCKED_INVALID_DIRECT_CONDUCTIVITY","BLOCKED_INVALID_DIRECT_CONDUCTIVITY","PASS","","SYNTHETIC"
"C054","raw and normalized evidence path collision","BLOCKED_RAW_NORMALIZED_PATH_COLLISION","BLOCKED_RAW_NORMALIZED_PATH_COLLISION","PASS","","SYNTHETIC"
"C055","measurement datetime without timezone","BLOCKED_INVALID_DATETIME","BLOCKED_INVALID_DATETIME","PASS","","SYNTHETIC"
"C056","nonpositive resistance replicate count","BLOCKED_INVALID_RESISTANCE","BLOCKED_INVALID_RESISTANCE","PASS","","SYNTHETIC"
"C057","noninteger exact evidence file size","BLOCKED_INVALID_INT64","BLOCKED_INVALID_INT64","PASS","","SYNTHETIC"
"C058","orphan resistance sample","BLOCKED_ORPHAN_RESISTANCE_SAMPLE","BLOCKED_ORPHAN_RESISTANCE_SAMPLE","PASS","","SYNTHETIC"
"C059","orphan area sample","BLOCKED_ORPHAN_AREA_SAMPLE","BLOCKED_ORPHAN_AREA_SAMPLE","PASS","","SYNTHETIC"
"C060","orphan direct conductivity sample","BLOCKED_ORPHAN_DIRECT_SAMPLE","BLOCKED_ORPHAN_DIRECT_SAMPLE","PASS","","SYNTHETIC"
"C061","declared frequency range reversed","BLOCKED_FREQUENCY_METADATA","BLOCKED_FREQUENCY_METADATA","PASS","","SYNTHETIC"
"C025","RFC 4180 quoted comma retained","PASS","PASS","PASS","","SYNTHETIC"
"C026","UTF-8 BOM blocked","PASS","PASS","PASS","","SYNTHETIC"
"C062","exact Int64 provenance distinguishes adjacent values above 2^53","PASS","PASS","PASS","","SYNTHETIC"
"C063","between-replicate standard error contributes to HFR uncertainty","HFR_CONSENSUS_ELIGIBLE","HFR_CONSENSUS_ELIGIBLE","PASS","","SYNTHETIC"
"C064","Monte Carlo rejection accounting helper retains denominator","FAILED_INPUT_DISTRIBUTION","FAILED_INPUT_DISTRIBUTION","PASS","","SYNTHETIC"
"C065","evidence junction or symlink path blocked","BLOCKED_EVIDENCE_REPARSE_POINT","BLOCKED_EVIDENCE_REPARSE_POINT","PASS","","SYNTHETIC"
"C066","documented synthetic HFR status and method allowlists accepted","PASS","PASS","PASS","","SYNTHETIC"
"C067","normalized EIS structured frequency metadata closure","PASS","PASS","PASS","","SYNTHETIC"
"C068","central threshold defaults satisfy phase contract","PASS","PASS","PASS","","SYNTHETIC"
