"test_id","test_name","expected","actual","status","detail"
"A001","external initialization and true empty READY","PASS","PASS","PASS",""
"A002","repository destination rejected","PASS","PASS","PASS",""
"A003","existing nonempty target blocked and preserved","PASS","PASS","PASS",""
"A004","exact Int64 adjacent above 2^53","PASS","PASS","PASS",""
"A005","freeze raw size hash timestamp unchanged","PASS","PASS","PASS",""
"A006","same ledger version blocked","PASS","PASS","PASS",""
"A007","evidence child junction blocked","PASS","PASS","PASS",""
"A008","path escape blocked","PASS","PASS","PASS",""
"A009","raw normalized collision blocked","PASS","PASS","PASS",""
"A010","missing replicate blocked","PASS","PASS","PASS",""
"A011","duplicate replicate blocked","PASS","PASS","PASS",""
"A012","missing timezone blocked","PASS","PASS","PASS",""
"A013","missing series blocked","PASS","PASS","PASS",""
"A014","missing area blocked","PASS","PASS","PASS",""
"A015","missing direct blocked","PASS","PASS","PASS",""
"A016","unsupported profile blocked","PASS","PASS","PASS",""
"A017","duplicate inductive order retained","PASS","PASS","PASS",""
"A018","synthetic origin isolation","PASS","PASS","PASS",""
"A019","M03B always false","PASS","PASS","PASS",""
"A020","BOM and LF rejected","PASS","PASS","PASS",""
"A021","baseline 282 paths frozen","PASS","PASS","PASS",""
"A022","D0017 append-only with resources disposed","PASS","PASS","PASS",""
"A023","all CLI entry points","PASS","PASS","PASS",""
"A024","repository destination junction ancestor blocked","PASS","PASS","PASS",""
"A025","package root parent junction blocked","PASS","PASS","PASS",""
"A026","similar prefix outside repository allowed","PASS","PASS","PASS",""
"A027","case slash dotdot repository bypass blocked","PASS","PASS","PASS",""
"A028","injected initializer failure leaves no destination","PASS","PASS","PASS",""
"A029","existing empty target blocked and preserved","PASS","PASS","PASS",""
"A030","output rowmap collision blocked","PASS","PASS","PASS",""
"A031","output provenance collision blocked","PASS","PASS","PASS",""
"A032","rowmap provenance collision blocked","PASS","PASS","PASS",""
"A033","input output collision blocked","PASS","PASS","PASS",""
"A034","dotdot normalized collision blocked","PASS","PASS","PASS",""
"A035","conversion provenance values, hashes, paths, and row mapping independently verified","PASS","PASS","PASS",""
"A036","unknown evidence role blocked","PASS","PASS","PASS",""
"A037","role directory mismatch blocked","PASS","PASS","PASS",""
"A038","invalid normalized schema blocked","PASS","PASS","PASS",""
"A039","invalid normalized numeric blocked","PASS","PASS","PASS",""
"A040","sample mismatch blocked","PASS","PASS","PASS",""
"A041","cell mismatch blocked","PASS","PASS","PASS",""
"A042","cross sample replicate collision blocked","PASS","PASS","PASS",""
"A043","orphan series blocked","PASS","PASS","PASS",""
"A044","orphan area blocked","PASS","PASS","PASS",""
"A045","orphan direct blocked","PASS","PASS","PASS",""
"A046","unknown series component blocked","PASS","PASS","PASS",""
"A047","unknown area quantity blocked","PASS","PASS","PASS",""
"A048","hashes evidence blocked","PASS","PASS","PASS",""
"A049","reports evidence blocked","PASS","PASS","PASS",""
"A050","unregistered file blocks header-only package","PASS","PASS","PASS",""
"A051","header-only template package ready","PASS","PASS","PASS",""
"A052","complete experimental evidence received","PASS","PASS","PASS",""
"A053","evidence received does not open later gates","PASS","PASS","PASS",""
"A054","actual hash mismatch rechecked","PASS","PASS","PASS",""
"A055","actual size mismatch rechecked","PASS","PASS","PASS",""
"A056","worksheet schemas map exactly to M03A5","PASS","PASS","PASS",""
"A057","ledger ordinal deterministic order","PASS","PASS","PASS",""
"A058","case equivalent ledger version blocked","PASS","PASS","PASS",""
"A059","existing normalized output blocked","PASS","PASS","PASS",""
"A060","empty normalized table blocked","PASS","PASS","PASS",""
"A061","normalized input timestamp unchanged","PASS","PASS","PASS",""
"A062","duplicate ledger entry blocked","PASS","PASS","PASS",""
"A063","duplicate role path blocked","PASS","PASS","PASS",""
"A064","header-only metadata with missing ledger record blocked","PASS","PASS","PASS",""
"A065","initializer creates exact directory manifest","PASS","PASS","PASS",""
"A066","normalized output parent junction blocked","PASS","PASS","PASS",""
"A067","noncanonical inventory role directory alias blocked","PASS","PASS","PASS",""
"A068","canonical alias conflicting physical role blocked","PASS","PASS","PASS",""
"A069","canonical alias duplicate physical ledger blocked","PASS","PASS","PASS",""
"A070","metadata alias canonical identity closure blocked","PASS","PASS","PASS",""
"A071","raw normalized physical alias collision blocked","PASS","PASS","PASS",""
"A072","OnlyTestId requires external output and preserves durable result","PASS","PASS","PASS",""
"A073","invalid OnlyTestId creates no output","PASS","PASS","PASS",""
"A074","OnlyTestId repository output blocked and durable preserved","PASS","PASS","PASS",""
"A075","valid OnlyTestId writes one external row only","PASS","PASS","PASS",""
"A076","inventory evidence path case alias blocked","PASS","PASS","PASS",""
"A077","ledger evidence path case alias blocked","PASS","PASS","PASS",""
"A078","metadata evidence path case alias blocked","PASS","PASS","PASS",""
"A079","failure before replace preserves target","PASS","PASS","PASS",""
"A080","failure after replace restores target and removes backup","PASS","PASS","PASS",""
"A081","successful replace leaves no temp or backup","PASS","PASS","PASS",""
"A082","canonical root case-only rename is re-resolved","PASS","PASS","PASS",""
"A083","existing PackageRoot segment zero-match blocked","PASS","PASS","PASS",""
"A084","existing evidence segment zero-match blocked","PASS","PASS","PASS",""
"A085","optional missing tail requires true absence","PASS","PASS","PASS",""
"A086","selected ledger missing file is blocked","PASS","PASS","PASS",""
"A087","unreferenced ledger size and hash are independently rechecked","PASS","PASS","PASS",""
"A088","RequireFile disappearance after initial existence check is blocked","PASS","PASS","PASS",""
"A089","selected ledger actual integrity is checked before semantic rejection","PASS","PASS","PASS",""
"A090","explicit selected ledger root case alias is blocked","PASS","PASS","PASS",""
"A091","explicit selected ledger lexical alias is blocked","PASS","PASS","PASS",""
