"metric","value","unit","status","definition"
"anode_total_current","-0.100000000000","A","PASS","outward-normal integral; injection must be negative"
"cathode_total_current","0.100000000000","A","PASS","outward-normal integral; exit must be positive"
"left_insulation_current","3.05270771890e-18","A","AUDIT","signed outward current"
"right_insulation_current","5.13728141942e-17","A","AUDIT","signed outward current"
"side_leakage_current","5.44255219131e-17","A","PASS","abs(left)+abs(right)"
"side_leakage_relative_error","5.44255219131e-16","1","PASS","leakage/max(abs(Icell),1e-30 A)"
"current_balance_relative_error","1.44220430269e-14","1","PASS","abs(sum signed boundary currents)/abs(Icell)"
"simulated_voltage_drop","0.264462809917","V","COMPUTED","average anode phi_l minus average cathode phi_l"
"analytic_voltage_drop","0.264462809917","V","DERIVED","Icell*Hcell/(kappa_el*Aelec)"
"voltage_analytic_relative_error","1.07049785703e-14","1","PASS","abs(Vsim-Vanalytic)/abs(Vanalytic)"
"bulk_mean_current_density","33.0578512397","A/m^2","COMPUTED","centerline y/H=0.5 over x/L=0.02..0.98; corners excluded"
"maximum_current_density","33.0578512397","A/m^2","COMPUTED","whole electrolyte domain"
"minimum_current_density","33.0578512397","A/m^2","COMPUTED","whole electrolyte domain"
"bulk_current_density_cv","0.00000000000","1","COMPUTED","interior standard deviation divided by mean"
"effective_resistance","2.64462809917","ohm","COMPUTED","simulated voltage/Icell"
"analytic_resistance","2.64462809917","ohm","DERIVED","Hcell/(kappa_el*Aelec)"
