component,geometry,feature_tag,feature_type,source_class,created_by,physical_meaning,keep_or_remove,reason
comp_cc_raw,geom_cc_raw,imp_cc,Import,REAL_CAD,Java source / inherited MPH,original STEP B-rep,KEEP,unchanged strict import
comp_cc_raw,geom_cc_raw,fin,Finalize,M10A2R_OTHER,Java source / inherited MPH,geometry construction,KEEP,stable existing feature
comp_chamber_raw,geom_chamber_raw,imp_chamber,Import,REAL_CAD,Java source / inherited MPH,original STEP B-rep,KEEP,unchanged strict import
comp_chamber_raw,geom_chamber_raw,fin,Finalize,M10A2R_OTHER,Java source / inherited MPH,geometry construction,KEEP,stable existing feature
comp_cc_rotated,geom_cc_rotated,imp_cc_rotate,Import,REAL_CAD,Java source / inherited MPH,original STEP B-rep,KEEP,unchanged strict import
comp_cc_rotated,geom_cc_rotated,rot_cc_top,Rotate,M10A2R_OTHER,Java source / inherited MPH,geometry construction,KEEP,stable existing feature
comp_cc_rotated,geom_cc_rotated,mov_cc_top,Move,M10A2R_OTHER,Java source / inherited MPH,geometry construction,KEEP,stable existing feature
comp_cc_rotated,geom_cc_rotated,mir_cc_bottom,Mirror,M10A2R_OTHER,Java source / inherited MPH,geometry construction,KEEP,stable existing feature
comp_cc_rotated,geom_cc_rotated,fin,Finalize,M10A2R_OTHER,Java source / inherited MPH,geometry construction,KEEP,stable existing feature
comp_registered,geom_registered,imp_chamber_registered,Import,REAL_CAD,Java source / inherited MPH,original STEP B-rep,KEEP,unchanged strict import
comp_registered,geom_registered,imp_cc_registered,Import,REAL_CAD,Java source / inherited MPH,original STEP B-rep,KEEP,unchanged strict import
comp_registered,geom_registered,rot_cc_top,Rotate,M10A2R_OTHER,Java source / inherited MPH,geometry construction,KEEP,stable existing feature
comp_registered,geom_registered,mov_cc_top,Move,M10A2R_OTHER,Java source / inherited MPH,geometry construction,KEEP,stable existing feature
comp_registered,geom_registered,mir_cc_bottom,Mirror,M10A2R_OTHER,Java source / inherited MPH,geometry construction,KEEP,stable existing feature
comp_registered,geom_registered,fin,Finalize,M10A2R_OTHER,Java source / inherited MPH,geometry construction,KEEP,stable existing feature
comp_electrolyte_flow,geom_electrolyte_fluid,imp_chamber_fluid_source,Import,REAL_CAD,Java source / inherited MPH,original STEP B-rep,KEEP,unchanged strict import
comp_electrolyte_flow,geom_electrolyte_fluid,blk_liq_window,Block,M10A2R_OTHER,Java source / inherited MPH,geometry construction,KEEP,stable existing feature
comp_electrolyte_flow,geom_electrolyte_fluid,cyl_liq_port_in,Cylinder,M10A2R_OTHER,Java source / inherited MPH,geometry construction,KEEP,stable existing feature
comp_electrolyte_flow,geom_electrolyte_fluid,cyl_liq_port_out,Cylinder,M10A2R_OTHER,Java source / inherited MPH,geometry construction,KEEP,stable existing feature
comp_electrolyte_flow,geom_electrolyte_fluid,uni_liq_closure,Union,M10A0_4_FLUID_DOMAIN_EXTRACTION,Java source / inherited MPH,numerical closure minus REAL_CAD solid,KEEP,validated real-CAD fluid domain; port bore matches real STEP
comp_electrolyte_flow,geom_electrolyte_fluid,dif_liq_exact,Difference,M10A0_4_FLUID_DOMAIN_EXTRACTION,Java source / inherited MPH,numerical closure minus REAL_CAD solid,KEEP,validated real-CAD fluid domain; port bore matches real STEP
comp_electrolyte_flow,geom_electrolyte_fluid,fin,Finalize,M10A2R_OTHER,Java source / inherited MPH,geometry construction,KEEP,stable existing feature
comp_n2_flow,geom_n2_channel_fluid,imp_cc_channel_source,Import,REAL_CAD,Java source / inherited MPH,original STEP B-rep,KEEP,unchanged strict import
comp_n2_flow,geom_n2_channel_fluid,rot_cc_channel,Rotate,M10A2R_OTHER,Java source / inherited MPH,geometry construction,KEEP,stable existing feature
comp_n2_flow,geom_n2_channel_fluid,mov_cc_channel,Move,M10A2R_OTHER,Java source / inherited MPH,geometry construction,KEEP,stable existing feature
comp_n2_flow,geom_n2_channel_fluid,blk_n2_closure,Block,M10A0_4_FLUID_DOMAIN_EXTRACTION,Java source / inherited MPH,numerical closure minus REAL_CAD solid,KEEP,validated real-CAD fluid domain; port bore matches real STEP
comp_n2_flow,geom_n2_channel_fluid,dif_n2_exact,Difference,M10A0_4_FLUID_DOMAIN_EXTRACTION,Java source / inherited MPH,numerical closure minus REAL_CAD solid,KEEP,validated real-CAD fluid domain; port bore matches real STEP
comp_n2_flow,geom_n2_channel_fluid,fin,Finalize,M10A2R_OTHER,Java source / inherited MPH,geometry construction,KEEP,stable existing feature
