"parameter","legacy_stage","legacy_value","legacy_class","current_stage","current_use","transfer_allowed","current_class","reason","file","line","text"
"rho_el","M01/M02","900 kg/m^3","PROVISIONAL_NUMERICAL_VERIFICATION_ONLY","PRE-A4","legacy simplified flow parameter registry/source","FALSE","NUMERICAL_VERIFICATION_ONLY","Do not transfer to real-cell electrolyte density",".\prompts\02_build_M01_flow.txt","8","- Parameters must include Lcell, Hcell, Wcell, Qliq, rho_el, and mu_el with explicit units."
"rho_el","M01/M02","900 kg/m^3","PROVISIONAL_NUMERICAL_VERIFICATION_ONLY","PRE-A4","legacy simplified flow parameter registry/source","FALSE","NUMERICAL_VERIFICATION_ONLY","Do not transfer to real-cell electrolyte density",".\docs\DECISIONS.md","46","- `rho_el = 900[kg/m^3]` and `mu_el = 3[mPa*s]` are **PROVISIONAL — numerical smoke test only**;"
"rho_el","M01/M02","900 kg/m^3","PROVISIONAL_NUMERICAL_VERIFICATION_ONLY","PRE-A4","legacy simplified flow parameter registry/source","FALSE","NUMERICAL_VERIFICATION_ONLY","Do not transfer to real-cell electrolyte density",".\config\parameters.csv","7","rho_el,,kg/m^3,electrolyte density,missing,measure"
"rho_el","M01/M02","900 kg/m^3","PROVISIONAL_NUMERICAL_VERIFICATION_ONLY","PRE-A4","legacy simplified flow parameter registry/source","FALSE","NUMERICAL_VERIFICATION_ONLY","Do not transfer to real-cell electrolyte density",".\config\M03A_3_parameters.csv","5","rho_el,900,kg/m^3,electrolyte density,frozen M01.2 numerical input,PROVISIONAL"
"rho_el","M01/M02","900 kg/m^3","PROVISIONAL_NUMERICAL_VERIFICATION_ONLY","PRE-A4","legacy simplified flow parameter registry/source","FALSE","NUMERICAL_VERIFICATION_ONLY","Do not transfer to real-cell electrolyte density",".\src\java\LiNRR_M01_Flow.java","11","* rho_el and mu_el are placeholders, not measured, fitted, or"
"rho_el","M01/M02","900 kg/m^3","PROVISIONAL_NUMERICAL_VERIFICATION_ONLY","PRE-A4","legacy simplified flow parameter registry/source","FALSE","NUMERICAL_VERIFICATION_ONLY","Do not transfer to real-cell electrolyte density",".\src\java\LiNRR_M01_Flow.java","49","model.param().set(""rho_el"", ""900[kg/m^3]"", PROVISIONAL);"
"rho_el","M01/M02","900 kg/m^3","PROVISIONAL_NUMERICAL_VERIFICATION_ONLY","PRE-A4","legacy simplified flow parameter registry/source","FALSE","NUMERICAL_VERIFICATION_ONLY","Do not transfer to real-cell electrolyte density",".\src\java\LiNRR_M01_Flow.java","106",".propertyGroup(""def"").set(""density"", ""rho_el"");"
"rho_el","M01/M02","900 kg/m^3","PROVISIONAL_NUMERICAL_VERIFICATION_ONLY","PRE-A4","legacy simplified flow parameter registry/source","FALSE","NUMERICAL_VERIFICATION_ONLY","Do not transfer to real-cell electrolyte density",".\src\java\LiNRR_M01_Flow.java","202","""rho_el*(u*nx+v*ny)*Wcell/(1[kg/s])"", ""1"", ""sel_inlet"");"
"rho_el","M01/M02","900 kg/m^3","PROVISIONAL_NUMERICAL_VERIFICATION_ONLY","PRE-A4","legacy simplified flow parameter registry/source","FALSE","NUMERICAL_VERIFICATION_ONLY","Do not transfer to real-cell electrolyte density",".\src\java\LiNRR_M01_Flow.java","204","""rho_el*(u*nx+v*ny)*Wcell/(1[kg/s])"", ""1"", ""sel_outlet"");"
"rho_el","M01/M02","900 kg/m^3","PROVISIONAL_NUMERICAL_VERIFICATION_ONLY","PRE-A4","legacy simplified flow parameter registry/source","FALSE","NUMERICAL_VERIFICATION_ONLY","Do not transfer to real-cell electrolyte density",".\src\java\LiNRR_M01_Flow.java","252","emit(""rho_el"", 900.0, ""kg/m^3"", PROVISIONAL,"
"rho_el","M01/M02","900 kg/m^3","PROVISIONAL_NUMERICAL_VERIFICATION_ONLY","PRE-A4","legacy simplified flow parameter registry/source","FALSE","NUMERICAL_VERIFICATION_ONLY","Do not transfer to real-cell electrolyte density",".\src\java\LiNRR_M02_Transport.java","76","model.param().set(""rho_el"", ""900[kg/m^3]"", PROVISIONAL);"
"rho_el","M01/M02","900 kg/m^3","PROVISIONAL_NUMERICAL_VERIFICATION_ONLY","PRE-A4","legacy simplified flow parameter registry/source","FALSE","NUMERICAL_VERIFICATION_ONLY","Do not transfer to real-cell electrolyte density",".\src\java\LiNRR_M02_Transport.java","86","model.param().set(""Re"", ""rho_el*uin*Hcell/mu_el"","
"rho_el","M01/M02","900 kg/m^3","PROVISIONAL_NUMERICAL_VERIFICATION_ONLY","PRE-A4","legacy simplified flow parameter registry/source","FALSE","NUMERICAL_VERIFICATION_ONLY","Do not transfer to real-cell electrolyte density",".\src\java\LiNRR_M02_Transport.java","141",".propertyGroup(""def"").set(""density"", ""rho_el"");"
"rho_el","M01/M02","900 kg/m^3","PROVISIONAL_NUMERICAL_VERIFICATION_ONLY","PRE-A4","legacy simplified flow parameter registry/source","FALSE","NUMERICAL_VERIFICATION_ONLY","Do not transfer to real-cell electrolyte density",".\src\java\LiNRR_M03A_3_PrescribedCurrentCoupling.java","239","""rho_el*(u*nx+v*ny)*Wcell"", ""kg/s"");"
"rho_el","M01/M02","900 kg/m^3","PROVISIONAL_NUMERICAL_VERIFICATION_ONLY","PRE-A4","legacy simplified flow parameter registry/source","FALSE","NUMERICAL_VERIFICATION_ONLY","Do not transfer to real-cell electrolyte density",".\src\java\LiNRR_M03A_3_PrescribedCurrentCoupling.java","241","""rho_el*(u*nx+v*ny)*Wcell"", ""kg/s"");"
"rho_el","M01/M02","900 kg/m^3","PROVISIONAL_NUMERICAL_VERIFICATION_ONLY","PRE-A4","legacy simplified flow parameter registry/source","FALSE","NUMERICAL_VERIFICATION_ONLY","Do not transfer to real-cell electrolyte density",".\src\java\LiNRR_M01_Audit.java","106","new String[] {""rho_el*(u*nx+v*ny)*Wcell""});"
"rho_el","M01/M02","900 kg/m^3","PROVISIONAL_NUMERICAL_VERIFICATION_ONLY","PRE-A4","legacy simplified flow parameter registry/source","FALSE","NUMERICAL_VERIFICATION_ONLY","Do not transfer to real-cell electrolyte density",".\src\java\LiNRR_M01_Audit.java","114","new String[] {""rho_el*(u*nx+v*ny)*Wcell""});"
"rho_el","M01/M02","900 kg/m^3","PROVISIONAL_NUMERICAL_VERIFICATION_ONLY","PRE-A4","legacy simplified flow parameter registry/source","FALSE","NUMERICAL_VERIFICATION_ONLY","Do not transfer to real-cell electrolyte density",".\src\java\LiNRR_M01_2_FlowVerification.java","171","""rho_el*(u*nx+v*ny)*Wcell"", ""kg/s"");"
"rho_el","M01/M02","900 kg/m^3","PROVISIONAL_NUMERICAL_VERIFICATION_ONLY","PRE-A4","legacy simplified flow parameter registry/source","FALSE","NUMERICAL_VERIFICATION_ONLY","Do not transfer to real-cell electrolyte density",".\src\java\LiNRR_M01_2_FlowVerification.java","173","""rho_el*(u*nx+v*ny)*Wcell"", ""kg/s"");"
"rho_el","M01/M02","900 kg/m^3","PROVISIONAL_NUMERICAL_VERIFICATION_ONLY","PRE-A4","legacy simplified flow parameter registry/source","FALSE","NUMERICAL_VERIFICATION_ONLY","Do not transfer to real-cell electrolyte density",".\src\java\LiNRR_M02_1_TransportAudit.java","204","model.param().set(""rho_el"",""900[kg/m^3]"",PROVISIONAL);"
"rho_el","M01/M02","900 kg/m^3","PROVISIONAL_NUMERICAL_VERIFICATION_ONLY","PRE-A4","legacy simplified flow parameter registry/source","FALSE","NUMERICAL_VERIFICATION_ONLY","Do not transfer to real-cell electrolyte density",".\src\java\LiNRR_M02_1_TransportAudit.java","258",".set(""density"",""rho_el"");"
"rho_el","M01/M02","900 kg/m^3","PROVISIONAL_NUMERICAL_VERIFICATION_ONLY","PRE-A4","legacy simplified flow parameter registry/source","FALSE","NUMERICAL_VERIFICATION_ONLY","Do not transfer to real-cell electrolyte density",".\scripts\windows\04a_audit_M01_flow.ps1","108","- Expression: ``rho_el*(u*nx+v*ny)*Wcell`` integrated on the named inlet/outlet selections."
"rho_el","M01/M02","900 kg/m^3","PROVISIONAL_NUMERICAL_VERIFICATION_ONLY","PRE-A4","legacy simplified flow parameter registry/source","FALSE","NUMERICAL_VERIFICATION_ONLY","Do not transfer to real-cell electrolyte density",".\scripts\windows\04_build_M01_flow.ps1","116","if ($Fields[1] -in @(""rho_el"", ""mu_el"")) {"
"rho_el","M01/M02","900 kg/m^3","PROVISIONAL_NUMERICAL_VERIFICATION_ONLY","PRE-A4","legacy simplified flow parameter registry/source","FALSE","NUMERICAL_VERIFICATION_ONLY","Do not transfer to real-cell electrolyte density",".\scripts\windows\04_build_M01_flow.ps1","222","- ``rho_el = 900 kg/m^3``"
