"sample_id","replicate_id","case_id","source_file","original_row_number","raw_frequency","raw_z_real","raw_z_imag","frequency_Hz","z_real_ohm","z_imag_ohm","normalized_order","duplicate_frequency","high_frequency_inductive","parse_status","detail"
"SYN_DRY_001","R1","SYN_DRY_001","F:\LiNRR_COMSOL\worktrees\LiNRR_M03A_4\tests\fixtures\M03A_4\S001_complete_rep1.csv","2","1000000","3.04462809917","0","1000000","3.0446280991700001","0","1","False","False","PASS",""
"SYN_DRY_001","R1","SYN_DRY_001","F:\LiNRR_COMSOL\worktrees\LiNRR_M03A_4\tests\fixtures\M03A_4\S001_complete_rep1.csv","3","800000","3.04462809917","0","800000","3.0446280991700001","0","2","False","False","PASS",""
"SYN_DRY_001","R1","SYN_DRY_001","F:\LiNRR_COMSOL\worktrees\LiNRR_M03A_4\tests\fixtures\M03A_4\S001_complete_rep1.csv","4","600000","3.04462809917","0","600000","3.0446280991700001","0","3","False","False","PASS",""
"SYN_DRY_001","R1","SYN_DRY_001","F:\LiNRR_COMSOL\worktrees\LiNRR_M03A_4\tests\fixtures\M03A_4\S001_complete_rep1.csv","5","400000","3.04462809917","0","400000","3.0446280991700001","0","4","False","False","PASS",""
"SYN_DRY_001","R1","SYN_DRY_001","F:\LiNRR_COMSOL\worktrees\LiNRR_M03A_4\tests\fixtures\M03A_4\S001_complete_rep1.csv","6","250000","3.04462809917","0","250000","3.0446280991700001","0","5","False","False","PASS",""
"SYN_DRY_001","R1","SYN_DRY_001","F:\LiNRR_COMSOL\worktrees\LiNRR_M03A_4\tests\fixtures\M03A_4\S001_complete_rep1.csv","7","160000","3.04462809917","0","160000","3.0446280991700001","0","6","False","False","PASS",""
"SYN_DRY_001","R1","SYN_DRY_001","F:\LiNRR_COMSOL\worktrees\LiNRR_M03A_4\tests\fixtures\M03A_4\S001_complete_rep1.csv","8","100000","3.04462809917","0","100000","3.0446280991700001","0","7","False","False","PASS",""
"SYN_DRY_001","R1","SYN_DRY_001","F:\LiNRR_COMSOL\worktrees\LiNRR_M03A_4\tests\fixtures\M03A_4\S001_complete_rep1.csv","9","60000","3.04462809917","0","60000","3.0446280991700001","0","8","False","False","PASS",""
"SYN_DRY_001","R1","SYN_DRY_001","F:\LiNRR_COMSOL\worktrees\LiNRR_M03A_4\tests\fixtures\M03A_4\S001_complete_rep1.csv","10","25000","3.04462809917","0","25000","3.0446280991700001","0","9","False","False","PASS",""
"SYN_DRY_001","R1","SYN_DRY_001","F:\LiNRR_COMSOL\worktrees\LiNRR_M03A_4\tests\fixtures\M03A_4\S001_complete_rep1.csv","11","10000","3.04462809917","0","10000","3.0446280991700001","0","10","False","False","PASS",""
"SYN_DRY_001","R1","SYN_DRY_001","F:\LiNRR_COMSOL\worktrees\LiNRR_M03A_4\tests\fixtures\M03A_4\S001_complete_rep1.csv","12","3000","3.04462809917","0","3000","3.0446280991700001","0","11","False","False","PASS",""
"SYN_DRY_001","R1","SYN_DRY_001","F:\LiNRR_COMSOL\worktrees\LiNRR_M03A_4\tests\fixtures\M03A_4\S001_complete_rep1.csv","13","1000","3.04462809917","0","1000","3.0446280991700001","0","12","False","False","PASS",""
"SYN_DRY_001","R2","SYN_DRY_001","F:\LiNRR_COMSOL\worktrees\LiNRR_M03A_4\tests\fixtures\M03A_4\S001_complete_rep2.csv","2","1000000","3.04500000000","0","1000000","3.0449999999999999","0","1","False","False","PASS",""
"SYN_DRY_001","R2","SYN_DRY_001","F:\LiNRR_COMSOL\worktrees\LiNRR_M03A_4\tests\fixtures\M03A_4\S001_complete_rep2.csv","3","800000","3.04500000000","0","800000","3.0449999999999999","0","2","False","False","PASS",""
"SYN_DRY_001","R2","SYN_DRY_001","F:\LiNRR_COMSOL\worktrees\LiNRR_M03A_4\tests\fixtures\M03A_4\S001_complete_rep2.csv","4","600000","3.04500000000","0","600000","3.0449999999999999","0","3","False","False","PASS",""
"SYN_DRY_001","R2","SYN_DRY_001","F:\LiNRR_COMSOL\worktrees\LiNRR_M03A_4\tests\fixtures\M03A_4\S001_complete_rep2.csv","5","400000","3.04500000000","0","400000","3.0449999999999999","0","4","False","False","PASS",""
"SYN_DRY_001","R2","SYN_DRY_001","F:\LiNRR_COMSOL\worktrees\LiNRR_M03A_4\tests\fixtures\M03A_4\S001_complete_rep2.csv","6","250000","3.04500000000","0","250000","3.0449999999999999","0","5","False","False","PASS",""
"SYN_DRY_001","R2","SYN_DRY_001","F:\LiNRR_COMSOL\worktrees\LiNRR_M03A_4\tests\fixtures\M03A_4\S001_complete_rep2.csv","7","160000","3.04500000000","0","160000","3.0449999999999999","0","6","False","False","PASS",""
