"run_id","case_id","source_quantity","source_value","source_unit","target_parameter","applied_value","applied_unit","consumer","expected_response","observed_response","relative_error","status","failure_reason"
"20260719_114249","IDENTITY_REFERENCE","conductivity","0.49996484622208590","S/m","kappa_dry_run","0.49996484622208590","S/m","cd/ice1 conductivity via kappa_M033","3.0247873196436120e-05","3.0247873196435575e-05","1.8033969346844534e-14","PASS",""
"20260719_114249","IDENTITY_REFERENCE","electrode_spacing","0.0040000000000000000","m","Hcell_dry_run","0.0040000000000000000","m","geom1 actual inlet height","0.0040000000000000000","0.0039999999999999190","2.0166160408230382e-14","PASS",""
"20260719_114249","IDENTITY_REFERENCE","out_of_plane_thickness","0.055000000000000000","m","depth_dry_run","0.055000000000000000","m","all 2D-to-3D Wcell integrations","0.055000000000000000","0.055000000000000000","0.0000000000000000","PASS",""
"20260719_114249","IDENTITY_REFERENCE","EIS_area","0.0030250000000000000","m^2","A_EIS_dry_run","0.0030250000000000000","m^2","HFR conductivity inversion only","0.49996484622208590","0.49996484622208580","2.2206021743616593e-16","PASS",""
"20260719_114249","IDENTITY_REFERENCE","current_density_reporting_area","0.0027500000000000000","m^2","A_j_report_dry_run","0.0027500000000000000","m^2","j_reported equals current-run I_total divided by A_j_report","0.010999226616885665","0.010999226616885665","0.0000000000000000","PASS",""
"20260719_114249","KAPPA_PERTURBATION","conductivity","0.62495605777760740","S/m","kappa_dry_run","0.62495605777760740","S/m","cd/ice1 conductivity via kappa_M033","3.7809841495545160e-05","3.7809841495544510e-05","1.7205078830281492e-14","PASS",""
"20260719_114249","KAPPA_PERTURBATION","electrode_spacing","0.0040000000000000000","m","Hcell_dry_run","0.0040000000000000000","m","geom1 actual inlet height","0.0040000000000000000","0.0039999999999999190","2.0166160408230382e-14","PASS",""
"20260719_114249","KAPPA_PERTURBATION","out_of_plane_thickness","0.055000000000000000","m","depth_dry_run","0.055000000000000000","m","all 2D-to-3D Wcell integrations","0.055000000000000000","0.055000000000000000","0.0000000000000000","PASS",""
"20260719_114249","KAPPA_PERTURBATION","EIS_area","0.0030250000000000000","m^2","A_EIS_dry_run","0.0030250000000000000","m^2","HFR conductivity inversion only","0.62495605777760740","0.62495605777760740","0.0000000000000000","PASS",""
"20260719_114249","KAPPA_PERTURBATION","current_density_reporting_area","0.0027500000000000000","m^2","A_j_report_dry_run","0.0027500000000000000","m^2","j_reported equals current-run I_total divided by A_j_report","0.013749033271107094","0.013749033271107094","0.0000000000000000","PASS",""
