"case_id","case_name","expected","actual","status","failure_reason"
"C001","complete synthetic EIS","PASS","PASS","PASS",""
"C002","incomplete experimental manifest","EXPERIMENTAL_INPUT_INCOMPLETE","EXPERIMENTAL_INPUT_INCOMPLETE","PASS",""
"C003","missing EIS file","BLOCKED_MISSING_FILE","BLOCKED_MISSING_FILE","PASS",""
"C004","duplicate frequencies retained","WARNING_DUPLICATE_FREQUENCY","WARNING_DUPLICATE_FREQUENCY","PASS",""
"C005","shuffled frequencies normalized","PASS","PASS","PASS",""
"C006","NaN blocked","BLOCKED_INVALID_NUMERIC_DATA","BLOCKED_INVALID_NUMERIC_DATA","PASS",""
"C007","Inf blocked","BLOCKED_INVALID_NUMERIC_DATA","BLOCKED_INVALID_NUMERIC_DATA","PASS",""
"C008","blank blocked","BLOCKED_INVALID_NUMERIC_DATA","BLOCKED_INVALID_NUMERIC_DATA","PASS",""
"C009","string blocked","BLOCKED_INVALID_NUMERIC_DATA","BLOCKED_INVALID_NUMERIC_DATA","PASS",""
"C010","insufficient high-frequency coverage","BLOCKED_INSUFFICIENT_HIGH_FREQUENCY_COVERAGE","BLOCKED_INSUFFICIENT_HIGH_FREQUENCY_COVERAGE","PASS",""
"C011","inductive artifact retained","WARNING_HIGH_FREQUENCY_INDUCTIVE_ARTIFACT","WARNING_HIGH_FREQUENCY_INDUCTIVE_ARTIFACT","PASS",""
"C012","replicate agreement","PASS","PASS","PASS",""
"C013","replicate disagreement retained","REPLICATE_DISAGREEMENT","REPLICATE_DISAGREEMENT","PASS",""
"C014","negative de-embedded resistance","BLOCKED_NEGATIVE_DEEMBEDDED_RESISTANCE","BLOCKED_NEGATIVE_DEEMBEDDED_RESISTANCE","PASS",""
"C015","zero de-embedded resistance","BLOCKED_NONPOSITIVE_DEEMBEDDED_RESISTANCE","BLOCKED_NONPOSITIVE_DEEMBEDDED_RESISTANCE","PASS",""
"C016","missing fixture resistance","BLOCKED_SERIES_RESISTANCE_LEDGER_INCOMPLETE","BLOCKED_SERIES_RESISTANCE_LEDGER_INCOMPLETE","PASS",""
"C017","missing contact resistance","BLOCKED_SERIES_RESISTANCE_LEDGER_INCOMPLETE","BLOCKED_SERIES_RESISTANCE_LEDGER_INCOMPLETE","PASS",""
"C018","missing membrane resistance","BLOCKED_SERIES_RESISTANCE_LEDGER_INCOMPLETE","BLOCKED_SERIES_RESISTANCE_LEDGER_INCOMPLETE","PASS",""
"C019","NOT_APPLICABLE without evidence","BLOCKED_SERIES_RESISTANCE_LEDGER_INCOMPLETE","BLOCKED_SERIES_RESISTANCE_LEDGER_INCOMPLETE","PASS",""
"C020","area mapping mismatch","AREA_BASIS_MISMATCH","AREA_BASIS_MISMATCH","PASS",""
"C021","zero area","AREA_BASIS_MISMATCH","AREA_BASIS_MISMATCH","PASS",""
"C022","negative area","AREA_BASIS_MISMATCH","AREA_BASIS_MISMATCH","PASS",""
"C023","missing electrode spacing","AREA_MAPPING_INCOMPLETE","AREA_MAPPING_INCOMPLETE","PASS",""
"C024","direct versus HFR conflict","CALIBRATION_CONFLICT","CALIBRATION_CONFLICT","PASS",""
"C025","acceptable conductivity agreement","PASS","PASS","PASS",""
"C026","Monte Carlo rejected fraction above one percent","FAILED_INPUT_DISTRIBUTION","FAILED_INPUT_DISTRIBUTION","PASS",""
"C027","parameter unit mismatch","PARAMETER_UNIT_MISMATCH","PARAMETER_UNIT_MISMATCH","PASS",""
"C028","parameter target missing","PARAMETER_TARGET_MISSING","PARAMETER_TARGET_MISSING","PASS",""
"C029","synthetic transfer preflight","SYNTHETIC_TRANSFER_PREFLIGHT_PASS","SYNTHETIC_TRANSFER_PREFLIGHT_PASS","PASS",""
"C030","experimental completeness remains false","EXPERIMENTAL_INPUT_COMPLETE_FALSE","EXPERIMENTAL_INPUT_COMPLETE_FALSE","PASS",""
"C031","duplicate ledger row blocks","BLOCKED_SERIES_RESISTANCE_LEDGER_INCOMPLETE","BLOCKED_SERIES_RESISTANCE_LEDGER_INCOMPLETE","PASS",""
"C032","quoted comma parsed by Import-Csv","PASS","PASS","PASS",""
"C033","synthetic source origin enforced","AREA_MAPPING_INCOMPLETE","AREA_MAPPING_INCOMPLETE","PASS",""
"C034","mapping formula whitelist enforced","PARAMETER_FORMULA_NOT_WHITELISTED","PARAMETER_FORMULA_NOT_WHITELISTED","PASS",""
"C035","direct conductivity provenance complete","PASS","PASS","PASS",""
"C036","synthetic gate consumes false integration result","FAIL","FAIL","PASS",""
"C038","fixture value changes parent digest","PASS","PASS","PASS",""
"C039","EIS area uncertainty changes parent digest","PASS","PASS","PASS",""
"C040","spacing source hash changes parent digest","PASS","PASS","PASS",""
"C041","missing parent blocks conductivity provenance","BLOCKED_MISSING_PARENT","BLOCKED_MISSING_PARENT","PASS",""
"C037","synthetic COMSOL integration artifact","SYNTHETIC_COMSOL_INTEGRATION_ARTIFACT_PASS","SYNTHETIC_COMSOL_INTEGRATION_ARTIFACT_PASS","PASS",""
